mode,role,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,train_precision,train_recall,train_balanced_accuracy,val_precision,val_recall,val_balanced_accuracy,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,overfit_warning,baseline_holdout_precision,baseline_holdout_recall,baseline_holdout_ba,baseline_holdout_pr_auc,baseline_holdout_brier,delta_vs_baseline_precision,delta_vs_baseline_ba,delta_vs_baseline_pr_auc,delta_vs_baseline_brier,material_gain_vs_baseline,quality_label,ceiling_status,should_keep_improving,final_status,notes,ranking_score,stability_penalty,ranking_score_adj
psychologist_full,psychologist,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,62,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.001248309268289,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0015772864868042,no,0.9935064935064936,0.95625,0.9765625,0.9992337351393148,0.0230899072340253,0.0064935064935064,0.0203124999999999,0.0007662648606852,-0.0218415979657363,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.9185251352585369,0.00376774378416504,0.9147573914743719
caregiver_full,caregiver,conduct,engineered_compact,rf_balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,20261101,53,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.0013267998081757,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0015772864868042,no,1.0,0.98125,0.990625,0.9999221176242234,0.0205727599388269,0.0,0.0062499999999999,7.78823757765501e-05,-0.0192459601306511,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.918518856015346,0.00376774378416504,0.914751112231181
psychologist_2_3,psychologist,conduct,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.5049999999999999,20261101,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010954785521607,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0047022864868042,no,1.0,0.98125,0.990625,0.9997699212240568,0.019818721955486,0.0,0.009375,0.0002300787759431,-0.0187232434033252,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.9199123617158271,0.00564274378416504,0.9142696179316621
caregiver_2_3,caregiver,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012744324646449,1.0,1.0,1.0,0.9937106918238994,0.9937106918238994,0.9952977135131956,0.0047022864868042,0.0047022864868042,no,1.0,0.99375,0.996875,0.9999611801242236,0.0179367142298888,0.0,0.003125,3.881987577647461e-05,-0.0166622817652439,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.9198980454028285,0.00564274378416504,0.9142553016186634
psychologist_full,psychologist,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,62,0.9433962264150944,0.9615384615384616,0.9929906542056076,0.9772645578720344,0.9523809523809524,0.998090402588066,0.9734743104312084,0.009137193084548,1.0,1.0,1.0,0.98,0.9423076923076924,0.9699856218547808,0.0300143781452193,0.0072789360172538,no,0.925925925925926,0.9615384615384616,0.9760963335729692,0.9768101643397312,0.0159520062162424,0.0174703004891684,0.0011682242990653,-0.0033358539085228,-0.0068148131316944,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.8825502310400257,0.02237598849748386,0.8601742425425418
caregiver_2_3,caregiver,elimination,engineered_compact,rf_recall_guard,isotonic,balanced,0.2049999999999999,20261101,43,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,0.9872611464968152,1.0,0.9992217898832684,0.9807692307692308,0.9807692307692308,0.98921639108555,0.0100053987977185,0.0131200575125808,no,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9565621748864778,0.0155874517399411,-0.0356125356125356,-0.0023364485981308,-0.0006145723622117,-0.0055482189306041,no,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores,0.87205476641135,0.013875273786179579,0.8581794926251705
caregiver_full,caregiver,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,53,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,1.0,1.0,1.0,1.0,0.9230769230769232,0.9615384615384616,0.0384615384615384,0.0168943206326384,no,0.925925925925926,0.9615384615384616,0.9760963335729692,0.9550129416014176,0.0160765292187545,0.0356125356125356,0.0023364485981308,0.0032484551215177,-0.0079428026712916,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.887429451776626,0.03321351545650608,0.8542159363201199
psychologist_2_3,psychologist,elimination,engineered_pruned,rf_recall_guard,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997191768511862,0.957704540598432,0.0082233824203011,1.0,1.0,1.0,1.0,0.9230769230769232,0.9615384615384616,0.0384615384615384,0.0168943206326384,no,0.9607843137254902,0.9423076923076924,0.9688173975557152,0.9418060759728882,0.0163898233273217,0.0007541478129713,0.0096153846153846,0.0158984646255436,-0.0081664409070205,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.8873220452043884,0.03321351545650608,0.8541085297478823
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.295,20261101,51,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9911462637232912,0.9465380549682876,0.0274435048754308,0.9728682170542636,0.9728682170542636,0.9834730256168104,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.0020068468893873,no,0.9367088607594936,0.8604651162790697,0.9238873804745602,0.965560713633351,0.0298422768686694,-0.020042194092827,0.0149037893991265,-0.0190226586650634,-0.0023987719932385,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.8496928006615391,0.02921732971313892,0.8204754709484001
psychologist_full,psychologist,anxiety,precision_oriented_subset,rf_precision_push,isotonic,default_0_5,0.5,20261101,61,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,0.9728682170542636,0.9728682170542636,0.9834730256168104,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.0038071065989847,no,0.948051948051948,0.8488372093023255,0.9193424625191832,0.9639696451092472,0.0311691461492946,-0.0323892974495384,0.0136347538661315,-0.0197513287183509,-0.0044082927756556,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,0.8463701138771653,0.030297485538897363,0.816072628338268
