domain,champion_mode,champion_feature_set_id,champion_config_id,champion_calibration,champion_threshold_policy,champion_final_status,precision,recall,balanced_accuracy,pr_auc,brier,ceiling_status,should_keep_improving
adhd,psychologist_full,engineered_full,rf_precision_push,isotonic,precision_min_recall,FROZEN_PRIMARY,0.9294117647058824,0.8404255319148937,0.9124407452320582,0.9271313857162288,0.0302329344052168,marginal_room_left,yes
anxiety,caregiver_full,precision_oriented_subset,rf_precision_push,isotonic,balanced,FROZEN_PRIMARY,0.9166666666666666,0.8953488372093024,0.9387911698736868,0.9465380549682876,0.0274435048754308,marginal_room_left,yes
conduct,psychologist_2_3,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,FROZEN_PRIMARY,1.0,1.0,1.0,1.0,0.0010954785521607,marginal_room_left,yes
depression,psychologist_full,engineered_full,rf_pos_weight_mid,sigmoid,balanced,FROZEN_WITH_CAVEAT,0.8375,0.8170731707317073,0.8922049270743964,0.9406015747168404,0.0391595556582478,marginal_room_left,yes
elimination,psychologist_full,engineered_compact,rf_baseline,isotonic,precision_min_recall,FROZEN_PRIMARY,0.9433962264150944,0.9615384615384616,0.9772645578720344,0.9734743104312084,0.009137193084548,marginal_room_left,yes
