modelo,Precision,Recall,BA,PR-AUC,Brier,calidad,?Precision vs anterior,?Recall vs anterior,?BA vs anterior,?PR-AUC vs anterior,?Brier vs anterior
adhd__caregiver_1_3 (engineered_full/rf_regularized),0.6212,0.8723,0.8714,0.6319,0.0868,malo,0.0012,-0.117,-0.0494,-0.0079,0.0078
adhd__caregiver_2_3 (engineered_compact/rf_regularized),0.7018,0.8511,0.8815,0.7044,0.0726,malo,-0.0205,-0.117,-0.0572,-0.0331,0.0128
adhd__caregiver_full (engineered_compact/rf_balanced_subsample),0.7404,0.8191,0.8746,0.7119,0.0687,malo,-0.0036,-0.1702,-0.0786,-0.0579,0.015
adhd__psychologist_1_3 (engineered_compact/rf_balanced_subsample),0.6148,0.883,0.8741,0.6375,0.0842,malo,-0.0026,-0.0957,-0.0414,0.0137,0.0061
adhd__psychologist_2_3 (engineered_pruned/rf_regularized),0.729,0.8298,0.8773,0.7337,0.068,malo,0.0102,-0.1489,-0.0654,0.0039,0.0088
adhd__psychologist_full (engineered_full/rf_precision_push),0.9294,0.8404,0.9124,0.9271,0.0302,muy_bueno,-0.019,-0.1383,-0.0704,-0.0537,0.0196
anxiety__caregiver_1_3 (engineered_full/rf_pos_weight_mid),0.8875,0.8256,0.9014,0.9267,0.0368,muy_bueno,0.0346,0.1512,0.0769,0.1116,-0.0265
anxiety__caregiver_2_3 (compact_subset/rf_pos_weight_mid),0.8736,0.8837,0.9279,0.9525,0.0307,bueno,-0.0771,-0.0116,-0.0147,0.0123,0.0107
anxiety__caregiver_full (precision_oriented_subset/rf_precision_push),0.9167,0.8953,0.9388,0.9465,0.0274,muy_bueno,0.0,0.0,0.0,0.0102,-0.0026
anxiety__psychologist_1_3 (engineered_full/rf_precision_push),0.9538,0.7209,0.8567,0.9167,0.0356,aceptable,0.0663,-0.1047,-0.0447,-0.0128,-0.0081
anxiety__psychologist_2_3 (precision_oriented_subset/rf_precision_push),0.9059,0.8953,0.9375,0.9303,0.0302,muy_bueno,-0.0137,-0.0349,-0.0187,-0.0122,0.0055
anxiety__psychologist_full (precision_oriented_subset/rf_precision_push),0.9157,0.8837,0.933,0.9442,0.0268,muy_bueno,-0.002,-0.0233,-0.0116,0.0031,-0.0018
conduct__caregiver_1_3 (precision_oriented_subset/rf_baseline),0.902,0.8625,0.9078,0.9501,0.0564,bueno,0.0178,-0.0437,-0.0156,0.0172,0.0001
conduct__caregiver_2_3 (engineered_compact/rf_baseline),1.0,1.0,1.0,1.0,0.0013,muy_bueno,0.0,0.0,0.0,0.0,0.0008
conduct__caregiver_full (engineered_compact/rf_balanced_subsample),1.0,0.9938,0.9969,1.0,0.0013,muy_bueno,0.0,-0.0062,-0.0031,0.0,0.0009
conduct__psychologist_1_3 (compact_subset/rf_recall_guard),0.9091,0.8125,0.8859,0.9543,0.0585,aceptable,-0.007,-0.075,-0.0375,0.0135,-0.001
conduct__psychologist_2_3 (engineered_compact/rf_balanced_subsample),1.0,1.0,1.0,1.0,0.0011,muy_bueno,0.0,0.0,0.0,0.0,0.0004
conduct__psychologist_full (engineered_compact/rf_baseline),1.0,0.9938,0.9969,1.0,0.0012,muy_bueno,0.0,-0.0062,-0.0031,0.0,0.0012
depression__caregiver_1_3 (precision_oriented_subset/rf_baseline),0.806,0.6585,0.8129,0.7648,0.0601,malo,-0.0168,-0.1341,-0.0658,-0.0314,0.0058
depression__caregiver_2_3 (full_eligible/rf_precision_push),0.8313,0.8415,0.9031,0.8434,0.0455,malo,0.0313,-0.0366,-0.0133,-0.0389,0.0008
depression__caregiver_full (engineered_pruned/rf_precision_push),0.8481,0.8171,0.8935,0.8665,0.046,aceptable,0.0438,-0.0854,-0.0351,-0.045,0.008
depression__psychologist_1_3 (stability_pruned_subset/rf_baseline),0.7975,0.7683,0.864,0.7681,0.0565,malo,0.03,-0.0366,-0.0133,-0.033,-0.0008
depression__psychologist_2_3 (full_eligible/rf_pos_weight_mid),0.8272,0.8171,0.8909,0.833,0.0479,malo,-0.0647,0.0122,-0.0014,-0.0465,0.0043
depression__psychologist_full (engineered_full/rf_pos_weight_mid),0.8375,0.8171,0.8922,0.9406,0.0392,aceptable,0.0119,-0.0488,-0.0219,-0.0071,0.0055
elimination__caregiver_1_3 (engineered_compact/rf_pos_weight_mid),0.9412,0.6154,0.8054,0.8786,0.0219,malo,0.1342,-0.2692,-0.1241,-0.0646,-0.0
elimination__caregiver_2_3 (engineered_compact/rf_recall_guard),0.9259,0.9615,0.9761,0.9559,0.01,muy_bueno,-0.0552,-0.0385,-0.0227,-0.0441,0.0099
elimination__caregiver_full (engineered_compact/rf_baseline),0.9615,0.9615,0.9784,0.9583,0.0081,muy_bueno,-0.0196,-0.0385,-0.0204,-0.0417,0.0073
elimination__psychologist_1_3 (engineered_compact/rf_regularized),0.85,0.6538,0.8199,0.8828,0.0238,malo,0.0615,-0.1346,-0.0615,0.009,-0.0075
elimination__psychologist_2_3 (engineered_pruned/rf_recall_guard),0.9615,0.9615,0.9784,0.9577,0.0082,muy_bueno,-0.0196,-0.0385,-0.0204,-0.0423,0.0073
elimination__psychologist_full (engineered_compact/rf_baseline),0.9434,0.9615,0.9773,0.9735,0.0091,muy_bueno,-0.0377,-0.0385,-0.0216,-0.0265,0.0091
