mode,role,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,train_precision,train_recall,train_balanced_accuracy,val_precision,val_recall,val_balanced_accuracy,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,overfit_warning,baseline_holdout_precision,baseline_holdout_recall,baseline_holdout_ba,baseline_holdout_pr_auc,baseline_holdout_brier,delta_vs_baseline_precision,delta_vs_baseline_ba,delta_vs_baseline_pr_auc,delta_vs_baseline_brier,material_gain_vs_baseline,quality_label,ceiling_status,should_keep_improving,final_status,notes,prev_feature_set_id,prev_config_id,prev_precision,prev_recall,prev_balanced_accuracy,prev_pr_auc,prev_brier,prev_quality_label,prev_final_status,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,comparison_result,drop_methodologically_acceptable,new_replaces_previous_as_primary
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,0.6915422885572139,0.9858156028368794,0.939367214199096,0.704,0.9361702127659576,0.9201576452430824,0.0192095689560136,0.0487542718553632,no,0.6595744680851063,0.6595744680851063,0.7883364568404807,0.6491643421246305,0.0864918209335534,-0.0383623468729851,0.0830669165472384,-0.0172464017910699,0.000336051870862,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,precision_oriented_subset,rf_regularized,0.62,0.9893617021276596,0.920846654172638,0.6398511884834684,0.078997662903322,malo,HOLD_FOR_LIMITATION,0.00121212121212122,-0.11702127659574468,-0.049443280784918886,-0.007933248149907923,0.00783020990109351,worse,yes_alignment_gain,no
caregiver_2_3,caregiver,adhd,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,0.7857142857142857,0.975177304964539,0.9552052327931504,0.7946428571428571,0.946808510638298,0.9436115092051592,0.011593723587991,0.0621210450887443,yes,0.7252747252747253,0.7021276595744681,0.8186804100981149,0.7211321177427233,0.0742194317733886,-0.023520339309813,0.0628100540183,-0.0167103219749975,-0.0016521851240406,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong,0.7222222222222222,0.9680851063829788,0.9387057656267226,0.7375230938994777,0.059765742724445,malo,HOLD_FOR_LIMITATION,-0.020467836257309968,-0.1170212765957448,-0.057215301510307626,-0.03310129813175189,0.012801503924902993,worse,yes_alignment_gain,no
caregiver_full,caregiver,adhd,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.4049999999999999,20261119,53,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,0.9463087248322148,1.0,0.993091537132988,0.819047619047619,0.9148936170212766,0.9328354095469078,0.0602561275860801,0.05823503472605,no,0.7159090909090909,0.6702127659574468,0.8027229632896042,0.7040623101829879,0.0772722284112356,0.0244755244755244,0.0718774115312534,0.0078165150245156,-0.0085504153150878,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,compact_robust_subset,rf_positive_push_strong,0.744,0.9893617021276596,0.9532300738617572,0.7697424467684965,0.0537201877240856,malo,HOLD_FOR_LIMITATION,-0.003615384615384576,-0.17021276595744683,-0.07862969904089945,-0.057863621560992895,0.015001625372062094,worse,yes_alignment_gain,no
psychologist_1_3,psychologist,adhd,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,0.7540106951871658,1.0,0.9602763385146804,0.7007874015748031,0.946808510638298,0.9241814573916878,0.0360948811229926,0.050049608642928,no,0.65625,0.6702127659574468,0.7923602689890861,0.6568749913147705,0.0862337372397045,-0.0414351851851851,0.0817715797596736,-0.0193298648477223,-0.0020604620420318,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,full_eligible,rf_baseline,0.6174496644295302,0.9787234042553192,0.915527505236468,0.6238363802864415,0.0780898852963551,malo,HOLD_FOR_LIMITATION,-0.0026348496147153844,-0.09574468085106391,-0.041395656487708266,0.013708746180606579,0.006083389901317501,worse,yes_alignment_gain,no
psychologist_2_3,psychologist,adhd,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,0.8348623853211009,0.9680851063829788,0.9607264910153236,0.8037383177570093,0.9148936170212766,0.9302447359717784,0.0304817550435452,0.0529158857898799,no,0.7142857142857143,0.6914893617021277,0.81206592437438,0.7176008715501938,0.0747194043169041,0.014686248331108,0.0652629258075183,0.0161381059722238,-0.0067150681403584,yes,malo,marginal_room_left,only_if_new_signal,HOLD_FOR_LIMITATION,clean_universe_no_external_scores,balanced_subset,rf_regularized,0.71875,0.9787234042553192,0.942729577775328,0.7298838407871105,0.0591848249657065,malo,HOLD_FOR_LIMITATION,0.0102219626168224,-0.14893617021276606,-0.06540072759342963,0.0038551367353071297,0.008819511210839098,worse,yes_alignment_gain,no
psychologist_full,psychologist,adhd,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,20261101,161,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,1.0,0.9574468085106383,0.9787234042553192,1.0,0.925531914893617,0.9627659574468084,0.0159574468085107,0.0503252122147502,no,0.9577464788732394,0.723404255319149,0.8578161172968801,0.9187174886685264,0.0577929051231592,-0.028334714167357,0.054624627935178,0.0084138970477025,-0.0275599707179423,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,full_eligible,rf_positive_push_strong,0.9484536082474226,0.9787234042553192,0.9828850181898356,0.9808743934303844,0.0106475817578793,muy_bueno,FROZEN_PRIMARY,-0.01904184354154026,-0.13829787234042556,-0.07044427295777744,-0.05374300771415563,0.0195853526473375,worse,yes_alignment_gain,yes
caregiver_1_3,caregiver,anxiety,engineered_full,rf_pos_weight_mid,isotonic,recall_constrained,0.3199999999999999,20261101,58,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,0.967479674796748,0.9224806201550388,0.9578562153228662,0.9012345679012346,0.8488372093023255,0.9142663203872036,0.0435898949356627,0.0128969425097391,no,0.9054054054054054,0.7790697674418605,0.8806516349899658,0.90564205843727,0.0487191975520662,-0.0179054054054054,0.0207177428874985,0.0210497235721253,-0.011883358140468,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,full_eligible,rf_recall_guard__pos_weight_low,0.8529411764705882,0.6744186046511628,0.8245189469956322,0.8150983489417174,0.0633146537132896,malo,HOLD_FOR_LIMITATION,0.03455882352941175,0.15116279069767447,0.07685043088183219,0.11159343306767777,-0.026478814301691404,improves,na_or_not_drop,yes
caregiver_2_3,caregiver,anxiety,compact_subset,rf_pos_weight_mid,isotonic,balanced,0.3349999999999999,20261119,44,0.8735632183908046,0.8837209302325582,0.9720812182741116,0.9279010742533348,0.8786127167630058,0.9918840750796836,0.9524808419049928,0.0306755822953721,0.9770114942528736,0.9883720930232558,0.991647975445638,0.9382716049382716,0.8837209302325582,0.9355152874513044,0.0561326879943335,0.0076142131979695,no,0.9487179487179488,0.8604651162790697,0.9251564160075552,0.9663347506901182,0.0296649041965858,-0.075154730327144,0.0027446582457797,-0.0138539087851252,0.0010106780987863,no,bueno,ceiling_confirmed,no_practical_ceiling_confirmed,FROZEN_PRIMARY,clean_universe_no_external_scores,precision_oriented_subset,rf_positive_push_strong,0.9506172839506172,0.8953488372093024,0.9425982764726716,0.9401752429816774,0.0199523727379031,muy_bueno,FROZEN_WITH_CAVEAT,-0.07705406555981253,-0.011627906976744207,-0.014697202219336791,0.012305598923315397,0.010723209557469002,worse,yes_alignment_gain,yes
caregiver_full,caregiver,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.295,20261101,51,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9911462637232912,0.9465380549682876,0.0274435048754308,0.9728682170542636,0.9728682170542636,0.9834730256168104,0.95,0.8837209302325582,0.9367843229842994,0.0466887026325109,0.0020068468893873,no,0.9367088607594936,0.8604651162790697,0.9238873804745602,0.965560713633351,0.0298422768686694,-0.020042194092827,0.0149037893991265,-0.0190226586650634,-0.0023987719932385,yes,muy_bueno,marginal_room_left,yes,FROZEN_PRIMARY,clean_universe_no_external_scores,stability_pruned_subset,rf_positive_push_strong__pos_weight_mid,0.9166666666666666,0.8953488372093024,0.9387911698736868,0.9363791025648568,0.0300463237969726,muy_bueno,REJECT_AS_PRIMARY,0.0,0.0,0.0,0.010158952403430788,-0.0026028189215417975,tie_noise,na_or_not_drop,yes
psychologist_1_3,psychologist,anxiety,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,20261119,69,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,1.0,0.7751937984496124,0.8875968992248062,0.953846153846154,0.7209302325581395,0.856658009680085,0.0309388895447212,0.0,no,0.9102564102564102,0.8255813953488372,0.9039074489434542,0.949352830947655,0.0368786629580916,0.0435897435897436,-0.0472494392633692,-0.0326241797681243,-0.0013077470376561,no,aceptable,near_ceiling,no,FROZEN_WITH_CAVEAT,clean_universe_no_external_scores,precision_oriented_subset,rf_recall_guard,0.8875,0.8255813953488372,0.9013693778774644,0.9295370157610316,0.0436427416909049,muy_bueno,FROZEN_WITH_CAVEAT,0.06634615384615405,-0.10465116279069775,-0.04471136819737942,-0.01280836458150103,-0.008071825770469498,worse,yes_alignment_gain,yes_with_caveat
