candidate_id,domain,mode,stress_type,scenario,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_balanced_accuracy_vs_baseline,delta_pr_auc_vs_baseline,delta_brier_vs_baseline
adhd__psychologist_2_3,adhd,psychologist_2_3,missingness,missing_ratio_0.05,0.7777777777777778,0.8936170212765957,0.9378238341968912,0.9157204277367434,0.8316831683168316,0.9428260390254657,0.7665505482790106,0.05712725216840781,0.0030030030030030463,-0.021276595744680882,-0.009342961084775725,-0.002778710081202118,0.0021620305716016433
adhd__psychologist_2_3,adhd,psychologist_2_3,missingness,missing_ratio_0.10,0.78,0.8297872340425532,0.9430051813471503,0.8863962076948517,0.8041237113402062,0.9152794620218277,0.714737559699143,0.06670545966235057,0.005225225225225283,-0.08510638297872342,-0.03866718112666745,-0.05459169866106972,0.011740238065544403
adhd__psychologist_2_3,adhd,psychologist_2_3,missingness,missing_ratio_0.20,0.7653061224489796,0.7978723404255319,0.9404145077720207,0.8691434240987763,0.78125,0.8917429169882041,0.670849190094074,0.07468742092074056,-0.00946865232579519,-0.11702127659574468,-0.055919964722742854,-0.09848006826613875,0.01972219932393439
adhd__psychologist_2_3,adhd,psychologist_2_3,mode_shortening,truncate_to_psychologist_1_3,0.6559139784946236,0.648936170212766,0.917098445595855,0.7830173079043105,0.6524064171122995,0.9025465770036379,0.6368939663843812,0.09425215784874516,-0.11886079628015112,-0.26595744680851063,-0.14204608091720872,-0.13243529197583148,0.03928693625193899
adhd__psychologist_2_3,adhd,psychologist_2_3,threshold_sensitivity,threshold_shift_+0.05,0.7798165137614679,0.9042553191489362,0.9378238341968912,0.9210395766729137,0.8374384236453202,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.005041738986693134,-0.010638297872340385,-0.004023812148605477,0.0,0.0
adhd__psychologist_2_3,adhd,psychologist_2_3,threshold_sensitivity,threshold_shift_+0.10,0.7798165137614679,0.9042553191489362,0.9378238341968912,0.9210395766729137,0.8374384236453202,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.005041738986693134,-0.010638297872340385,-0.004023812148605477,0.0,0.0
adhd__psychologist_2_3,adhd,psychologist_2_3,threshold_sensitivity,threshold_shift_-0.05,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.0,0.0,0.0,0.0,0.0
adhd__psychologist_2_3,adhd,psychologist_2_3,threshold_sensitivity,threshold_shift_-0.10,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.0,0.0,0.0,0.0,0.0
adhd__psychologist_full,adhd,psychologist_full,missingness,missing_ratio_0.05,0.946236559139785,0.9361702127659575,0.9870466321243523,0.9616084224451549,0.9411764705882353,0.9625592547679418,0.9041584308453404,0.0211518515441516,-0.0016801075268816357,-0.03191489361702127,-0.015957446808510634,-0.04094791087286742,0.005693147344603366
adhd__psychologist_full,adhd,psychologist_full,missingness,missing_ratio_0.10,0.87,0.925531914893617,0.966321243523316,0.9459265792084666,0.8969072164948454,0.9509839047514056,0.8552194618892384,0.03817786761093888,-0.07791666666666663,-0.042553191489361764,-0.03163929004519894,-0.08988687982896948,0.022719163411390644
adhd__psychologist_full,adhd,psychologist_full,missingness,missing_ratio_0.20,0.8736842105263158,0.8829787234042553,0.9689119170984456,0.9259453202513505,0.8783068783068783,0.9275300407893285,0.8053705989316754,0.047866083617611944,-0.07423245614035079,-0.08510638297872342,-0.05162054900231505,-0.13973574278653245,0.03240737941806371
adhd__psychologist_full,adhd,psychologist_full,mode_shortening,truncate_to_psychologist_1_3,0.6564885496183206,0.9148936170212766,0.883419689119171,0.8991566530702237,0.7644444444444445,0.9013614816448021,0.6275140419677357,0.09585865519763329,-0.29142811704834604,-0.05319148936170215,-0.07840921618344177,-0.3175922997504721,0.08039995099808506
adhd__psychologist_full,adhd,psychologist_full,mode_shortening,truncate_to_psychologist_2_3,0.7647058823529411,0.9680851063829787,0.927461139896373,0.9477731231396759,0.8544600938967136,0.9510390254657699,0.7643026535948128,0.058978585004971995,-0.1832107843137255,0.0,-0.029792746113989632,-0.1808036881233951,0.04351988080542376
adhd__psychologist_full,adhd,psychologist_full,threshold_sensitivity,threshold_shift_+0.05,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0,0.0,0.0,0.0,0.0
adhd__psychologist_full,adhd,psychologist_full,threshold_sensitivity,threshold_shift_+0.10,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0,0.0,0.0,0.0,0.0
adhd__psychologist_full,adhd,psychologist_full,threshold_sensitivity,threshold_shift_-0.05,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0,0.0,0.0,0.0,0.0
adhd__psychologist_full,adhd,psychologist_full,threshold_sensitivity,threshold_shift_-0.10,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0,0.0,0.0,0.0,0.0
anxiety__caregiver_2_3,anxiety,caregiver_2_3,missingness,missing_ratio_0.05,0.8888888888888888,0.9302325581395349,0.9746192893401016,0.9524259237398183,0.9090909090909091,0.9857454845944988,0.9223402424930902,0.025195587198795024,-0.0024154589371980784,-0.023255813953488413,-0.011627906976744207,-0.007352260420903867,0.0035925947468395114
anxiety__caregiver_2_3,anxiety,caregiver_2_3,missingness,missing_ratio_0.10,0.9090909090909091,0.813953488372093,0.9822335025380711,0.8980934954550821,0.8588957055214724,0.9740733089363711,0.914471439531466,0.03635159236100134,0.017786561264822143,-0.13953488372093026,-0.06596033526148037,-0.015221063382528044,0.01474859990904583
anxiety__caregiver_2_3,anxiety,caregiver_2_3,missingness,missing_ratio_0.20,0.9054054054054054,0.7790697674418605,0.9822335025380711,0.8806516349899658,0.8375,0.9454904969897296,0.8727869267842835,0.044528955363789494,0.014101057579318454,-0.17441860465116277,-0.08340219572659668,-0.05690557612971059,0.02292596291183398
anxiety__caregiver_2_3,anxiety,caregiver_2_3,mode_shortening,truncate_to_caregiver_1_3,0.0,0.0,1.0,0.5,0.0,0.5,0.17916666666666667,0.1791663083343333,-0.8913043478260869,-0.9534883720930233,-0.4640538307165625,-0.7505258362473274,0.1575633158823778
anxiety__caregiver_2_3,anxiety,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.05,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.0,0.0,0.0,0.0,0.0
anxiety__caregiver_2_3,anxiety,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.10,0.8901098901098901,0.9418604651162791,0.9746192893401016,0.9582398772281904,0.9152542372881356,0.9867341518120647,0.9296925029139941,0.021602992451955513,-0.0011944577161968617,-0.011627906976744207,-0.005813953488372103,0.0,0.0
anxiety__caregiver_2_3,anxiety,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.05,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.0,0.0,0.0,0.0,0.0
anxiety__caregiver_2_3,anxiety,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.10,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.0,0.0,0.0,0.0,0.0
anxiety__caregiver_full,anxiety,caregiver_full,missingness,missing_ratio_0.05,0.9404761904761905,0.9186046511627907,0.9873096446700508,0.9529571479164207,0.9294117647058824,0.9950714201392988,0.9664777409434491,0.02253589222840681,-0.001384274640088612,-0.023255813953488413,-0.011627906976744207,0.009346945589784217,0.001949307826050961
anxiety__caregiver_full,anxiety,caregiver_full,missingness,missing_ratio_0.10,0.9466666666666667,0.8255813953488372,0.9898477157360406,0.9077145555424389,0.8819875776397516,0.9921201747137292,0.9513699995784219,0.034549844147629155,0.004806201550387579,-0.11627906976744184,-0.05687049935072608,-0.005760795775242911,0.013963259745273307
anxiety__caregiver_full,anxiety,caregiver_full,missingness,missing_ratio_0.20,0.9672131147540983,0.686046511627907,0.9949238578680203,0.8404851847479636,0.8027210884353742,0.9900247904615749,0.9484163814683777,0.044943508664152636,0.025352649637819247,-0.2558139534883721,-0.1240998701452013,-0.008714413885287153,0.024356924261796788
anxiety__caregiver_full,anxiety,caregiver_full,mode_shortening,truncate_to_caregiver_1_3,0.0,0.0,1.0,0.5,0.0,0.9085704167158541,0.813158054345529,0.1689393213944855,-0.9418604651162791,-0.9418604651162791,-0.46458505489316493,-0.14397274100813584,0.14835273699212964
anxiety__caregiver_full,anxiety,caregiver_full,mode_shortening,truncate_to_caregiver_2_3,0.9583333333333334,0.8023255813953488,0.9923857868020305,0.8973556840986896,0.8734177215189873,0.9923267618935191,0.964387221286519,0.0529103735563153,0.016472868217054293,-0.13953488372093026,-0.06722937079447533,0.007256425932854138,0.032323789153959455
anxiety__caregiver_full,anxiety,caregiver_full,threshold_sensitivity,threshold_shift_+0.05,0.9404761904761905,0.9186046511627907,0.9873096446700508,0.9529571479164207,0.9294117647058824,0.9935662849722582,0.9571307953536649,0.020586584402355848,-0.001384274640088612,-0.023255813953488413,-0.011627906976744207,0.0,0.0
anxiety__caregiver_full,anxiety,caregiver_full,threshold_sensitivity,threshold_shift_+0.10,0.9382716049382716,0.8837209302325582,0.9873096446700508,0.9355152874513044,0.9101796407185628,0.9935662849722582,0.9571307953536649,0.020586584402355848,-0.0035888601780075247,-0.05813953488372092,-0.029069767441860517,0.0,0.0
anxiety__caregiver_full,anxiety,caregiver_full,threshold_sensitivity,threshold_shift_-0.05,0.9318181818181818,0.9534883720930233,0.9847715736040609,0.9691299728485421,0.9425287356321839,0.9935662849722582,0.9571307953536649,0.020586584402355848,-0.01004228329809731,0.011627906976744207,0.004544917955377148,0.0,0.0
anxiety__caregiver_full,anxiety,caregiver_full,threshold_sensitivity,threshold_shift_-0.10,0.9010989010989011,0.9534883720930233,0.9771573604060914,0.9653228662495573,0.9265536723163842,0.9935662849722582,0.9571307953536649,0.020586584402355848,-0.04076156401737796,0.011627906976744207,0.0007378113563923927,0.0,0.0
conduct__caregiver_2_3,conduct,caregiver_2_3,missingness,missing_ratio_0.05,0.9872611464968153,0.9748427672955975,0.9937694704049844,0.984306118850291,0.9810126582278481,0.987343012206352,0.9831761006289308,0.00953623662725522,0.005779665015333779,-0.02515723270440251,-0.011020983953447305,-0.016823899371069206,0.00834038355344063
conduct__caregiver_2_3,conduct,caregiver_2_3,missingness,missing_ratio_0.10,0.9801324503311258,0.9308176100628931,0.9906542056074766,0.9607359078351849,0.9548387096774194,0.9650855228354788,0.9537342767295598,0.02415782172636939,-0.001349031150355673,-0.0691823899371069,-0.03459119496855334,-0.04626572327044021,0.0229619686525548
conduct__caregiver_2_3,conduct,caregiver_2_3,missingness,missing_ratio_0.20,0.9761904761904762,0.7735849056603774,0.9906542056074766,0.882119555633927,0.8631578947368421,0.8857344383706577,0.8485849056603774,0.07612784810635935,-0.005291005291005346,-0.2264150943396226,-0.1132075471698113,-0.15141509433962264,0.07493199503254476
conduct__caregiver_2_3,conduct,caregiver_2_3,mode_shortening,truncate_to_caregiver_1_3,0.0,0.0,1.0,0.5,0.0,0.5,0.33125,0.331249337501,-0.9814814814814815,-1.0,-0.49532710280373826,-0.66875,0.3300534844271854
conduct__caregiver_2_3,conduct,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,0.0,0.0,0.0,0.0,0.0
conduct__caregiver_2_3,conduct,caregiver_2_3,threshold_sensitivity,threshold_shift_+0.10,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.001195853073814591,0.006096158270071261,0.0,0.0015576323987539498,0.0,0.0
conduct__caregiver_2_3,conduct,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,0.0,0.0,0.0,0.0,0.0
conduct__caregiver_2_3,conduct,caregiver_2_3,threshold_sensitivity,threshold_shift_-0.10,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,0.0,0.0,0.0,0.0,0.0
conduct__psychologist_2_3,conduct,psychologist_2_3,missingness,missing_ratio_0.05,0.98,0.9245283018867925,0.9906542056074766,0.9575912537471345,0.9514563106796117,0.9619114794568859,0.9495283018867925,0.02757168938813639,-0.007577639751552789,-0.07547169811320753,-0.039293481455357715,-0.05047169811320751,0.02628601084290586
conduct__psychologist_2_3,conduct,psychologist_2_3,missingness,missing_ratio_0.10,0.9866666666666667,0.9308176100628931,0.9937694704049844,0.9622935402339388,0.9579288025889967,0.9650855228354788,0.9537342767295598,0.024372567402982458,-0.0009109730848860798,-0.0691823899371069,-0.03459119496855345,-0.04626572327044021,0.02308688885775193
conduct__psychologist_2_3,conduct,psychologist_2_3,missingness,missing_ratio_0.20,0.9918032786885246,0.7610062893081762,0.9968847352024922,0.8789455122553342,0.8612099644128114,0.8801308803072161,0.8401729559748428,0.08051376336273378,0.0042256389369718095,-0.23899371069182385,-0.11793922294715797,-0.15982704402515724,0.07922808481750325
conduct__psychologist_2_3,conduct,psychologist_2_3,mode_shortening,truncate_to_psychologist_1_3,0.0,0.0,1.0,0.5,0.0,0.5,0.33125,0.331249337501,-0.9875776397515528,-1.0,-0.4968847352024922,-0.66875,0.32996365895576946
conduct__psychologist_2_3,conduct,psychologist_2_3,threshold_sensitivity,threshold_shift_+0.05,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.0,0.0,0.0,0.0,0.0
conduct__psychologist_2_3,conduct,psychologist_2_3,threshold_sensitivity,threshold_shift_+0.10,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.0,0.0,0.0,0.0,0.0
conduct__psychologist_2_3,conduct,psychologist_2_3,threshold_sensitivity,threshold_shift_-0.05,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.0,0.0,0.0,0.0,0.0
conduct__psychologist_2_3,conduct,psychologist_2_3,threshold_sensitivity,threshold_shift_-0.10,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.0,0.0,0.0,0.0,0.0
