precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,objective,round_id,mode,domain,family,feature_variant,threshold_policy,threshold,abstention_band,calibration,target_variant,seed,status,error,n_features,abstention_coverage,high_conf_precision,input_missing_ratio
0.9366197183098591,0.8260869565217391,0.928,0.8770434782608696,0.8778877887788779,0.9441490683229814,0.9492070006834261,0.09005197980771298,0.8844303218317969,1,caregiver,adhd,lightgbm,compact,balanced,0.505,0.1,isotonic,baseline,11,ok,,28,0.8006993006993007,0.9481481481481482,0.06818181818181818
0.9615384615384616,0.7763975155279503,0.96,0.8681987577639751,0.8591065292096219,0.9441490683229814,0.9492070006834261,0.09005197980771298,0.8713554471657404,1,caregiver,adhd,lightgbm,compact,precision_guarded,0.67,0.08,isotonic,baseline,11,ok,,28,0.9755244755244755,0.9612403100775194,0.06818181818181818
0.8020833333333334,0.9565217391304348,0.696,0.8262608695652174,0.8725212464589235,0.9441490683229814,0.9492070006834261,0.09005197980771298,0.8841094247099356,1,caregiver,adhd,lightgbm,compact,recall_guarded,0.255,0.03,isotonic,baseline,11,ok,,28,0.9965034965034965,0.8020833333333334,0.06818181818181818
0.8930817610062893,0.8819875776397516,0.864,0.8729937888198758,0.8875,0.9464596273291925,0.9512988119013812,0.08951006849014206,0.8924539774981718,1,caregiver,adhd,lightgbm,engineered,balanced,0.505,0.15,isotonic,baseline,11,ok,,35,0.7867132867132867,0.9538461538461539,0.05874125874125875
0.9538461538461539,0.7701863354037267,0.952,0.8610931677018634,0.852233676975945,0.9464596273291925,0.9512988119013812,0.08951006849014206,0.8662810092031362,1,caregiver,adhd,lightgbm,engineered,precision_guarded,0.605,0.15,isotonic,baseline,11,ok,,35,0.8496503496503497,0.9752066115702479,0.05874125874125875
0.8072916666666666,0.9627329192546584,0.704,0.8333664596273291,0.8781869688385269,0.9464596273291925,0.9512988119013812,0.08951006849014206,0.8893471642437477,1,caregiver,adhd,lightgbm,engineered,recall_guarded,0.20500000000000002,0.03,isotonic,baseline,11,ok,,35,0.9825174825174825,0.8072916666666666,0.05874125874125875
0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.9535403726708075,0.9545071377969979,0.08275475698138537,0.8839443699143914,1,caregiver,adhd,rf,compact,balanced,0.455,0.08,isotonic,baseline,11,ok,,28,0.8741258741258742,0.9241379310344827,0.06818181818181818
0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.9535403726708075,0.9545071377969979,0.08275475698138537,0.8839443699143914,1,caregiver,adhd,rf,compact,precision_guarded,0.455,0.08,isotonic,baseline,11,ok,,28,0.8741258741258742,0.9241379310344827,0.06818181818181818
0.850828729281768,0.9565217391304348,0.784,0.8702608695652174,0.9005847953216374,0.9535403726708075,0.9545071377969979,0.08275475698138537,0.9074493347169151,1,caregiver,adhd,rf,compact,recall_guarded,0.235,0.03,isotonic,baseline,11,ok,,28,0.9790209790209791,0.850828729281768,0.06818181818181818
0.9305555555555556,0.8322981366459627,0.92,0.8761490683229813,0.8786885245901639,0.9482236024844721,0.9492579851417824,0.0850838599179277,0.8854367337159044,1,caregiver,adhd,rf,engineered,balanced,0.47000000000000003,0.15,isotonic,baseline,11,ok,,35,0.8601398601398601,0.9496402877697842,0.05874125874125875
0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9482236024844721,0.9492579851417824,0.0850838599179277,0.8868819234026643,1,caregiver,adhd,rf,engineered,precision_guarded,0.62,0.03,isotonic,baseline,11,ok,,35,0.986013986013986,0.9496402877697842,0.05874125874125875
0.8491620111731844,0.9440993788819876,0.784,0.8640496894409938,0.8941176470588236,0.9482236024844721,0.9492579851417824,0.0850838599179277,0.9006964547332887,1,caregiver,adhd,rf,engineered,recall_guarded,0.255,0.03,isotonic,baseline,11,ok,,35,0.965034965034965,0.8491620111731844,0.05874125874125875
0.850828729281768,0.9565217391304348,0.784,0.8702608695652174,0.9005847953216374,0.9535403726708075,0.9545071377969979,0.08275475698138537,0.9074493347169151,2,caregiver,adhd,rf,compact,recall_guarded,0.235,0.03,isotonic,baseline,11,ok,,28,0.9790209790209791,0.850828729281768,0.06818181818181818
0.8387096774193549,0.968944099378882,0.76,0.864472049689441,0.899135446685879,0.9533664596273292,0.9542348018145521,0.08317764193448143,0.907182998680279,2,caregiver,adhd,rf,compact,recall_guarded,0.29000000000000004,0.05,isotonic,baseline,29,ok,,28,0.9755244755244755,0.85,0.06818181818181818
0.8491620111731844,0.9440993788819876,0.784,0.8640496894409938,0.8941176470588236,0.9482236024844721,0.9492579851417824,0.0850838599179277,0.9006964547332887,2,caregiver,adhd,rf,engineered,recall_guarded,0.255,0.03,isotonic,baseline,11,ok,,35,0.965034965034965,0.8491620111731844,0.05874125874125875
