domain,mode,shortcut_dominance_flag,dominance_type,model_balanced_accuracy
adhd,caregiver_1_3,no,direct_or_not_recomputed,0.9161338330944768
adhd,caregiver_2_3,no,direct_or_not_recomputed,0.9254767941792524
adhd,caregiver_full,no,direct_or_not_recomputed,0.8746003748208577
adhd,psychologist_1_3,no,direct_or_not_recomputed,0.8964281777091831
adhd,psychologist_2_3,no,direct_or_not_recomputed,0.9063774666519678
adhd,psychologist_full,no,direct_or_not_recomputed,0.902904861647007
anxiety,caregiver_1_3,no,direct_or_not_recomputed,0.9013693778774644
anxiety,caregiver_2_3,no,direct_or_not_recomputed,0.9084523668988314
anxiety,caregiver_full,no,direct_or_not_recomputed,0.9066521071892338
anxiety,psychologist_1_3,no,direct_or_not_recomputed,0.9217624837681502
anxiety,psychologist_2_3,no,direct_or_not_recomputed,0.9188112383425806
anxiety,psychologist_full,no,direct_or_not_recomputed,0.909927989611616
conduct,caregiver_1_3,no,direct_or_not_recomputed,0.9078125
conduct,caregiver_2_3,no,direct_or_not_recomputed,0.925
conduct,caregiver_full,no,direct_or_not_recomputed,0.9046875
conduct,psychologist_1_3,no,direct_or_not_recomputed,0.8859375
conduct,psychologist_2_3,no,direct_or_not_recomputed,0.903125
conduct,psychologist_full,no,direct_or_not_recomputed,0.9140625
depression,caregiver_1_3,no,direct_or_not_recomputed,0.9273501654614535
depression,caregiver_2_3,no,direct_or_not_recomputed,0.9334477264370632
depression,caregiver_full,no,direct_or_not_recomputed,0.9164113249172692
depression,psychologist_1_3,no,direct_or_not_recomputed,0.905656330432651
depression,psychologist_2_3,no,direct_or_not_recomputed,0.9370327245986028
depression,psychologist_full,no,direct_or_not_recomputed,0.8737283980880011
elimination,caregiver_1_3,no,direct_or_not_recomputed,0.930625449317038
elimination,caregiver_2_3,no,direct_or_not_recomputed,0.9294572250179728
elimination,caregiver_full,no,direct_or_not_recomputed,0.9524622573687994
elimination,psychologist_1_3,no,direct_or_not_recomputed,0.9259525521207764
elimination,psychologist_2_3,no,direct_or_not_recomputed,0.9175053918044572
elimination,psychologist_full,no,direct_or_not_recomputed,0.9632458662832496
