domain,mode,changed,old_champion,new_champion,old_n_features,new_n_features,old_f1,new_f1,old_recall,new_recall,old_precision,new_precision,old_balanced_accuracy,new_balanced_accuracy,old_brier,new_brier,old_class,new_class,old_confidence_pct,new_confidence_pct
conduct,caregiver_2_3,no,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,49,49,0.8875739644970414,0.8875739644970414,0.9375,0.9375,0.8426966292134831,0.8426966292134831,0.925,0.925,0.0790929039136678,0.0790929039136678,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
conduct,caregiver_full,no,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,47,47,0.8596491228070176,0.8596491228070176,0.91875,0.91875,0.8076923076923077,0.8076923076923077,0.9046875,0.9046875,0.0622859399714159,0.0622859399714159,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.4
conduct,psychologist_1_3,no,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,27,27,0.858085808580858,0.858085808580858,0.8125,0.8125,0.9090909090909092,0.9090909090909092,0.8859375,0.8859375,0.0585440516294588,0.0585440516294588,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,81.0
conduct,psychologist_2_3,no,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,43,43,0.8734177215189873,0.8734177215189873,0.8625,0.8625,0.8846153846153846,0.8846153846153846,0.903125,0.903125,0.0598157660888244,0.0598157660888244,ACTIVE_HIGH_CONFIDENCE,ACTIVE_HIGH_CONFIDENCE,88.3,91.6
conduct,psychologist_full,no,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,56,56,0.8768768768768769,0.8768768768768769,0.9125,0.9125,0.8439306358381503,0.8439306358381503,0.9140625,0.9140625,0.0601968414247834,0.0601968414247834,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9
depression,caregiver_1_3,no,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,42,42,0.8457142857142858,0.8457142857142858,0.902439024390244,0.902439024390244,0.7956989247311828,0.7956989247311828,0.9273501654614535,0.9273501654614535,0.0501742162589722,0.0501742162589722,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
depression,caregiver_2_3,no,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,69,69,0.8522727272727273,0.8522727272727273,0.9146341463414634,0.9146341463414634,0.7978723404255319,0.7978723404255319,0.9334477264370632,0.9334477264370632,0.0584251216087021,0.0584251216087021,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
depression,caregiver_full,yes,depression__caregiver_full__v6_hotfix_v1__hgb__no_shortcut_v1,depression__caregiver_full__hybrid_final_model_structural_compliance_v1__hgb__structural_ranked_direct,125,27,0.7757575757575758,0.8372093023255814,0.7804878048780488,0.8780487804878049,0.7710843373493976,0.8,0.866374555705356,0.9164113249172692,0.0522703689418287,0.0791188340451699,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
depression,psychologist_1_3,yes,depression__psychologist_1_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_1_3,depression__psychologist_1_3__hybrid_final_model_structural_compliance_v1__rf__dsm5_core_plus_context,41,11,0.8220858895705522,0.8466257668711656,0.8170731707317073,0.8414634146341463,0.8271604938271605,0.8518518518518519,0.8909486456673612,0.905656330432651,0.0493639359464313,0.0671577284343916,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
depression,psychologist_2_3,no,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,83,83,0.8491620111731844,0.8491620111731844,0.926829268292683,0.926829268292683,0.7835051546391752,0.7835051546391752,0.9370327245986028,0.9370327245986028,0.0576198375850678,0.0576198375850678,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,59.0,63.0
depression,psychologist_full,no,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,150,150,0.7878787878787878,0.7878787878787878,0.7926829268292683,0.7926829268292683,0.7831325301204819,0.7831325301204819,0.8737283980880011,0.8737283980880011,0.0494030151469596,0.0494030151469596,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,81.6,55.3
elimination,caregiver_1_3,no,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,4,4,0.8518518518518519,0.8518518518518519,0.8846153846153846,0.8846153846153846,0.8214285714285714,0.8214285714285714,0.930625449317038,0.930625449317038,0.1097963130608728,0.1097963130608728,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,73.0,63.0
elimination,caregiver_2_3,no,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,7,7,0.8440366972477065,0.8440366972477065,0.8846153846153846,0.8846153846153846,0.8070175438596491,0.8070175438596491,0.9294572250179728,0.9294572250179728,0.0365859732281304,0.0365859732281304,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,73.0,84.5
elimination,caregiver_full,no,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,9,9,0.8376068376068376,0.8376068376068376,0.9423076923076924,0.9423076923076924,0.7538461538461538,0.7538461538461538,0.9524622573687994,0.9524622573687994,0.1216793572676659,0.1216793572676659,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0
elimination,psychologist_1_3,no,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,5,5,0.8214285714285714,0.8214285714285714,0.8846153846153846,0.8846153846153846,0.7666666666666667,0.7666666666666667,0.9259525521207764,0.9259525521207764,0.0458965211216198,0.0458965211216198,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0
elimination,psychologist_2_3,no,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,9,9,0.8181818181818182,0.8181818181818182,0.8653846153846154,0.8653846153846154,0.7758620689655172,0.7758620689655172,0.9175053918044572,0.9175053918044572,0.1395246775727929,0.1395246775727929,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,58.0,59.9
elimination,psychologist_full,yes,elimination__psychologist_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,elimination__psychologist_full__hybrid_final_model_structural_compliance_v1__extra_trees__legacy_structural_intersection,12,12,0.8403361344537815,0.8547008547008547,0.9615384615384616,0.9615384615384616,0.746268656716418,0.7692307692307693,0.9609094176851186,0.9632458662832496,0.1396469800885477,0.0457506020631495,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0
