domain,role,mode,v10_reference_champion,v10_reference_family,v10_f1,v10_recall,v10_precision,v10_balanced_accuracy,v10_brier,v11_rf_champion,v11_f1,v11_recall,v11_precision,v11_balanced_accuracy,v11_brier,v12_rf_champion,v12_f1,v12_recall,v12_precision,v12_balanced_accuracy,v12_brier,v12_minus_v11_f1,v12_minus_v11_recall,v12_minus_v11_precision,v12_minus_v11_balanced_accuracy,v12_minus_v11_brier,v12_minus_v10_f1,v12_minus_v10_recall,v10_not_promotable_if_non_rf
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,logreg,0.8757396449704142,0.8604651162790697,0.891566265060241,0.9188112383425806,0.0520635509085647,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.9008381537008618,0.1215485431123243,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.9008381537008618,0.12154854311232437,0.0,0.0,0.0,0.0,6.938893903907228e-17,-0.038530342644832793,-0.023255813953488302,yes
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,hgb,0.8409090909090909,0.8604651162790697,0.8222222222222222,0.909927989611616,0.1061830434387351,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.7662337662337663,0.686046511627907,0.8676470588235294,0.8316019360169992,0.1582824747037536,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7662337662337663,0.686046511627907,0.8676470588235294,0.8316019360169992,0.15828247470375356,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,-0.07467532467532467,-0.17441860465116277,yes
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rf,0.8817891373801917,0.8625,0.9019607843137256,0.9078125,0.0563854385479201,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8902077151335311,0.9375,0.847457627118644,0.9265625,0.0578663135437616,conduct__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8936170212765957,0.91875,0.8698224852071006,0.925,0.0554501956251495,0.003409306143064561,-0.018750000000000044,0.022364858088456563,-0.0015624999999999112,-0.0024161179186120985,0.01182788389640399,0.05624999999999991,no
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,logreg,0.8875739644970414,0.9375,0.8426966292134831,0.925,0.0790929039136678,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8662790697674418,0.93125,0.8097826086956522,0.9109375,0.1324384607101465,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8662790697674418,0.93125,0.8097826086956522,0.9109375,0.13243846071014648,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,-0.021294894729599556,-0.006249999999999978,yes
conduct,caregiver,caregiver_full,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,0.8596491228070176,0.91875,0.8076923076923077,0.9046875,0.0622859399714159,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8708708708708709,0.90625,0.838150289017341,0.909375,0.0639605496569439,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8765432098765432,0.8875,0.8658536585365854,0.909375,0.062264566429061724,0.005672339005672322,-0.018750000000000044,0.027703369519244347,0.0,-0.0016959832278821696,0.016894087069525665,-0.03125,no
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,rf,0.858085808580858,0.8125,0.9090909090909092,0.8859375,0.0585440516294588,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.888235294117647,0.94375,0.8388888888888889,0.9265625,0.0589950192283938,conduct__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8909657320872274,0.89375,0.8881987577639752,0.91875,0.06951630522834215,0.0027304379695803904,-0.04999999999999993,0.04930986887508626,-0.0078125,0.010521285999948352,0.03287992350636937,0.08125000000000004,no
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,rf,0.8734177215189873,0.8625,0.8846153846153846,0.903125,0.0598157660888244,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8765432098765432,0.8875,0.8658536585365854,0.909375,0.0634952314087904,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8765432098765432,0.8875,0.8658536585365854,0.909375,0.06207127420985166,0.0,0.0,0.0,0.0,-0.001423957198938744,0.0031254883575558834,0.02499999999999991,no
conduct,psychologist,psychologist_full,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,0.8768768768768769,0.9125,0.8439306358381503,0.9140625,0.0601968414247834,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8738461538461538,0.8875,0.8606060606060606,0.9078125,0.0638266965070053,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8746177370030581,0.89375,0.8562874251497006,0.909375,0.062206107554836056,0.0007715831569042875,0.006250000000000089,-0.0043186354563600204,0.0015625000000000222,-0.0016205889521692454,-0.0022591398738187607,-0.018749999999999933,no
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,rf,0.8457142857142858,0.902439024390244,0.7956989247311828,0.9273501654614535,0.0501742162589722,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8488372093023255,0.8902439024390244,0.8111111111111111,0.9237651672999142,0.0563713172310038,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8636363636363636,0.926829268292683,0.8085106382978723,0.9408015688197083,0.05174349233009249,0.014799154334038112,0.03658536585365857,-0.00260047281323883,0.01703640151979413,-0.0046278249009113065,0.017922077922077895,0.024390243902438935,no
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,0.8522727272727273,0.9146341463414634,0.7978723404255319,0.9334477264370632,0.0584251216087021,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.847457627118644,0.9146341463414634,0.7894736842105263,0.9321914450300282,0.0590826149576861,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8622754491017964,0.8780487804878049,0.8470588235294118,0.9226927319524452,0.04650110697156305,0.014817821983152402,-0.03658536585365857,0.057585139318885425,-0.009498713077582988,-0.01258150798612305,0.010002721829069139,-0.03658536585365857,yes
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_final_model_structural_compliance_v1__hgb__structural_ranked_direct,hgb,0.8372093023255814,0.8780487804878049,0.8,0.9164113249172692,0.0791188340451699,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8421052631578947,0.8780487804878049,0.8089887640449438,0.9176676063243044,0.0415852128828982,depression__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8421052631578947,0.8780487804878049,0.8089887640449438,0.9176676063243044,0.041585212882898286,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.004895960832313251,0.0,yes
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_model_structural_compliance_v1__rf__dsm5_core_plus_context,rf,0.8466257668711656,0.8414634146341463,0.8518518518518519,0.905656330432651,0.0671577284343916,depression__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8554913294797688,0.902439024390244,0.8131868131868132,0.929862728275524,0.0506447365643547,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8651685393258427,0.9390243902439024,0.8020833333333334,0.9456428483882828,0.046624319490745504,0.009677209846073898,0.03658536585365835,-0.011103479853479814,0.015780120112758866,-0.0040204170736091935,0.01854277245467706,0.09756097560975607,no
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,0.8491620111731844,0.926829268292683,0.7835051546391752,0.9370327245986028,0.0576198375850678,depression__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8604651162790697,0.902439024390244,0.8222222222222222,0.9311190096825592,0.0546991970517486,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8674698795180723,0.8780487804878049,0.8571428571428571,0.9239490133594803,0.04890516671652412,0.007004763239002565,-0.024390243902439157,0.03492063492063491,-0.007169996323078909,-0.005794030335224486,0.018307868344887956,-0.04878048780487809,yes
depression,psychologist,psychologist_full,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,hgb,0.7878787878787878,0.7926829268292683,0.7831325301204819,0.8737283980880011,0.0494030151469596,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8342857142857143,0.8902439024390244,0.7849462365591398,0.9199963230788086,0.0487516434420852,depression__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8342857142857143,0.8902439024390244,0.7849462365591398,0.9199963230788086,0.04875164344208528,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.04640692640692645,0.09756097560975607,yes
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,rf,0.8518518518518519,0.8846153846153846,0.8214285714285714,0.930625449317038,0.1097963130608728,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8363636363636363,0.8846153846153846,0.7931034482758621,0.9282890007189072,0.0758135121059582,elimination__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8363636363636363,0.8846153846153846,0.7931034482758621,0.9282890007189073,0.07581351210595827,0.0,0.0,0.0,1.1102230246251565e-16,6.938893903907228e-17,-0.015488215488215551,0.0,no
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,hgb,0.8440366972477065,0.8846153846153846,0.8070175438596491,0.9294572250179728,0.0365859732281304,elimination__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9259525521207764,0.1324794453750367,elimination__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8440366972477065,0.8846153846153846,0.8070175438596491,0.9294572250179727,0.10989239760085073,0.022608125819135072,0.0,0.04035087719298236,0.003504672897196248,-0.022587047774185964,0.0,0.0,yes
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,extra_trees,0.8376068376068376,0.9423076923076924,0.7538461538461538,0.9524622573687994,0.1216793572676659,elimination__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8333333333333334,0.9615384615384616,0.7352941176470589,0.9597411933860532,0.0294874490095401,elimination__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8403361344537815,0.9615384615384616,0.746268656716418,0.9609094176851186,0.036508747399788904,0.007002801120448154,0.0,0.01097453906935908,0.001168224299065379,0.007021298390248804,0.002729296846943896,0.019230769230769162,yes
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,hgb,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9259525521207764,0.0458965211216198,elimination__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8135593220338984,0.9230769230769232,0.7272727272727273,0.940510424155284,0.0310894869692797,elimination__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8333333333333334,0.9615384615384616,0.7352941176470589,0.9597411933860532,0.03366288075898084,0.019774011299435013,0.038461538461538325,0.008021390374331583,0.019230769230769273,0.0025733937897011415,0.011904761904761973,0.07692307692307698,yes
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,rf,0.8181818181818182,0.8653846153846154,0.7758620689655172,0.9175053918044572,0.1395246775727929,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8376068376068376,0.9423076923076924,0.7538461538461538,0.9524622573687994,0.0362578171802471,elimination__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.847457627118644,0.9615384615384616,0.7575757575757576,0.9620776419841841,0.03511408665786576,0.009850789511806401,0.019230769230769162,0.0037296037296037365,0.009615384615384692,-0.001143730522381342,0.029275808936825798,0.09615384615384615,no
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_final_model_structural_compliance_v1__extra_trees__legacy_structural_intersection,extra_trees,0.8547008547008547,0.9615384615384616,0.7692307692307693,0.9632458662832496,0.0457506020631495,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8403361344537815,0.9615384615384616,0.746268656716418,0.9609094176851186,0.0295704570992494,elimination__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8333333333333334,0.9615384615384616,0.7352941176470589,0.9597411933860532,0.03000959015013661,-0.007002801120448154,0.0,-0.01097453906935908,-0.001168224299065379,0.0004391330508872124,-0.02136752136752129,0.0,yes
