domain,role,mode,v10_reference_champion,v10_reference_family,v10_f1,v10_recall,v10_precision,v10_balanced_accuracy,v10_brier,v11_rf_champion,v11_f1,v11_recall,v11_precision,v11_balanced_accuracy,v11_brier,v12_rf_champion,v12_f1,v12_recall,v12_precision,v12_balanced_accuracy,v12_brier,v12_minus_v11_f1,v12_minus_v11_recall,v12_minus_v11_precision,v12_minus_v11_balanced_accuracy,v12_minus_v11_brier,v12_minus_v10_f1,v12_minus_v10_recall,v10_not_promotable_if_non_rf
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_dsm5_plus_context_1_3,rf,0.8018433179723502,0.925531914893617,0.7073170731707317,0.9161338330944768,0.0753460583624701,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8093023255813954,0.925531914893617,0.71900826446281,0.9187245066696064,0.063894662445087,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8113207547169812,0.9148936170212766,0.7288135593220338,0.9159960313085658,0.07182720906310228,0.0020184291355858086,-0.010638297872340385,0.009805294859223879,-0.0027284753610405943,0.007932546618015276,0.009477436744630974,-0.010638297872340385,no
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,rf,0.8090909090909091,0.946808510638298,0.7063492063492064,0.9254767941792524,0.0744408560108688,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.7982062780269058,0.946808510638298,0.689922480620155,0.9215907838165582,0.0786879634511631,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8,0.9148936170212766,0.7107438016528925,0.9121100209458715,0.07233457356099159,0.0017937219730942422,-0.03191489361702138,0.020821321032737483,-0.009480762870686776,-0.006353389890171521,-0.009090909090909038,-0.03191489361702138,no
adhd,caregiver,caregiver_full,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,rf,0.7777777777777778,0.8191489361702128,0.7403846153846154,0.8746003748208577,0.0687218130961477,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8036529680365296,0.9361702127659576,0.704,0.9201576452430824,0.0755461324257614,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8055555555555556,0.925531914893617,0.7131147540983607,0.9174291698820416,0.07040019449335029,0.0019025875190259445,-0.010638297872340607,0.009114754098360711,-0.0027284753610408163,-0.00514593793241111,0.02777777777777779,0.10638297872340419,no
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__structural_ranked_direct,logreg,0.7657657657657657,0.9042553191489362,0.6640625,0.8964281777091831,0.0875123423719748,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.7909090909090909,0.925531914893617,0.6904761904761905,0.9122478227317824,0.0786775125764627,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7909090909090909,0.925531914893617,0.6904761904761905,0.9122478227317825,0.07867751257646272,0.0,0.0,0.0,1.1102230246251565e-16,1.3877787807814457e-17,0.02514332514332518,0.02127659574468077,yes
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,logreg,0.8241206030150754,0.8723404255319149,0.780952380952381,0.9063774666519678,0.0878566848290679,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8421052631578947,0.851063829787234,0.8333333333333334,0.9048065262925808,0.0405985018273197,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8421052631578947,0.851063829787234,0.8333333333333334,0.9048065262925807,0.04059850182731979,0.0,0.0,0.0,-1.1102230246251565e-16,9.020562075079397e-17,0.017984660142819298,-0.021276595744680882,yes
adhd,psychologist,psychologist_full,adhd__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_only,logreg,0.783410138248848,0.9042553191489362,0.6910569105691057,0.902904861647007,0.0817923949186582,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8075117370892019,0.9148936170212766,0.7226890756302521,0.914700694521001,0.0939018702887466,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.81,0.8617021276595744,0.7641509433962265,0.898467644140668,0.0878952629711962,0.002488262910798178,-0.05319148936170215,0.04146186776597438,-0.01623305038033296,-0.0060066073175504,0.026589861751152077,-0.042553191489361764,yes
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,rf,0.8554216867469879,0.8255813953488372,0.8875,0.9013693778774644,0.0368358394115982,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8700564971751412,0.8953488372093024,0.8461538461538461,0.9299079211427222,0.0377847444619504,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8705882352941177,0.8604651162790697,0.8809523809523809,0.9175422028095856,0.03843303283701968,0.0005317381189764436,-0.03488372093023262,0.034798534798534786,-0.0123657183331366,0.000648288375069285,0.015166548547129732,0.03488372093023251,no
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,logreg,0.8674698795180723,0.8372093023255814,0.9,0.9084523668988314,0.0567813344547886,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8402366863905325,0.8255813953488372,0.8554216867469879,0.8975622712784795,0.1324680784221708,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8402366863905325,0.8255813953488372,0.8554216867469879,0.8975622712784795,0.1324680784221708,0.0,0.0,0.0,0.0,0.0,-0.0272331931275398,-0.011627906976744207,yes
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,logreg,0.8439306358381503,0.8488372093023255,0.8390804597701149,0.9066521071892338,0.0533859879741393,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8187134502923976,0.813953488372093,0.8235294117647058,0.8879412111911227,0.1363188022729681,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8187134502923976,0.813953488372093,0.8235294117647058,0.8879412111911227,0.1363188022729681,0.0,0.0,0.0,0.0,0.0,-0.025217185545752696,-0.03488372093023251,yes
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_model_structural_compliance_v1__logreg__legacy_structural_intersection,logreg,0.8253968253968254,0.9069767441860463,0.7572815533980582,0.9217624837681502,0.0603310349484983,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8352941176470589,0.8255813953488372,0.8452380952380952,0.8962932357454846,0.1195811534254709,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8352941176470589,0.8255813953488372,0.8452380952380952,0.8962932357454846,0.11958115342547092,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.009897292250233503,-0.08139534883720911,yes
