domain,role,mode,old_champion,old_model_family,new_rf_champion,champion_final,promoted,old_f1,new_f1,delta_f1,old_recall,new_recall,delta_recall,old_precision,new_precision,delta_precision,old_specificity,new_specificity,delta_specificity,old_balanced_accuracy,new_balanced_accuracy,delta_balanced_accuracy,old_roc_auc,new_roc_auc,delta_roc_auc,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_class,new_class,old_confidence_pct,new_confidence_pct,selection_reason
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8093023255813954,0.8113207547169812,0.0020184291355858,0.925531914893617,0.9148936170212766,-0.0106382978723403,0.71900826446281,0.7288135593220338,0.0098052948592238,0.911917098445596,0.917098445595855,0.0051813471502589,0.9187245066696064,0.9159960313085658,-0.0027284753610405,0.9492613824275165,0.953560798147944,0.0042994157204274,0.7241089004526715,0.7357647200905179,0.0116558196378463,0.063894662445087,0.0718272090631022,0.0079325466180152,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,best_guard_compliant_rf_based_candidate
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.7982062780269058,0.8,0.0017937219730942,0.946808510638298,0.9148936170212766,-0.0319148936170213,0.689922480620155,0.7107438016528925,0.0208213210327374,0.8963730569948186,0.9093264248704664,0.0129533678756477,0.9215907838165582,0.9121100209458716,-0.0094807628706867,0.9524583838606548,0.9534505567192152,0.0009921728585602,0.7461931953430669,0.7218077314082578,-0.0243854639348091,0.0786879634511631,0.0723345735609915,-0.0063533898901715,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,best_guard_compliant_rf_based_candidate
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8036529680365296,0.8055555555555556,0.0019025875190259,0.9361702127659576,0.925531914893617,-0.0106382978723406,0.704,0.7131147540983607,0.0091147540983607,0.9041450777202072,0.9093264248704664,0.005181347150259,0.9201576452430824,0.9174291698820416,-0.0027284753610408,0.951383529930548,0.9517969352882816,0.0004134053577334,0.7300419974766443,0.7519655132018477,0.0219235157252033,0.0755461324257614,0.0704001944933502,-0.0051459379324111,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,best_guard_compliant_rf_based_candidate
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.7909090909090909,0.7909090909090909,0.0,0.925531914893617,0.925531914893617,0.0,0.6904761904761905,0.6904761904761905,0.0,0.8989637305699482,0.8989637305699482,0.0,0.9122478227317824,0.9122478227317824,1.1102230246251563e-16,0.949729908499614,0.949729908499614,1.1102230246251563e-16,0.7180700559629031,0.7180700559629031,0.0,0.0786775125764627,0.0786775125764627,1.3877787807814457e-17,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,f1_matched_with_recall_gain
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8421052631578947,0.8421052631578947,0.0,0.851063829787234,0.851063829787234,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9585492227979274,0.9585492227979274,0.0,0.9048065262925808,0.9048065262925808,-1.1102230246251563e-16,0.9720675779958108,0.9720675779958108,-1.1102230246251563e-16,0.9313831206397698,0.9313831206397698,0.0,0.0405985018273197,0.0405985018273197,9.020562075079396e-17,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.8,84.8,f1_matched_with_recall_gain
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8075117370892019,0.81,0.0024882629107981,0.9148936170212766,0.8617021276595744,-0.0531914893617021,0.7226890756302521,0.7641509433962265,0.0414618677659743,0.9145077720207254,0.9352331606217616,0.0207253886010362,0.914700694521001,0.898467644140668,-0.0162330503803329,0.962931319589902,0.972935729247051,0.0100044096571489,0.8534145929527844,0.9070592804693738,0.0536446875165893,0.0939018702887466,0.0878952629711962,-0.0060066073175504,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,best_guard_compliant_rf_based_candidate
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8700564971751412,0.8705882352941177,0.0005317381189764,0.8953488372093024,0.8604651162790697,-0.0348837209302326,0.8461538461538461,0.8809523809523809,0.0347985347985347,0.964467005076142,0.9746192893401016,0.0101522842639595,0.9299079211427222,0.9175422028095856,-0.0123657183331366,0.9767884547278952,0.9795773816550584,0.0027889269271631,0.9193327479894848,0.9306855724291948,0.0113528244397098,0.0377847444619504,0.0384330328370196,0.0006482883750692,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9,best_guard_compliant_rf_based_candidate
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8402366863905325,0.8402366863905325,0.0,0.8255813953488372,0.8255813953488372,0.0,0.8554216867469879,0.8554216867469879,0.0,0.9695431472081218,0.9695431472081218,0.0,0.8975622712784795,0.8975622712784795,0.0,0.9643637114862472,0.9643637114862472,0.0,0.8985296515822613,0.8985296515822613,0.0,0.1324680784221708,0.1324680784221708,0.0,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,f1_matched_with_recall_gain
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8187134502923976,0.8187134502923976,0.0,0.813953488372093,0.813953488372093,0.0,0.8235294117647058,0.8235294117647058,0.0,0.9619289340101524,0.9619289340101524,-1.1102230246251563e-16,0.8879412111911227,0.8879412111911227,0.0,0.9536654468185574,0.9536654468185574,0.0,0.8531067850920091,0.8531067850920091,0.0,0.1363188022729681,0.1363188022729681,0.0,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,f1_matched_with_recall_gain
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,0.8352941176470589,0.8352941176470589,0.0,0.8255813953488372,0.8255813953488372,0.0,0.8452380952380952,0.8452380952380952,0.0,0.967005076142132,0.967005076142132,-1.1102230246251563e-16,0.8962932357454846,0.8962932357454846,0.0,0.9639652933537952,0.9639652933537952,0.0,0.8800940637253928,0.8800940637253928,0.0,0.1195811534254709,0.1195811534254709,1.3877787807814457e-17,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,f1_matched_with_recall_gain
