domain,mode,role,active_model_id,shortcut_dominance_flag,dominance_type,top1_importance_share,top3_importance_share,top1_drop_abs_ba,model_balanced_accuracy
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.20276465318223258,0.5596062773120282,0.02590673575129543,0.9159960313085658
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.2541346222904481,0.5738970670021726,0.09602028442288613,0.9121100209458715
adhd,caregiver_full,caregiver,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.16447526343251415,0.376052359747003,0.08811046191158622,0.9174291698820416
adhd,psychologist_1_3,psychologist,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.20282389379708332,0.5567100696677907,0.07358615367655164,0.9122478227317825
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.07412749792175703,0.19831123354476576,0.014248704663212375,0.9048065262925807
adhd,psychologist_full,psychologist,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.17139021527046258,0.4167245300026928,0.10189064050270091,0.898467644140668
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.21685553440506222,0.5065758752667631,0.41754220280958565,0.9175422028095856
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.09375,0.21875,0.12103057490260893,0.8975622712784795
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.09375,0.21875,0.10485774997048758,0.8879412111911227
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.17142857142857143,0.42857142857142855,0.0038071065989847552,0.8962932357454846
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.09677419354838708,0.2258064516129032,0.03308346122063521,0.9008381537008618
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.07692307692307693,0.23076923076923078,0.1306516349899658,0.8316019360169992
conduct,caregiver_1_3,caregiver,conduct__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,none,0.15595345666357813,0.3518781673041215,0.012500000000000067,0.925
