split_version,domain,split_name,n,source
v4_reuse_v3_holdout,adhd,train,1440,data/hybrid_rf_final_ceiling_push_v3/splits/domain_adhd/ids_train.csv
v4_reuse_v3_holdout,adhd,val,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_adhd/ids_val.csv
v4_reuse_v3_holdout,adhd,holdout,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_adhd/ids_holdout.csv
v4_alt_seeded,adhd,alt_split_1_train,1440,generated_in_script
v4_alt_seeded,adhd,alt_split_1_val,480,generated_in_script
v4_alt_seeded,adhd,alt_split_1_holdout,480,generated_in_script
v4_alt_seeded,adhd,alt_split_2_train,1440,generated_in_script
v4_alt_seeded,adhd,alt_split_2_val,480,generated_in_script
v4_alt_seeded,adhd,alt_split_2_holdout,480,generated_in_script
v4_reuse_v3_holdout,anxiety,train,1440,data/hybrid_rf_final_ceiling_push_v3/splits/domain_anxiety/ids_train.csv
v4_reuse_v3_holdout,anxiety,val,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_anxiety/ids_val.csv
v4_reuse_v3_holdout,anxiety,holdout,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_anxiety/ids_holdout.csv
v4_alt_seeded,anxiety,alt_split_1_train,1440,generated_in_script
v4_alt_seeded,anxiety,alt_split_1_val,480,generated_in_script
v4_alt_seeded,anxiety,alt_split_1_holdout,480,generated_in_script
v4_alt_seeded,anxiety,alt_split_2_train,1440,generated_in_script
v4_alt_seeded,anxiety,alt_split_2_val,480,generated_in_script
v4_alt_seeded,anxiety,alt_split_2_holdout,480,generated_in_script
v4_reuse_v3_holdout,depression,train,1440,data/hybrid_rf_final_ceiling_push_v3/splits/domain_depression/ids_train.csv
v4_reuse_v3_holdout,depression,val,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_depression/ids_val.csv
v4_reuse_v3_holdout,depression,holdout,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_depression/ids_holdout.csv
v4_alt_seeded,depression,alt_split_1_train,1440,generated_in_script
v4_alt_seeded,depression,alt_split_1_val,480,generated_in_script
v4_alt_seeded,depression,alt_split_1_holdout,480,generated_in_script
v4_alt_seeded,depression,alt_split_2_train,1440,generated_in_script
v4_alt_seeded,depression,alt_split_2_val,480,generated_in_script
v4_alt_seeded,depression,alt_split_2_holdout,480,generated_in_script
v4_reuse_v3_holdout,elimination,train,1440,data/hybrid_rf_final_ceiling_push_v3/splits/domain_elimination/ids_train.csv
v4_reuse_v3_holdout,elimination,val,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_elimination/ids_val.csv
v4_reuse_v3_holdout,elimination,holdout,480,data/hybrid_rf_final_ceiling_push_v3/splits/domain_elimination/ids_holdout.csv
v4_alt_seeded,elimination,alt_split_1_train,1440,generated_in_script
v4_alt_seeded,elimination,alt_split_1_val,480,generated_in_script
v4_alt_seeded,elimination,alt_split_1_holdout,480,generated_in_script
v4_alt_seeded,elimination,alt_split_2_train,1440,generated_in_script
v4_alt_seeded,elimination,alt_split_2_val,480,generated_in_script
v4_alt_seeded,elimination,alt_split_2_holdout,480,generated_in_script
