candidate_id,domain,mode,variant,n_features,status,precision,recall,balanced_accuracy,pr_auc,brier
adhd__caregiver_1_3,adhd,caregiver_1_3,clean_base_only,0,insufficient_features,,,,,
adhd__caregiver_1_3,adhd,caregiver_1_3,dsm5_only,24,ok,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201
adhd__caregiver_1_3,adhd,caregiver_1_3,hybrid_full,24,ok,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201
adhd__caregiver_2_3,adhd,caregiver_2_3,clean_base_only,1,insufficient_features,,,,,
adhd__caregiver_2_3,adhd,caregiver_2_3,dsm5_only,55,ok,0.7265625,0.9893617021276596,0.949344063499063,0.7546418964604416,0.056238649001163044
adhd__caregiver_2_3,adhd,caregiver_2_3,hybrid_full,56,ok,0.7222222222222222,0.9680851063829787,0.9387057656267226,0.7375230938994777,0.05976574272444503
adhd__psychologist_1_3,adhd,psychologist_1_3,clean_base_only,0,insufficient_features,,,,,
adhd__psychologist_1_3,adhd,psychologist_1_3,dsm5_only,71,ok,0.6174496644295302,0.9787234042553191,0.9155275052364679,0.6238363802864415,0.07808988529635512
adhd__psychologist_1_3,adhd,psychologist_1_3,hybrid_full,71,ok,0.6174496644295302,0.9787234042553191,0.9155275052364679,0.6238363802864415,0.07808988529635512
adhd__psychologist_2_3,adhd,psychologist_2_3,clean_base_only,14,ok,0.5857142857142857,0.8723404255319149,0.8610406790872009,0.6035752756482797,0.0986164596495557
adhd__psychologist_2_3,adhd,psychologist_2_3,dsm5_only,61,ok,0.7175572519083969,1.0,0.9520725388601037,0.7364788848851246,0.05772895338239522
adhd__psychologist_2_3,adhd,psychologist_2_3,hybrid_full,75,ok,0.71875,0.9787234042553191,0.942729577775328,0.7298838407871105,0.05918482496570656
anxiety__caregiver_1_3,anxiety,caregiver_1_3,clean_base_only,0,insufficient_features,,,,,
anxiety__caregiver_1_3,anxiety,caregiver_1_3,dsm5_only,59,ok,0.8529411764705882,0.6744186046511628,0.8245189469956322,0.8150983489417174,0.06331465371328962
anxiety__caregiver_1_3,anxiety,caregiver_1_3,hybrid_full,59,ok,0.8529411764705882,0.6744186046511628,0.8245189469956322,0.8150983489417174,0.06331465371328962
anxiety__caregiver_2_3,anxiety,caregiver_2_3,clean_base_only,0,insufficient_features,,,,,
anxiety__caregiver_2_3,anxiety,caregiver_2_3,dsm5_only,45,ok,0.9506172839506173,0.8953488372093024,0.9425982764726715,0.9401752429816774,0.01995237273790314
anxiety__caregiver_2_3,anxiety,caregiver_2_3,hybrid_full,45,ok,0.9506172839506173,0.8953488372093024,0.9425982764726715,0.9401752429816774,0.01995237273790314
anxiety__caregiver_full,anxiety,caregiver_full,clean_base_only,20,ok,0.9027777777777778,0.7558139534883721,0.8690237280132216,0.8750237868977673,0.04240364428199573
anxiety__caregiver_full,anxiety,caregiver_full,dsm5_only,64,ok,0.9213483146067416,0.9534883720930233,0.9678609373155471,0.9252485108785493,0.022347861450548717
anxiety__caregiver_full,anxiety,caregiver_full,hybrid_full,84,ok,0.9166666666666666,0.8953488372093024,0.9387911698736867,0.9363791025648567,0.030046323796972658
depression__caregiver_1_3,depression,caregiver_1_3,clean_base_only,0,insufficient_features,,,,,
depression__caregiver_1_3,depression,caregiver_1_3,dsm5_only,59,ok,0.8227848101265823,0.7926829268292683,0.8787535237161417,0.7961550386138578,0.054220298860528385
depression__caregiver_1_3,depression,caregiver_1_3,hybrid_full,59,ok,0.8227848101265823,0.7926829268292683,0.8787535237161417,0.7961550386138578,0.054220298860528385
depression__caregiver_2_3,depression,caregiver_2_3,clean_base_only,2,insufficient_features,,,,,
depression__caregiver_2_3,depression,caregiver_2_3,dsm5_only,60,ok,0.8292682926829268,0.8292682926829268,0.897046206642971,0.8754429022101737,0.04356230270977244
depression__caregiver_2_3,depression,caregiver_2_3,hybrid_full,62,ok,0.8,0.8780487804878049,0.9164113249172693,0.8823485733137757,0.044622721457806235
depression__caregiver_full,depression,caregiver_full,clean_base_only,15,ok,0.6442307692307693,0.8170731707317073,0.8620541733055521,0.7533808907654891,0.07040415737967255
depression__caregiver_full,depression,caregiver_full,dsm5_only,53,ok,0.8,0.8780487804878049,0.9164113249172693,0.8941615000590465,0.03891067804924943
depression__caregiver_full,depression,caregiver_full,hybrid_full,68,ok,0.8043478260869565,0.9024390243902439,0.9286064468684888,0.9115860387174166,0.037988122862413924
depression__psychologist_1_3,depression,psychologist_1_3,clean_base_only,0,insufficient_features,,,,,
depression__psychologist_1_3,depression,psychologist_1_3,dsm5_only,39,ok,0.7674418604651163,0.8048780487804879,0.8773133962495404,0.801131217211973,0.05729141384649613
depression__psychologist_1_3,depression,psychologist_1_3,hybrid_full,39,ok,0.7674418604651163,0.8048780487804879,0.8773133962495404,0.801131217211973,0.05729141384649613
depression__psychologist_2_3,depression,psychologist_2_3,clean_base_only,18,ok,0.6701030927835051,0.7926829268292683,0.8561404583895085,0.7707834377173247,0.06922880966132056
depression__psychologist_2_3,depression,psychologist_2_3,dsm5_only,50,ok,0.9154929577464789,0.7926829268292683,0.8888037749724231,0.8877493705154006,0.04164208322767139
depression__psychologist_2_3,depression,psychologist_2_3,hybrid_full,68,ok,0.8918918918918919,0.8048780487804879,0.8923887731339626,0.8795058636783943,0.043644181809701234
depression__psychologist_full,depression,psychologist_full,clean_base_only,30,ok,0.6813186813186813,0.7560975609756098,0.8416166196837848,0.7811742270196814,0.06743055383553793
depression__psychologist_full,depression,psychologist_full,dsm5_only,172,ok,0.8765432098765432,0.8658536585365854,0.9203640151979409,0.950566240926785,0.03277396893536667
depression__psychologist_full,depression,psychologist_full,hybrid_full,202,ok,0.8255813953488372,0.8658536585365854,0.9140826081627651,0.9477487948694039,0.03365353111556988
elimination__caregiver_1_3,elimination,caregiver_1_3,clean_base_only,0,insufficient_features,,,,,
elimination__caregiver_1_3,elimination,caregiver_1_3,dsm5_only,27,ok,0.8070175438596491,0.8846153846153846,0.9294572250179727,0.9432765741870175,0.021935225718214366
elimination__caregiver_1_3,elimination,caregiver_1_3,hybrid_full,27,ok,0.8070175438596491,0.8846153846153846,0.9294572250179727,0.9432765741870175,0.021935225718214366
elimination__caregiver_2_3,elimination,caregiver_2_3,clean_base_only,1,insufficient_features,,,,,
elimination__caregiver_2_3,elimination,caregiver_2_3,dsm5_only,44,ok,1.0,1.0,1.0,1.0,8.381746028266329e-06
elimination__caregiver_2_3,elimination,caregiver_2_3,hybrid_full,45,ok,0.9811320754716981,1.0,0.9988317757009346,1.0,0.000147235894965618
elimination__psychologist_1_3,elimination,psychologist_1_3,clean_base_only,0,insufficient_features,,,,,
elimination__psychologist_1_3,elimination,psychologist_1_3,dsm5_only,71,ok,0.7884615384615384,0.7884615384615384,0.8813803019410495,0.8737563002188758,0.03123659221675187
elimination__psychologist_1_3,elimination,psychologist_1_3,hybrid_full,71,ok,0.7884615384615384,0.7884615384615384,0.8813803019410495,0.8737563002188758,0.03123659221675187
elimination__psychologist_2_3,elimination,psychologist_2_3,clean_base_only,19,ok,0.13714285714285715,0.46153846153846156,0.5543673616103523,0.16869274211412139,0.09559104107383729
elimination__psychologist_2_3,elimination,psychologist_2_3,dsm5_only,42,ok,0.9629629629629629,1.0,0.9976635514018692,1.0,0.001002120672963128
elimination__psychologist_2_3,elimination,psychologist_2_3,hybrid_full,61,ok,0.9811320754716981,1.0,0.9988317757009346,1.0,0.0008869532963330752
