candidate_id,seed_ba_std,seed_precision_std,seed_recall_std,split_ba_std,split_precision_std,split_recall_std,seed_ba_min,seed_ba_max
adhd__caregiver_1_3,0.0023099651621855035,0.0019378245383190023,0.005319148936170249,0.013739121396111645,0.04241557736207915,0.0,0.9155275052364679,0.9208466541726381
adhd__caregiver_2_3,0.005092697381682626,0.0020792541157708183,0.010185394763365309,0.011907238543296828,0.05009185429622961,0.0,0.9387057656267226,0.949344063499063
adhd__psychologist_1_3,0.0038507319482762007,0.0017568189143771088,0.008686133839656628,0.012199560275128947,0.008924196645791619,0.022567237697443,0.9061845441516923,0.9155275052364679
adhd__psychologist_2_3,0.004739279694198109,0.0041320956856085575,0.010185394763365309,0.011907238543296828,0.048598677537118225,0.0,0.942729577775328,0.9533678756476685
anxiety__caregiver_1_3,0.008943600627449831,0.0062434848484457725,0.019858431716975964,0.08147045430740997,0.06657823589094113,0.18088778123376797,0.8245189469956322,0.8452366898831307
anxiety__caregiver_2_3,0.05624330178655601,0.007604055112142485,0.11248660357311206,0.013606233659946544,0.04853086813588899,0.01644434374852439,0.8321331601936017,0.9425982764726715
anxiety__caregiver_full,0.0,0.0,0.0,0.020033718272313903,0.03142696805273549,0.0328886874970487,0.9387911698736867,0.9387911698736867
depression__caregiver_1_3,0.008102949272348375,0.01813279024436529,0.019914550754334754,0.012176553837076783,0.03354930875240067,0.017246506858208492,0.865302120357887,0.8846672386321852
depression__caregiver_2_3,0.0016479812685944598,0.024853250266927456,0.0060975609756097615,0.0035533004079725374,0.040294687898498126,0.0,0.9138987621031989,0.9176676063243044
depression__caregiver_full,0.007403651526489193,0.00698297183612081,0.015345191941607229,0.04818622016665278,0.021950099637719857,0.10347904114925087,0.9115700453486947,0.9286064468684888
depression__psychologist_1_3,0.006934036400268177,0.022762740042306422,0.015345191941607191,0.040451291839541666,0.00029187126356078054,0.08623253429104237,0.8773133962495404,0.8930935163622993
depression__psychologist_2_3,0.0022273998085419323,0.021433416898273307,0.0060975609756097615,0.01737650565362212,0.05575158852446626,0.025869760287312738,0.8913163377864934,0.896157617355068
depression__psychologist_full,0.0005362176737345736,0.019308067757680125,0.0060975609756097615,0.01800483316478792,0.0435142634576337,0.04311626714552115,0.913010172815296,0.9140826081627651
elimination__caregiver_1_3,0.019160707016932406,0.01315784602461447,0.04154320960517859,0.06919835412582234,0.13543580385710774,0.16317848796612638,0.9198418404025881,0.9644140905823149
elimination__caregiver_2_3,0.0005841121495326895,0.009433962264150941,0.0,0.0,0.0,0.0,0.9988317757009346,1.0
elimination__psychologist_1_3,0.03762677206602288,0.03186123780676189,0.08215388216651474,0.0374903846962674,0.021600746235707714,0.08158924398306319,0.8813803019410495,0.9620776419841841
elimination__psychologist_2_3,0.0,0.0,0.0,0.0008260593238161093,0.012380320748047272,0.0,0.9988317757009346,0.9988317757009346
