mode,domain,profile,n_features,features
caregiver,adhd,hardened_missing,22,age_years|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl|has_swan|release|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties|sex_assigned_at_birth|site|swan_hyperactive_impulsive_total|swan_inattention_total|swan_total
caregiver,anxiety,base,37,age_years|cbcl_025|cbcl_057|cbcl_058|cbcl_060|cbcl_061|cbcl_062|cbcl_063|cbcl_064|cbcl_065|cbcl_066|cbcl_070|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl|has_scared_p|release|scared_p_generalized_anxiety|scared_p_panic_somatic|scared_p_possible_anxiety_disorder_cut25|scared_p_school_avoidance|scared_p_separation_anxiety|scared_p_social_anxiety|scared_p_total|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties|sex_assigned_at_birth|site
caregiver,conduct,base,21,age_years|ari_p_symptom_total|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_ari_p|has_ari_sr|has_cbcl|has_icut|icut_total|release|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties|sex_assigned_at_birth|site
caregiver,depression,base,17,age_years|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl|mfq_p_total|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties|sex_assigned_at_birth
psychologist,adhd,base,35,age_years|sex_assigned_at_birth|site|release|has_swan|swan_hyperactive_impulsive_total|swan_inattention_total|swan_total|has_conners|conners_cognitive_problems|conners_conduct_problems|conners_hyperactivity|conners_total|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties|has_ysr|ysr_aggressive_behavior_proxy|ysr_anxious_depressed_proxy|ysr_attention_problems_proxy|ysr_externalizing_proxy|ysr_internalizing_proxy|ysr_rule_breaking_proxy
psychologist,anxiety,base,260,age_years|sex_assigned_at_birth|site|release|has_scared_p|scared_p_01|scared_p_02|scared_p_03|scared_p_04|scared_p_05|scared_p_06|scared_p_07|scared_p_08|scared_p_09|scared_p_10|scared_p_11|scared_p_12|scared_p_13|scared_p_14|scared_p_15|scared_p_16|scared_p_17|scared_p_18|scared_p_19|scared_p_20|scared_p_21|scared_p_22|scared_p_23|scared_p_24|scared_p_25|scared_p_26|scared_p_27|scared_p_28|scared_p_29|scared_p_30|scared_p_31|scared_p_32|scared_p_33|scared_p_34|scared_p_35|scared_p_36|scared_p_37|scared_p_38|scared_p_39|scared_p_40|scared_p_41|scared_p_generalized_anxiety|scared_p_panic_somatic|scared_p_possible_anxiety_disorder_cut25|scared_p_school_avoidance|scared_p_separation_anxiety|scared_p_social_anxiety|scared_p_total|has_scared_sr|scared_sr_01|scared_sr_02|scared_sr_03|scared_sr_04|scared_sr_05|scared_sr_06|scared_sr_07|scared_sr_08|scared_sr_09|scared_sr_10|scared_sr_11|scared_sr_12|scared_sr_13|scared_sr_14|scared_sr_15|scared_sr_16|scared_sr_17|scared_sr_18|scared_sr_19|scared_sr_20|scared_sr_21|scared_sr_22|scared_sr_23|scared_sr_24|scared_sr_25|scared_sr_26|scared_sr_27|scared_sr_28|scared_sr_29|scared_sr_30|scared_sr_31|scared_sr_32|scared_sr_33|scared_sr_34|scared_sr_35|scared_sr_36|scared_sr_37|scared_sr_38|scared_sr_39|scared_sr_40|scared_sr_41|scared_sr_generalized_anxiety|scared_sr_panic_somatic|scared_sr_possible_anxiety_disorder_cut25|scared_sr_school_avoidance|scared_sr_separation_anxiety|scared_sr_social_anxiety|scared_sr_total|has_cbcl|cbcl_001|cbcl_002|cbcl_003|cbcl_004|cbcl_005|cbcl_006|cbcl_007|cbcl_008|cbcl_009|cbcl_010|cbcl_011|cbcl_012|cbcl_013|cbcl_014|cbcl_015|cbcl_016|cbcl_017|cbcl_018|cbcl_019|cbcl_020|cbcl_021|cbcl_022|cbcl_023|cbcl_024|cbcl_025|cbcl_026|cbcl_027|cbcl_028|cbcl_029|cbcl_030|cbcl_031|cbcl_032|cbcl_033|cbcl_034|cbcl_035|cbcl_036|cbcl_037|cbcl_038|cbcl_039|cbcl_040|cbcl_041|cbcl_042|cbcl_043|cbcl_044|cbcl_045|cbcl_046|cbcl_047|cbcl_048|cbcl_049|cbcl_050|cbcl_051|cbcl_052|cbcl_053|cbcl_054|cbcl_055|cbcl_056|cbcl_057|cbcl_058|cbcl_059|cbcl_060|cbcl_061|cbcl_062|cbcl_063|cbcl_064|cbcl_065|cbcl_066|cbcl_067|cbcl_068|cbcl_069|cbcl_070|cbcl_071|cbcl_072|cbcl_073|cbcl_074|cbcl_075|cbcl_076|cbcl_077|cbcl_078|cbcl_079|cbcl_080|cbcl_081|cbcl_082|cbcl_083|cbcl_084|cbcl_085|cbcl_086|cbcl_087|cbcl_088|cbcl_089|cbcl_090|cbcl_091|cbcl_092|cbcl_093|cbcl_094|cbcl_095|cbcl_096|cbcl_097|cbcl_098|cbcl_099|cbcl_100|cbcl_101|cbcl_102|cbcl_103|cbcl_104|cbcl_105|cbcl_106|cbcl_107|cbcl_108|cbcl_109|cbcl_110|cbcl_111|cbcl_112|cbcl_113|cbcl_114|cbcl_115|cbcl_116|cbcl_117|cbcl_118|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_01|sdq_02|sdq_03|sdq_04|sdq_05|sdq_06|sdq_07|sdq_08|sdq_09|sdq_10|sdq_11|sdq_12|sdq_13|sdq_14|sdq_15|sdq_16|sdq_17|sdq_18|sdq_19|sdq_20|sdq_21|sdq_22|sdq_23|sdq_24|sdq_25|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties
psychologist,conduct,base,23,age_years|sex_assigned_at_birth|site|release|has_icut|icut_total|has_ari_p|ari_p_symptom_total|has_ari_sr|ari_sr_symptom_total|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_sdq|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_total_difficulties
psychologist,depression,base,18,cbcl_internalizing_proxy|cbcl_anxious_depressed_proxy|mfq_p_total|sdq_total_difficulties|sdq_peer_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_conduct_problems|sdq_prosocial_behavior|sdq_impact|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|age_years|has_cbcl|has_sdq|sex_assigned_at_birth
