slot_key,domain,threshold,train_recall,val_recall,holdout_recall,train_specificity,val_specificity,holdout_specificity,holdout_precision,holdout_npv,holdout_fpr,holdout_fnr,holdout_f1,holdout_f2,holdout_balanced_accuracy,holdout_mcc,holdout_positive_rate_predicted,holdout_tn,holdout_fp,holdout_fn,holdout_tp,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_balanced_accuracy,threshold_objective
adhd/caregiver/caregiver_1_3,adhd,1e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.19583333333333333,0.0,1.0,0.0,0.32752613240418116,0.5490654205607477,0.5,0.0,1.0,0,386,0,94,0.0,0.0,0.0,-1.5534306853582556
adhd/caregiver/caregiver_1_3,adhd,0.0006822181818182076,1.0,1.0,1.0,0.5094991364421416,0.49740932642487046,0.46632124352331605,0.31333333333333335,1.0,0.533678756476684,0.0,0.47715736040609136,0.6952662721893492,0.733160621761658,0.3822485966453058,0.625,180,206,0,94,0.0,0.017574981602359596,0.021588946459412783,-0.4703375744754781
adhd/caregiver/caregiver_1_3,adhd,0.0019495798319327793,1.0,1.0,1.0,0.531951640759931,0.5103626943005182,0.48186528497409326,0.3197278911564626,1.0,0.5181347150259067,0.0,0.4845360824742268,0.7014925373134329,0.7409326424870466,0.3925121289670865,0.6125,186,200,0,94,0.0,0.02084352826033764,0.025043177892918878,-0.4332425847920174
adhd/caregiver/caregiver_1_3,adhd,0.002460765550239235,1.0,1.0,1.0,0.5440414507772021,0.5233160621761658,0.48704663212435234,0.3219178082191781,1.0,0.5129533678756477,0.0,0.48704663212435234,0.7035928143712575,0.7435233160621761,0.3959658878161146,0.6083333333333333,188,198,0,94,0.0,0.023961365195306006,0.02849740932642497,-0.42085807800964203
adhd/caregiver/caregiver_1_3,adhd,0.003954918864097362,1.0,1.0,1.0,0.5509499136442142,0.533678756476684,0.49740932642487046,0.3263888888888889,1.0,0.5025906735751295,0.0,0.49214659685863876,0.7078313253012049,0.7487046632124352,0.40292539926738813,0.6,192,194,0,94,0.0,0.02273862288532369,0.02677029360967187,-0.3960590635425988
adhd/caregiver/caregiver_1_3,adhd,0.0047736357475999395,1.0,1.0,1.0,0.5552677029360967,0.5466321243523317,0.49740932642487046,0.3263888888888889,1.0,0.5025906735751295,0.0,0.49214659685863876,0.7078313253012049,0.7487046632124352,0.40292539926738813,0.6,192,194,0,94,0.0,0.02463620716632764,0.02892918825561308,-0.3960590635425988
adhd/caregiver/caregiver_1_3,adhd,0.005423917483660133,1.0,1.0,1.0,0.5639032815198618,0.5595854922279793,0.5025906735751295,0.32867132867132864,1.0,0.49740932642487046,0.0,0.49473684210526314,0.7099697885196374,0.7512953367875648,0.4064322138582962,0.5958333333333333,194,192,0,94,0.0,0.026322639678796,0.030656303972366183,-0.3836443020999164
adhd/caregiver/caregiver_1_3,adhd,0.008569682846822945,1.0,1.0,1.0,0.5863557858376511,0.572538860103627,0.5233160621761658,0.3381294964028777,1.0,0.47668393782383417,0.0,0.5053763440860215,0.7186544342507646,0.7616580310880829,0.42065258416318324,0.5791666666666667,202,184,0,94,0.0,0.027772246532718703,0.031519861830742624,-0.33388047939743937
adhd/caregiver/caregiver_1_3,adhd,0.01,1.0,1.0,1.0,0.5924006908462867,0.5777202072538861,0.5310880829015544,0.3418181818181818,1.0,0.4689119170984456,0.0,0.5094850948509485,0.7219662058371735,0.7655440414507773,0.4260699037513834,0.5729166666666666,205,181,0,94,0.0,0.027236769720743625,0.030656303972366072,-0.31517459244193324
adhd/caregiver/caregiver_1_3,adhd,0.013767713263044162,1.0,1.0,1.0,0.6044905008635578,0.5854922279792746,0.5466321243523317,0.34944237918215615,1.0,0.4533678756476684,0.0,0.5179063360881543,0.7286821705426356,0.7733160621761659,0.4370542644467332,0.5604166666666667,211,175,0,94,0.0,0.026135816609398566,0.02892918825561308,-0.27768730403463004
