slot_key,domain,ablation,n_features,threshold,recall,specificity,fpr,fnr,precision,npv,f1,f2,pr_auc,roc_auc,balanced_accuracy,mcc,brier,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_ba
adhd/caregiver/caregiver_1_3,adhd,no_global_impairment_or_global_duration,5,0.436411401101844,0.9148936170212766,0.8005181347150259,0.19948186528497408,0.0851063829787234,0.5276073619631901,0.9747634069400631,0.669260700389105,0.7977736549165121,0.568179387298182,0.9060743027229633,0.8577058758681513,0.5995014193496039,0.11340488328905408,0.06737588652482274,0.0722012194553473,0.05268621614669455
adhd/caregiver/caregiver_2_3,adhd,no_global_impairment_or_global_duration,14,0.3894575568054616,0.9787234042553191,0.8186528497409327,0.18134715025906736,0.02127659574468085,0.5679012345679012,0.9937106918238994,0.71875,0.8550185873605948,0.5707179938026445,0.9128817109469738,0.898688126998126,0.6691905663306326,0.10466999297580398,0.021276595744680882,0.03010382318554461,0.022296328960423217
adhd/caregiver/caregiver_full,adhd,no_global_impairment_or_global_duration,22,0.09,0.9787234042553191,0.8160621761658031,0.18393782383419688,0.02127659574468085,0.5644171779141104,0.9936908517350158,0.7159533073929961,0.8534322820037106,0.5945872699209992,0.9151140998787344,0.8973927902105612,0.6660151757147652,0.10231443824786698,0.021276595744680882,0.030026364612830814,0.022296328960423217
adhd/psychologist/psychologist_1_3,adhd,no_global_impairment_or_global_duration,8,0.09,0.9574468085106383,0.8031088082901554,0.19689119170984457,0.0425531914893617,0.5421686746987951,0.9872611464968153,0.6923076923076923,0.8302583025830259,0.5762356616728959,0.9077830448682614,0.8802778084003968,0.6345556115992999,0.09989227197089856,0.03900709219858156,0.03809769247259842,0.027707345753867685
adhd/psychologist/psychologist_2_3,adhd,no_global_impairment_or_global_duration,14,0.09999999999999999,0.9787234042553191,0.9015544041450777,0.09844559585492228,0.02127659574468085,0.7076923076923077,0.9942857142857143,0.8214285714285714,0.9090909090909092,0.8661075441955592,0.9679748649542498,0.9401389042001984,0.7860888465892764,0.0600572989783287,0.021276595744680882,0.02716407098877216,0.018410318597729125
adhd/psychologist/psychologist_full,adhd,no_global_impairment_or_global_duration,23,0.12,0.9680851063829787,0.9093264248704663,0.09067357512953368,0.031914893617021274,0.7222222222222222,0.9915254237288136,0.8272727272727273,0.9063745019920318,0.8640635541304292,0.9691323999559034,0.9387057656267226,0.7913598517504158,0.06054485199534788,0.03191489361702127,0.036769310716998294,0.024593025392275703
anxiety/caregiver/caregiver_1_3,anxiety,no_global_impairment_or_global_duration,2,0.26,0.8837209302325582,0.8324873096446701,0.16751269035532995,0.11627906976744186,0.5352112676056338,0.9704142011834319,0.6666666666666666,0.7818930041152264,0.8159169047422976,0.9294209656475032,0.8581041199386141,0.6017749804025714,0.08560201287506362,0.003875968992248069,0.008244355466577757,0.006945264234840431
anxiety/caregiver/caregiver_2_3,anxiety,no_global_impairment_or_global_duration,21,0.4,0.9186046511627907,0.9543147208121827,0.04568527918781726,0.08139534883720931,0.8144329896907216,0.9817232375979112,0.8633879781420765,0.8956916099773242,0.9313033391869,0.9786624955731319,0.9364596859874867,0.8336547210438848,0.04079358755336375,0.06976744186046513,0.06439875146845886,0.0403828749065438
anxiety/caregiver/caregiver_full,anxiety,no_global_impairment_or_global_duration,31,0.4260374680932855,0.9186046511627907,0.9619289340101523,0.03807106598984772,0.08139534883720931,0.8404255319148937,0.9818652849740933,0.8777777777777778,0.901826484018265,0.9367125915678414,0.9813776413646559,0.9402667925864715,0.8509140268264754,0.04002073887351713,0.04263565891472876,0.0375674553756743,0.0234328886790226
anxiety/psychologist/psychologist_1_3,anxiety,no_global_impairment_or_global_duration,11,0.16,0.9302325581395349,0.9416243654822335,0.0583756345177665,0.06976744186046512,0.7766990291262136,0.9840848806366048,0.8465608465608465,0.8948545861297539,0.944866388791862,0.9832369259827647,0.9359284618108842,0.8144290755533915,0.035807157290515236,0.05813953488372092,0.04819275114835264,0.03076181481918705
anxiety/psychologist/psychologist_2_3,anxiety,no_global_impairment_or_global_duration,25,0.46,0.9069767441860465,0.9670050761421319,0.03299492385786802,0.09302325581395349,0.8571428571428571,0.9794344473007712,0.8813559322033898,0.8965517241379309,0.9362384327594142,0.9821449651753039,0.9369909101640892,0.8550750583328244,0.04069718883289007,0.050387596899224896,0.044759251471825245,0.02773186951560236
anxiety/psychologist/psychologist_full,anxiety,no_global_impairment_or_global_duration,40,0.46,0.9069767441860465,0.9670050761421319,0.03299492385786802,0.09302325581395349,0.8571428571428571,0.9794344473007712,0.8813559322033898,0.8965517241379309,0.9351221269725494,0.9819383779955141,0.9369909101640892,0.8550750583328244,0.04042882936763482,0.04651162790697683,0.04023426215300574,0.024947861330814947
conduct/caregiver/caregiver_1_3,conduct,no_global_impairment_or_global_duration,7,0.05832545199397524,0.98125,0.809375,0.190625,0.01875,0.7201834862385321,0.9885496183206107,0.8306878306878307,0.9149184149184149,0.9124103561769228,0.9589648437499999,0.8953125,0.7485600248424119,0.07619010475345593,0.014574634655532437,0.004960383632646059,0.016026613473482443
conduct/caregiver/caregiver_2_3,conduct,no_global_impairment_or_global_duration,14,0.06999999999999999,0.98125,0.83125,0.16875,0.01875,0.7440758293838863,0.9888475836431226,0.8463611859838275,0.9224441833137486,0.9261235104672312,0.9663769531249999,0.90625,0.7716866417688236,0.07471218735514781,0.01666231732776624,0.013342817469336743,0.009459540557743673
conduct/caregiver/caregiver_full,conduct,no_global_impairment_or_global_duration,20,0.12,0.96875,0.86875,0.13125,0.03125,0.7868020304568528,0.9823321554770318,0.8683473389355743,0.9259259259259259,0.9260563082332944,0.96642578125,0.91875,0.8025894845558521,0.07466384574003708,0.02498695198329859,0.01851851851851849,0.011521181506737754
conduct/psychologist/psychologist_1_3,conduct,no_global_impairment_or_global_duration,8,0.21000000000000002,0.96875,0.828125,0.171875,0.03125,0.7380952380952381,0.9814814814814815,0.8378378378378378,0.9117647058823529,0.9179496727288678,0.9598437500000001,0.8984375,0.7572401854185358,0.07630165512126948,0.022899269311064674,0.009492082325560092,9.264974398193182e-05
conduct/psychologist/psychologist_2_3,conduct,no_global_impairment_or_global_duration,15,0.06539252979999668,0.98125,0.83125,0.16875,0.01875,0.7440758293838863,0.9888475836431226,0.8463611859838275,0.9224441833137486,0.9290599328310392,0.966640625,0.90625,0.7716866417688236,0.07434451442802874,0.01666231732776624,0.011879507069363249,0.007378375105090207
conduct/psychologist/psychologist_full,conduct,no_global_impairment_or_global_duration,21,0.11,0.975,0.853125,0.146875,0.025,0.7684729064039408,0.9855595667870036,0.859504132231405,0.9252669039145908,0.9260815044609204,0.9667968749999999,0.9140625,0.7902108211491734,0.07399131992162479,0.020824634655532415,0.01928755153095374,0.015171357390201146
depression/caregiver/caregiver_1_3,depression,no_global_impairment_or_global_duration,6,0.46413197555728164,0.9634146341463414,0.8743718592964824,0.12562814070351758,0.036585365853658534,0.6124031007751938,0.9914529914529915,0.7488151658767772,0.8643326039387309,0.7853435858043902,0.9622043142541978,0.9188932467214119,0.7112682180808712,0.07692980828170362,0.012394225983076157,0.0063699371673976435,0.004315702130095245
depression/caregiver/caregiver_2_3,depression,no_global_impairment_or_global_duration,13,0.5700000000000001,0.9146341463414634,0.9195979899497487,0.08040201005025126,0.08536585365853659,0.7009345794392523,0.9812332439678284,0.7936507936507936,0.8620689655172413,0.806346281200243,0.9657127098909181,0.9171160681456061,0.7543781019024979,0.0746027914557844,0.03230462916874066,0.03161362308060145,0.02037005601116959
depression/caregiver/caregiver_full,depression,no_global_impairment_or_global_duration,23,0.4665848789491877,0.9634146341463414,0.907035175879397,0.09296482412060302,0.036585365853658534,0.6810344827586207,0.9917582417582418,0.797979797979798,0.8896396396396395,0.8618012823746484,0.9739857825713937,0.9352249050128691,0.7652661623529436,0.058662479636858444,0.032503733200597296,0.047380329638394225,0.03009829539700193
depression/psychologist/psychologist_1_3,depression,no_global_impairment_or_global_duration,3,0.25,0.9024390243902439,0.6934673366834171,0.3065326633165829,0.0975609756097561,0.37755102040816324,0.971830985915493,0.5323741007194245,0.7061068702290075,0.593008799499733,0.8843761490378723,0.7979531805368305,0.45628824224709624,0.12280228652055186,0.07715281234444993,0.07109520230985245,0.05627788427403102
depression/psychologist/psychologist_2_3,depression,no_global_impairment_or_global_duration,14,0.5099999999999999,0.926829268292683,0.9170854271356784,0.0829145728643216,0.07317073170731707,0.6972477064220184,0.9838274932614556,0.7958115183246073,0.8695652173913044,0.8222765173043879,0.9661416840299055,0.9219573477141807,0.758135456039809,0.06699476761828183,0.04868093578894972,0.04895899475319987,0.03148813089567337
depression/psychologist/psychologist_full,depression,no_global_impairment_or_global_duration,34,0.42000000000000004,0.9634146341463414,0.8969849246231156,0.10301507537688442,0.036585365853658534,0.6583333333333333,0.9916666666666667,0.7821782178217822,0.8816964285714285,0.881741772525929,0.9739245005515382,0.9301997793847285,0.7478366888566962,0.058209949537453703,0.03658536585365857,0.047742114675915936,0.030888086724058073
