slot_key,domain,ablation,n_features,threshold,recall,specificity,fpr,fnr,precision,npv,f1,f2,pr_auc,roc_auc,balanced_accuracy,mcc,brier,gap_train_holdout_recall,gap_train_holdout_f2,gap_train_holdout_ba
adhd/caregiver/caregiver_1_3,adhd,no_target_proxy_candidates,9,0.4,0.9787234042553191,0.8626943005181347,0.13730569948186527,0.02127659574468085,0.6344827586206897,0.9940298507462687,0.7698744769874477,0.8829174664107485,0.6348300001844969,0.9366938595524198,0.9207088523867268,0.7272149869156441,0.08637692521568065,0.021276595744680882,0.02970389281255248,0.021000992172858668
adhd/caregiver/caregiver_2_3,adhd,no_target_proxy_candidates,18,0.4499999999999999,0.9680851063829787,0.8860103626943006,0.11398963730569948,0.031914893617021274,0.674074074074074,0.991304347826087,0.7947598253275109,0.8904109589041096,0.6349693136205401,0.939256972770367,0.9270477345386396,0.7538545584970073,0.08375163643332675,0.03191489361702127,0.034179205030316684,0.02329768860471093
adhd/caregiver/caregiver_full,adhd,no_target_proxy_candidates,26,0.060000000000000005,1.0,0.8497409326424871,0.15025906735751296,0.0,0.618421052631579,1.0,0.7642276422764228,0.8901515151515151,0.66977613630941,0.9409657149156653,0.9248704663212435,0.7249121891849429,0.08259282220518545,0.0,0.016018150658253516,0.012089810017271274
adhd/psychologist/psychologist_1_3,adhd,no_target_proxy_candidates,9,0.06745820627538414,0.9787234042553191,0.8497409326424871,0.15025906735751296,0.02127659574468085,0.6133333333333333,0.9939393939393939,0.7540983606557377,0.8745247148288974,0.6413740714852344,0.9338138022268769,0.9142321684489031,0.7092981018698148,0.08130952316506299,0.01773049645390079,0.027272461037598283,0.019659721456656842
adhd/psychologist/psychologist_2_3,adhd,no_target_proxy_candidates,18,0.14,0.9787234042553191,0.9481865284974094,0.05181347150259067,0.02127659574468085,0.8214285714285714,0.9945652173913043,0.8932038834951457,0.942622950819672,0.9605288502790146,0.9899955903428509,0.9634549663763643,0.8696854304411884,0.033043335734449904,0.021276595744680882,0.031806904052477325,0.020569213243670226
adhd/psychologist/psychologist_full,adhd,no_target_proxy_candidates,27,0.24948944764471992,0.9680851063829787,0.9559585492227979,0.04404145077720207,0.031914893617021274,0.8425925925925926,0.9919354838709677,0.900990099009901,0.9400826446280992,0.9630826128741268,0.9907948407011355,0.9620218278028883,0.8781459869982015,0.03293035996467614,0.03191489361702127,0.043867111129053615,0.028047256825781908
anxiety/caregiver/caregiver_1_3,anxiety,no_target_proxy_candidates,5,0.5199999999999999,0.9418604651162791,0.9568527918781726,0.04314720812182741,0.05813953488372093,0.826530612244898,0.9869109947643979,0.8804347826086957,0.916289592760181,0.955690824027037,0.9888885609727305,0.9493566284972259,0.8550150618615587,0.05194035018731213,0.03488372093023262,0.04054108976616888,0.02547908550741762
anxiety/caregiver/caregiver_2_3,anxiety,no_target_proxy_candidates,27,0.36000000000000004,0.9651162790697675,0.9644670050761421,0.03553299492385787,0.03488372093023256,0.8556701030927835,0.9921671018276762,0.907103825136612,0.9410430839002267,0.9722061553201079,0.993595797426514,0.9647916420729548,0.8877698425667823,0.02723009861716629,0.03100775193798444,0.02222528191686457,0.01423484043599732
anxiety/caregiver/caregiver_full,anxiety,no_target_proxy_candidates,40,0.3670246045378587,0.9767441860465116,0.9619289340101523,0.03807106598984772,0.023255813953488372,0.8484848484848485,0.994750656167979,0.9081081081081082,0.948081264108352,0.9729367308495688,0.9938909219690709,0.9693365600283319,0.8896755038186817,0.02884854507284831,0.015503875968992276,0.00928597598140124,0.006059890607169605
anxiety/psychologist/psychologist_1_3,anxiety,no_target_proxy_candidates,12,0.10735059200608085,0.9651162790697675,0.9213197969543148,0.07868020304568528,0.03488372093023256,0.7280701754385965,0.9918032786885246,0.83,0.906113537117904,0.9476782393006409,0.9842993743359698,0.9432180380120412,0.798825262438756,0.03464668714606566,0.03100775193798444,0.02707455293293104,0.017618935190650387
anxiety/psychologist/psychologist_2_3,anxiety,no_target_proxy_candidates,33,0.39,0.9767441860465116,0.9644670050761421,0.03553299492385787,0.023255813953488372,0.8571428571428571,0.9947643979057592,0.9130434782608695,0.9502262443438912,0.975020175202338,0.9943631212371621,0.9706055955613269,0.8954466160806789,0.028287425001016987,0.015503875968992276,0.009293995536168942,0.006059890607169605
anxiety/psychologist/psychologist_full,anxiety,no_target_proxy_candidates,49,0.39,0.9767441860465116,0.9670050761421319,0.03299492385786802,0.023255813953488372,0.865979381443299,0.9947780678851175,0.9180327868852459,0.9523809523809526,0.9745363432434598,0.9940679966946052,0.9718746310943218,0.9012986229475066,0.029139088120931963,0.015503875968992276,0.007859107634051288,0.005213866918506227
conduct/caregiver/caregiver_1_3,conduct,no_target_proxy_candidates,8,0.46,1.0,0.996875,0.003125,0.0,0.9937888198757764,1.0,0.9968847352024922,0.9987515605493132,0.9985714042970324,0.99935546875,0.9984375,0.9953307137899766,0.003791155857556285,0.0,0.0008348938826464591,0.0010389568158167828
