slot_key,domain,role,mode,current_threshold,recommended_threshold,threshold_decision,leakage_audit_status,target_proxy_audit_status,split_contamination_status,high_separability_alert,high_separability_validated,conduct_impairment_global_present,decision,correction_applied,unresolved_issue
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,0.3799999999999999,0.3799999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,no,yes,no,retain_current_because_ablation_not_better,none,no
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,0.4499999999999999,0.4499999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,no,yes,no,retain_current_because_ablation_not_better,none,no
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,0.1499999999999999,0.1499999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,no,yes,no,retain_current_because_ablation_not_better,none,no
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,0.08,0.08,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,no,yes,no,retain_current_because_ablation_not_better,none,no
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,0.13,0.13,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,0.19,0.19,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,0.5199999999999999,0.5199999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,0.3299999999999999,0.3299999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,0.3599999999999999,0.3599999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,0.1099999999999999,0.1099999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
anxiety/psychologist/psychologist_2_3,anxiety,psychologist,psychologist_2_3,0.3999999999999999,0.3999999999999999,keep_current_threshold_because_adjustment_not_better,pass,pass,pass,yes,yes,no,keep_current_model_and_threshold_high_separability_validated,none,no
