path,exists,size_bytes,modified_utc,rows,cols
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\elimination_iterative_recovery_v2\reports\elimination_final_decision_v2.md,True,443.0,2026-03-29T16:15:28.732433+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\elimination_iterative_recovery_v2\reports\elimination_executive_summary.md,True,235.0,2026-03-29T16:15:28.734433+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\elimination_iterative_recovery_v2\tables\elimination_honest_model_ranking.csv,True,2627.0,2026-03-29T16:15:28.730433+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\elimination_iterative_recovery_v2\tables\elimination_perfect_score_audit.csv,True,530.0,2026-03-29T16:15:28.719433+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\elimination_iterative_recovery_v2\audit\elimination_semantic_proximity_audit.csv,True,87058.0,2026-03-29T16:14:18.781139+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\processed_hybrid_dsm5_v2\final\model_ready\strict_no_leakage_hybrid\dataset_hybrid_model_ready_strict_no_leakage_hybrid.csv,True,5759782.0,2026-03-27T04:02:33.819259+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\processed_hybrid_dsm5_v2\final\model_ready\research_extended_hybrid\dataset_hybrid_model_ready_research_extended_hybrid.csv,True,6444300.0,2026-03-27T04:02:36.095805+00:00,,
C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\data\processed_hybrid_dsm5_v2\final\external_domains\dataset_domain_elimination.csv,True,1920915.0,2026-03-27T04:02:40.235011+00:00,,
in_memory::strict,True,,2026-03-29T20:49:27.400777+00:00,1905.0,990.0
in_memory::research,True,,2026-03-29T20:49:27.400777+00:00,1905.0,1057.0
in_memory::compact,True,,2026-03-29T20:49:27.400777+00:00,1905.0,135.0
in_memory::semantic_v2,True,,2026-03-29T20:49:27.400777+00:00,988.0,5.0
