trial_id,train_precision,train_balanced_accuracy,val_precision,val_balanced_accuracy,test_precision,test_balanced_accuracy,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,seed_std_balacc,split_std_balacc,residual_high_features,residual_critical_features,suspicious_perfect_score,brier_val,brier_test,preliminary_decision
T01_baseline_replay_controlado,1.0,1.0,1.0,1.0,0.9937888198757764,0.9928944099378882,0.9937888198757764,0.992,0.9937888198757764,0.9999503105590062,0.9999616593819493,0.0029084952154501673,0.0018856180831641283,79,7,True,0.016108937558055262,0.02674205484436493,perfect_score_blocked
T02_drop_high_risk_semantic_proxies,0.9598337950138505,0.9358143058556414,0.9586206896551724,0.9076770186335403,0.9056603773584906,0.8872049689440994,0.8944099378881988,0.88,0.9,0.9491180124223602,0.9630376568186989,0.0017141456819613624,0.011611037763040382,0,0,False,0.0847007898460875,0.09305066515437646,candidate_honest
T03_drop_high_plus_critical_proxies,0.9397590361445783,0.9280289852418793,0.9342105263157895,0.9009937888198758,0.8902439024390244,0.881416149068323,0.906832298136646,0.856,0.8984615384615384,0.9453416149068322,0.960292933313736,0.004391967585009594,0.009633096961005165,0,0,False,0.08643329333300435,0.0966597042998342,candidate_honest
T04_strict_semantic_minimal,0.939521800281294,0.9071437726590252,0.9448275862068966,0.8934658385093168,0.9,0.8592546583850932,0.8385093167701864,0.88,0.8681672025723473,0.9337142857142857,0.9526273591191775,0.0018539999857531497,0.012555171336347497,0,0,False,0.09307038786751587,0.10866391631459114,candidate_honest
T05_compact_low_complexity_rf,0.5641410352588146,0.5,0.5629370629370629,0.5,0.5629370629370629,0.5,1.0,0.0,0.7203579418344519,0.5346583850931677,0.5775964117588557,0.0,0.0,0,0,True,0.24952145477248427,0.25070273362885326,perfect_score_blocked
T06_stability_first_rf,0.9709302325581395,0.9269372322115208,0.9785714285714285,0.9134658385093168,0.9121621621621622,0.8672546583850932,0.8385093167701864,0.896,0.8737864077669902,0.9507080745341614,0.9642957764721536,0.004592548805262484,0.018801605081445044,0,0,False,0.08413222910301531,0.09371376806360916,candidate_honest
T07_missingness_augmented_honest_run,0.9410977242302544,0.9295544640568353,0.9470198675496688,0.9120993788819876,0.891566265060241,0.8876273291925465,0.9192546583850931,0.856,0.9051987767584098,0.9506086956521739,0.96523759106069,0.004544448845732608,0.0078059969773531124,0,0,False,0.08506256420576638,0.09212218119109832,candidate_honest
T08_threshold_conservative_run,1.0,0.8291223404255319,1.0,0.8385093167701863,1.0,0.7608695652173914,0.5217391304347826,1.0,0.6857142857142857,0.9539378881987578,0.9669650438169578,0.006708841302699679,0.025734581562434855,0,0,True,0.08308920818058367,0.08954503655511653,perfect_score_blocked
T09_calibrated_run,0.9464285714285714,0.9245488794082104,0.9523809523809523,0.9067826086956521,0.90625,0.8903105590062113,0.9006211180124224,0.88,0.9034267912772586,0.9505590062111801,0.9641513643804074,0.006724627482169506,0.009435173099430977,0,0,False,0.07997943370719521,0.08550393053139217,candidate_honest
T10_thesis_defensible_candidate,0.5641410352588146,0.5,0.5629370629370629,0.5,0.5629370629370629,0.5,1.0,0.0,0.7203579418344519,0.48372670807453416,0.5627151238545914,0.0,0.0,0,0,True,0.24588335130009234,0.24608450072527338,perfect_score_blocked
T11_ultra_strict_candidate,1.0,0.8863031914893618,1.0,0.8726708074534162,1.0,0.8509316770186335,0.7018633540372671,1.0,0.8248175182481752,0.9468571428571427,0.9656542246926456,0.01276276191090883,0.024628110255425075,0,0,True,0.07734517916455659,0.09072017093946044,perfect_score_blocked
T12_best_combined_honest_candidate,0.967741935483871,0.9198969128794814,0.9852941176470589,0.9081490683229814,0.9121621621621622,0.8672546583850932,0.8385093167701864,0.896,0.8737864077669902,0.9481242236024845,0.9637351880853503,0.002927978390006414,0.0166937459886558,0,0,False,0.07860579549915751,0.08921295063545104,candidate_honest
