family_or_strategy,trial_id,delta_precision_vs_control,delta_balacc_vs_control,delta_recall_vs_control,delta_specificity_vs_control
two_stage,V5_T08_two_stage_filter,0.08126772721667286,0.07373913043478264,0.04347826086956519,0.10399999999999998
subtype_auxiliary,V5_T05_subtype_auxiliary,0.0743396226415094,0.05731677018633541,0.01863354037267073,0.09599999999999997
composite_clinical,V5_T02_composite_clinical,0.03808962264150939,0.045739130434782616,0.04347826086956519,0.04800000000000004
abstention_ready_refit,V5_T09_abstention_ready_refit,0.03808962264150939,0.045739130434782616,0.04347826086956519,0.04800000000000004
combined,V5_T07_compact_best_combined,0.03183962264150941,0.03863354037267086,0.037267080745341574,0.040000000000000036
evidence_quality,V5_T04_evidence_quality_meta,-0.001201778632375916,-0.006211180124223614,-0.012422360248447228,0.0
anti_transdiagnostic,V5_T03_anti_transdiagnostic,0.014974543276429997,-0.06695652173913047,-0.17391304347826086,0.040000000000000036
hard_negative,V5_T06_hard_negative_engineering,0.05830358660547341,-0.07090683229813666,-0.22981366459627328,0.08799999999999997
