trial_id,seed_mean_balacc,seed_std_balacc,seed_min_balacc,seed_max_balacc,seed_cv_balacc,split_mean_balacc,split_std_balacc,split_min_balacc,split_max_balacc,split_cv_balacc,noise_mild_drop_balacc,noise_moderate_drop_balacc,realism_worst_drop_balacc
V5_T01_control_replay_v2_best,0.8931180124223603,0.004710985295769073,0.8872049689440994,0.8987329192546584,0.005274762383295459,0.9080828157349897,0.015340152429713103,0.8872049689440994,0.9236273291925465,0.016892900255244887,0.006211180124223614,0.01331677018633537,0.007527950310559084
V5_T02_composite_clinical,0.9356107660455487,0.0018856180831641283,0.932944099378882,0.936944099378882,0.0020153873294274705,0.940944099378882,0.00692604979480119,0.932944099378882,0.9498385093167702,0.007360745233827473,0.005316770186335473,0.006633540372670832,0.007105590062111755
V5_T03_anti_transdiagnostic,0.8170186335403726,0.0029112528543304536,0.813192546583851,0.8202484472049689,0.0035632637186194544,0.8573747412008282,0.02808183516589164,0.8202484472049689,0.8881490683229813,0.03275328023608507,-0.000894409937888252,0.010633540372670724,0.0022111801242234996
V5_T04_evidence_quality_meta,0.8787826086956523,0.00937145579607388,0.866360248447205,0.8889937888198758,0.010664134341465426,0.8998012422360248,0.014893258139908105,0.8809937888198758,0.917416149068323,0.016551719914164653,0.009316770186335477,0.014633540372670728,0.0057888198757763965
V5_T05_subtype_auxiliary,0.9362236024844721,0.006400204464154182,0.928944099378882,0.9445217391304348,0.0068361921737177455,0.9451014492753623,0.0076384037144179035,0.9360496894409938,0.9547329192546583,0.008082099250058813,0.02884472049689446,0.03105590062111796,0.020844720496894453
V5_T06_hard_negative_engineering,0.8183685300207039,0.002927978390006361,0.8162981366459627,0.8225093167701862,0.0035778237830483123,0.8488281573498965,0.02410920662204869,0.8162981366459627,0.8739378881987578,0.028402929866652157,0.0022111801242236107,0.0177391304347827,0.014633540372670839
V5_T07_compact_best_combined,0.9196273291925466,0.006708841302699628,0.9103105590062113,0.9258385093167703,0.007295173914187761,0.9354699792960662,0.0076384037144179035,0.9258385093167703,0.9445217391304348,0.00816531143005331,-0.0008944099378881409,0.005316770186335473,0.012844720496894446
V5_T08_two_stage_filter,0.960944099378882,0.0,0.960944099378882,0.960944099378882,0.0,0.9615403726708074,0.002570518237358069,0.9587329192546583,0.964944099378882,0.002673333653394199,0.009316770186335477,0.03195031055900621,0.023055900621118064
V5_T09_abstention_ready_refit,0.9222774327122153,0.00890107742120834,0.9111552795031056,0.932944099378882,0.00965119291169494,0.9396107660455487,0.007342398414913419,0.932944099378882,0.9498385093167702,0.007814297877635734,0.0031055900621117516,0.009316770186335477,0.02795031055900621
V5_T10_research_context_optional,0.9419958592132506,0.004201150081490733,0.9365217391304348,0.9467329192546583,0.0044598392237090185,0.9468737060041407,0.0030176762931666723,0.9427329192546583,0.9498385093167702,0.0031869892193980474,0.01642236024844712,0.011527950310558976,0.017316770186335262
V5_T11_stop_condition_control,0.872935817805383,0.01684917013526841,0.8566708074534162,0.8961490683229814,0.019301728479452607,0.9137474120082816,0.03379586050951353,0.8659875776397515,0.9392049689440993,0.03698599860899768,0.008422360248447225,0.0199503105590062,0.03326708074534157
V5_T12_best_honest_candidate_final,0.9172753623188407,0.012747792488246337,0.8992546583850931,0.9267329192546584,0.013897454365306787,0.9347329192546584,0.006788839765162088,0.9258385093167703,0.9423105590062112,0.007262865814734977,-0.0008944099378881409,0.005316770186335473,0.024844720496894457
