trial_id,threshold,precision,recall,specificity,balanced_accuracy
V5_T01_control_replay_v2_best,0.24999999999999994,0.8409090909090909,0.9192546583850931,0.776,0.8476273291925466
V5_T01_control_replay_v2_best,0.29999999999999993,0.8848484848484849,0.906832298136646,0.848,0.877416149068323
V5_T01_control_replay_v2_best,0.3499999999999999,0.9225806451612903,0.8881987577639752,0.904,0.8960993788819875
V5_T01_control_replay_v2_best,0.3999999999999999,0.9407894736842105,0.8881987577639752,0.928,0.9080993788819876
V5_T01_control_replay_v2_best,0.44999999999999996,0.958904109589041,0.8695652173913043,0.952,0.9107826086956521
V5_T01_control_replay_v2_best,0.4999999999999999,0.9784172661870504,0.84472049689441,0.976,0.910360248447205
V5_T01_control_replay_v2_best,0.5499999999999999,0.9850746268656716,0.8198757763975155,0.984,0.9019378881987578
V5_T01_control_replay_v2_best,0.5999999999999999,0.9847328244274809,0.8012422360248447,0.984,0.8926211180124224
V5_T01_control_replay_v2_best,0.6499999999999999,0.9844961240310077,0.7888198757763976,0.984,0.8864099378881988
V5_T02_composite_clinical,0.29999999999999993,0.9299363057324841,0.906832298136646,0.912,0.909416149068323
V5_T02_composite_clinical,0.3499999999999999,0.9602649006622517,0.9006211180124224,0.952,0.9263105590062112
V5_T02_composite_clinical,0.3999999999999999,0.9731543624161074,0.9006211180124224,0.968,0.9343105590062112
V5_T02_composite_clinical,0.44999999999999996,0.9797297297297297,0.9006211180124224,0.976,0.9383105590062112
V5_T02_composite_clinical,0.49999999999999994,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T02_composite_clinical,0.5499999999999999,0.9861111111111112,0.8819875776397516,0.984,0.9329937888198758
V5_T02_composite_clinical,0.6,0.9929078014184397,0.8695652173913043,0.992,0.9307826086956521
V5_T02_composite_clinical,0.6499999999999999,0.9925925925925926,0.8322981366459627,0.992,0.9121490683229814
V5_T02_composite_clinical,0.7,1.0,0.7950310559006211,1.0,0.8975155279503105
V5_T03_anti_transdiagnostic,0.39999999999999997,0.9144736842105263,0.8633540372670807,0.896,0.8796770186335403
V5_T03_anti_transdiagnostic,0.44999999999999996,0.9440559440559441,0.8385093167701864,0.936,0.8872546583850932
V5_T03_anti_transdiagnostic,0.5,0.9637681159420289,0.8260869565217391,0.96,0.8930434782608696
V5_T03_anti_transdiagnostic,0.55,0.9699248120300752,0.8012422360248447,0.968,0.8846211180124224
V5_T03_anti_transdiagnostic,0.6,0.984375,0.782608695652174,0.984,0.8833043478260869
V5_T03_anti_transdiagnostic,0.65,0.983739837398374,0.7515527950310559,0.984,0.8677763975155279
V5_T03_anti_transdiagnostic,0.7,0.9915966386554622,0.7329192546583851,0.992,0.8624596273291926
V5_T03_anti_transdiagnostic,0.75,0.991304347826087,0.7080745341614907,0.992,0.8500372670807453
V5_T03_anti_transdiagnostic,0.8,0.990909090909091,0.6770186335403726,0.992,0.8345093167701862
V5_T04_evidence_quality_meta,0.3499999999999999,0.9050632911392406,0.8881987577639752,0.88,0.8840993788819875
V5_T04_evidence_quality_meta,0.3999999999999999,0.9342105263157895,0.8819875776397516,0.92,0.9009937888198758
V5_T04_evidence_quality_meta,0.44999999999999996,0.9337748344370861,0.8757763975155279,0.92,0.897888198757764
V5_T04_evidence_quality_meta,0.49999999999999994,0.94,0.8757763975155279,0.928,0.901888198757764
V5_T04_evidence_quality_meta,0.5499999999999999,0.952054794520548,0.8633540372670807,0.944,0.9036770186335403
V5_T04_evidence_quality_meta,0.6,0.9712230215827338,0.8385093167701864,0.968,0.9032546583850931
V5_T04_evidence_quality_meta,0.6499999999999999,0.9710144927536232,0.8322981366459627,0.968,0.9001490683229814
V5_T04_evidence_quality_meta,0.7,0.9779411764705882,0.8260869565217391,0.976,0.9010434782608696
V5_T04_evidence_quality_meta,0.75,0.9847328244274809,0.8012422360248447,0.984,0.8926211180124224
V5_T05_subtype_auxiliary,0.3499999999999999,0.9602649006622517,0.9006211180124224,0.952,0.9263105590062112
V5_T05_subtype_auxiliary,0.3999999999999999,0.9797297297297297,0.9006211180124224,0.976,0.9383105590062112
V5_T05_subtype_auxiliary,0.44999999999999996,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T05_subtype_auxiliary,0.49999999999999994,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T05_subtype_auxiliary,0.5499999999999999,0.9930555555555556,0.8881987577639752,0.992,0.9400993788819876
V5_T05_subtype_auxiliary,0.6,0.9929078014184397,0.8695652173913043,0.992,0.9307826086956521
V5_T05_subtype_auxiliary,0.6499999999999999,0.9925373134328358,0.8260869565217391,0.992,0.9090434782608696
V5_T05_subtype_auxiliary,0.7,1.0,0.8074534161490683,1.0,0.9037267080745341
V5_T05_subtype_auxiliary,0.75,1.0,0.782608695652174,1.0,0.8913043478260869
V5_T06_hard_negative_engineering,0.7,0.9852941176470589,0.8322981366459627,0.984,0.9081490683229814
V5_T06_hard_negative_engineering,0.73125,0.9849624060150376,0.8136645962732919,0.984,0.8988322981366459
V5_T06_hard_negative_engineering,0.7625,0.9846153846153847,0.7950310559006211,0.984,0.8895155279503105
V5_T06_hard_negative_engineering,0.79375,0.984375,0.782608695652174,0.984,0.8833043478260869
V5_T06_hard_negative_engineering,0.825,0.9841269841269841,0.7701863354037267,0.984,0.8770931677018634
V5_T06_hard_negative_engineering,0.85625,0.984,0.7639751552795031,0.984,0.8739875776397515
V5_T06_hard_negative_engineering,0.8875,0.9918032786885246,0.7515527950310559,0.992,0.8717763975155279
V5_T06_hard_negative_engineering,0.91875,0.9917355371900827,0.7453416149068323,0.992,0.8686708074534162
V5_T06_hard_negative_engineering,0.95,0.9911504424778761,0.6956521739130435,0.992,0.8438260869565217
V5_T07_compact_best_combined,0.39999999999999997,0.9602649006622517,0.9006211180124224,0.952,0.9263105590062112
V5_T07_compact_best_combined,0.44999999999999996,0.9664429530201343,0.8944099378881988,0.96,0.9272049689440993
V5_T07_compact_best_combined,0.5,0.972972972972973,0.8944099378881988,0.968,0.9312049689440993
V5_T07_compact_best_combined,0.55,0.9795918367346939,0.8944099378881988,0.976,0.9352049689440993
V5_T07_compact_best_combined,0.6,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
V5_T07_compact_best_combined,0.65,0.9863013698630136,0.8944099378881988,0.984,0.9392049689440993
