mode,domain,seed,precision,recall,balanced_accuracy,pr_auc,brier,threshold
caregiver_1_3,adhd,20261101,0.6302521008403361,0.7978723404255319,0.8419413515599162,0.6340311233911538,0.08804386940896032,0.5
caregiver_1_3,adhd,20261119,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553,0.5
caregiver_1_3,adhd,20261137,0.624,0.8297872340425532,0.8540127880057325,0.6216429261552169,0.0880575785990481,0.5
caregiver_1_3,conduct,20261101,0.9019607843137255,0.8625,0.9078125,0.9500801871541836,0.056385438547920136,0.59
caregiver_1_3,conduct,20261119,0.9084507042253521,0.80625,0.8828125,0.9519252792336652,0.05653963340311711,0.62
caregiver_1_3,conduct,20261137,0.8805031446540881,0.875,0.9078125,0.9522959626884728,0.056380288091849015,0.5399999999999999
caregiver_1_3,elimination,20261101,0.9428571428571428,0.6346153846153846,0.8149712437095615,0.9088392529601084,0.022368035095029323,0.7549999999999999
caregiver_1_3,elimination,20261119,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157,0.7999999999999999
caregiver_1_3,elimination,20261137,0.9444444444444444,0.6538461538461539,0.8245866283249461,0.8957006753734549,0.02209407928700137,0.74
caregiver_1_3,anxiety,20261101,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821,0.31999999999999995
caregiver_1_3,anxiety,20261119,0.8823529411764706,0.872093023255814,0.9233561562979578,0.9187915255862118,0.034030732147360666,0.5049999999999999
caregiver_1_3,anxiety,20261137,0.8809523809523809,0.8604651162790697,0.9175422028095856,0.9273975393929839,0.03397122950240393,0.5049999999999999
caregiver_1_3,depression,20261101,0.8059701492537313,0.6585365853658537,0.8129366343914696,0.764765007527117,0.0600670985657974,0.5299999999999999
caregiver_1_3,depression,20261119,0.8,0.6829268292682927,0.8238754749356538,0.763869004526279,0.05941701248304376,0.5349999999999999
caregiver_1_3,depression,20261137,0.8082191780821918,0.7195121951219512,0.8421681578624831,0.7627952308463117,0.05926598351533922,0.5249999999999999
caregiver_2_3,adhd,20261101,0.7017543859649122,0.851063829787234,0.881490464116415,0.7044217957677258,0.07256724664934806,0.5
