mode,route,variant,domain,best_config,selected_seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std,split_std,realism_shift_delta,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct,operational_complexity,maintenance_complexity,suspicious_perfect_score,overfit_risk,leakage_risk
psychologist,P,professional_full_coverage,adhd,rf_compact_350,47,35,0.9417662520784932,0.8260869565217391,0.9339999999999999,0.8800434782608696,0.8800333783018797,0.9529378881987577,0.9562292715567322,0.08354616685783806,0.0022035863043216933,0.00010559006211174893,-0.00010559006211174893,0.003614906832298176,0.004003105590062103,1.0,0.0,0.0,0.36333666333666326,2,1,no,low,low
psychologist,P,professional_full_coverage,conduct,rf_stability_500,29,23,0.9456081081081081,0.8656250000000001,0.9805825242718447,0.9231037621359224,0.9037797940599299,0.9771237864077671,0.9416435072258528,0.04358258971400444,0.002372865720131516,0.0008646844660193942,-0.0008646844660193942,0.0012742718446601964,0.009625303398058255,1.0,0.0,0.0,0.033140772271207056,2,1,no,low,low
psychologist,P,professional_full_coverage,elimination,rf_compact_350,83,17,0.9199688088745805,0.6521739130434783,0.926,0.7890869565217393,0.7619852060137176,0.8700372670807454,0.8745939418111452,0.1485723219667875,0.015028071928028635,0.007422360248447335,0.007422360248447335,-0.019981366459627253,0.1379068322981367,1.0,0.0,0.0,0.03187988482106129,2,1,no,low,low
psychologist,P,professional_full_coverage,anxiety,rf_compact_350,11,260,0.9220321931589537,0.9848484848484849,0.9750000000000001,0.9799242424242424,0.9523937312151138,0.9893939393939395,0.971228550644736,0.01360789373293304,0.0011363636363636576,0.001136363636363713,-0.001136363636363713,0.006060606060606072,0.24431818181818182,1.0,0.0,0.0,0.1302716514254976,3,1,no,low,low
psychologist,P,professional_full_coverage,depression,rf_stability_500,11,18,0.8595345656498674,0.9369565217391304,0.8961988304093568,0.9165776760742435,0.896116875481955,0.9735380116959065,0.9552884806885966,0.05834127712090997,0.0024054014656018727,0.004068141367912448,0.004068141367912448,0.04356089499110086,0.05274281718789722,1.0,0.0,0.0,0.06721056721056723,2,1,no,low,low
psychologist,P,professional_structured_coverage,adhd,rf_deep_650,11,35,0.9261010500445067,0.8354037267080745,0.914,0.8747018633540373,0.8783471849574914,0.9524720496894411,0.9564570697811874,0.08392751253654855,0.0005726088270308231,0.0007639751552794838,0.0007639751552794838,-0.0051739130434781955,-0.004838509316770143,1.0,0.0,0.0,0.36333666333666326,2,1,no,low,low
psychologist,P,professional_structured_coverage,conduct,rf_deep_650,29,23,0.9463264325196552,0.8687499999999999,0.9805825242718447,0.9246662621359223,0.9056556220503089,0.9741884101941749,0.9430767301154215,0.040990808918776024,0.0027622556260000343,0.004156553398058316,-0.004156553398058316,0.005354975728155353,0.009541868932038858,1.0,0.0,0.0,0.033140772271207056,2,1,no,low,low
psychologist,P,professional_structured_coverage,elimination,rf_compact_350,83,17,0.9270938965893094,0.6319875776397514,0.936,0.7839937888198758,0.7515787153800021,0.8732298136645963,0.8786104201097196,0.14939844149518577,0.004593229645263679,0.0023291925465838137,0.0023291925465838137,-0.011627329192546582,0.13287267080745344,1.0,0.0,0.0,0.03187988482106129,2,1,no,low,low
psychologist,P,professional_structured_coverage,anxiety,rf_deep_650,11,260,0.9154929577464789,0.9848484848484849,0.9727272727272728,0.9787878787878788,0.948905109489051,0.9912448347107439,0.9734041029907965,0.013036223613541693,0.0,0.0,0.0,0.001704545454545403,0.24071969696969694,1.0,0.0,0.0,0.1302716514254976,3,1,no,low,low
psychologist,P,professional_structured_coverage,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.057904446192483666,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.026392067124332536,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,2,1,no,low,low
