mode,route,variant,domain,config_id,seed,n_features,calibration,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
psychologist,P,professional_full_coverage,adhd,rf_compact_350,11,35,isotonic,0.505,0.8999795090719643,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9546832298136646,0.958339882696361,0.08263029665843905,0.011155279503105575,0.0029440993788819037,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_compact_350,29,35,isotonic,0.505,0.8957679488402501,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9546832298136646,0.9580996350530242,0.0823205142180585,0.012472049689441045,0.016024844720496922,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_compact_350,47,35,isotonic,0.42000000000000004,0.9029244470262299,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9512546583850932,0.9567598327630678,0.08680929500478039,-0.0065838509316770155,7.453416149066916e-05,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_compact_350,83,35,isotonic,0.405,0.9026166003131408,0.9366197183098591,0.8260869565217391,0.928,0.8770434782608696,0.8778877887788779,0.9511304347826086,0.9517177357144762,0.0824245615500743,-0.002583850931676901,-0.0030310559006210824,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_stability_500,11,35,isotonic,0.505,0.8990546004106141,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9558260869565217,0.9604747367610899,0.08047724896989746,0.012894409937888152,0.0035776397515528413,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_stability_500,29,35,isotonic,0.45499999999999996,0.8993363426260292,0.9440559440559441,0.8385093167701864,0.936,0.8872546583850932,0.8881578947368421,0.9548819875776398,0.9583214178895559,0.08117779498555056,0.008049689440993824,0.010708074534161505,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_stability_500,47,35,isotonic,0.505,0.8955117395190622,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9539130434782609,0.9590903295506477,0.08256599106534722,-0.009739130434782584,-0.0006335403726707156,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_stability_500,83,35,isotonic,0.44499999999999995,0.8990546004106141,0.9246575342465754,0.8385093167701864,0.912,0.8752546583850932,0.8794788273615635,0.9512298136645962,0.9566367661372135,0.08427921763027649,-0.00926708074534155,-0.0015031055900620593,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_deep_650,11,35,isotonic,0.41500000000000004,0.8985650936721126,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9520993788819876,0.9543492527160071,0.08233674191830284,0.012049689440993827,0.0016273291925466005,1.0,0.0,0.0,0.36333666333666326
psychologist,P,professional_full_coverage,adhd,rf_deep_650,29,35,isotonic,0.43000000000000005,0.8990546004106141,0.9440559440559441,0.8385093167701864,0.936,0.8872546583850932,0.8881578947368421,0.9554534161490683,0.9584729797676922,0.08163352616139892,0.01162732919254672,0.00828571428571434,1.0,0.0,0.0,0.36333666333666326
