mode,domain,baseline_source,model_family,feature_variant,n_features,precision,recall,specificity,balanced_accuracy,f1,brier,threshold,uncertainty_band,calibration,current_caveat,known_problem
caregiver,elimination,final_hardening_v10 baseline trial,lightgbm,engineered,30,0.91869918699187,0.7018633540372671,0.92,0.8109316770186336,0.795774647887324,0.1485824753360272,0.505,0.07,isotonic,experimental_line_more_useful_not_product_ready,recall_bottleneck_and_source_mix_fragility
psychologist,elimination,final_hardening_v10 baseline trial,lightgbm,engineered,31,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,0.1445763621488415,0.505,0.07,isotonic,experimental_line_more_useful_not_product_ready,recall_bottleneck_and_source_mix_fragility
