domain,mode,seed,model_family,precision,recall,balanced_accuracy,pr_auc,brier,threshold
anxiety,caregiver_full,20270421,rf,0.8695652173913043,0.9302325581395349,0.9498878526738284,0.9704386771709957,0.026001868527515633,0.44499999999999995
anxiety,caregiver_full,20270439,rf,0.8695652173913043,0.9302325581395349,0.9498878526738284,0.9611410825216706,0.026810514214642946,0.44499999999999995
anxiety,caregiver_full,20270501,rf,0.851063829787234,0.9302325581395349,0.9473497816078384,0.9704530343600254,0.026219749035081497,0.44499999999999995
anxiety,psychologist_full,20270421,rf,0.8421052631578947,0.9302325581395349,0.9460807460748436,0.9591820433560583,0.02643465304635403,0.37999999999999995
anxiety,psychologist_full,20270439,rf,0.8421052631578947,0.9302325581395349,0.9460807460748436,0.9589007321727643,0.026416949217481698,0.37999999999999995
anxiety,psychologist_full,20270501,rf,0.8247422680412371,0.9302325581395349,0.9435426750088538,0.9638764560048996,0.02682455535063557,0.37999999999999995
anxiety,caregiver_2_3,20270421,rf,0.8681318681318682,0.9186046511627907,0.9440738991854563,0.9572096459522187,0.026805400425111828,0.4799999999999999
anxiety,caregiver_2_3,20270439,rf,0.8695652173913043,0.9302325581395349,0.9498878526738284,0.965975933521113,0.02754791305141701,0.4799999999999999
anxiety,caregiver_2_3,20270501,rf,0.8777777777777778,0.9186046511627907,0.9453429347184512,0.964358235037446,0.02729803385010122,0.4799999999999999
anxiety,psychologist_2_3,20270421,rf,0.8247422680412371,0.9302325581395349,0.9435426750088538,0.966312961726849,0.027676096377188854,0.37999999999999995
anxiety,psychologist_2_3,20270439,rf,0.8333333333333334,0.9302325581395349,0.9448117105418486,0.9650541363655202,0.028193222555721206,0.37999999999999995
anxiety,psychologist_2_3,20270501,rf,0.8163265306122449,0.9302325581395349,0.9422736394758588,0.962129157535925,0.0274882534237969,0.37999999999999995
depression,psychologist_2_3,20270421,rf,0.7872340425531915,0.9024390243902439,0.9260938840544184,0.8675121016971403,0.04290052940069063,0.39499999999999996
depression,psychologist_2_3,20270439,rf,0.7395833333333334,0.8658536585365854,0.9015197940924133,0.8584961552897344,0.04471964427471411,0.39499999999999996
depression,psychologist_2_3,20270501,rf,0.7628865979381443,0.9024390243902439,0.9223250398333129,0.853644742830038,0.04388389644697331,0.39499999999999996
elimination,caregiver_full,20270421,rf,0.9454545454545454,1.0,0.9964953271028038,0.9433519475427757,0.006431902737215767,0.32499999999999996
elimination,caregiver_full,20270439,rf,0.9454545454545454,1.0,0.9964953271028038,0.9425732374573808,0.006559131483190526,0.32499999999999996
elimination,caregiver_full,20270501,rf,0.9454545454545454,1.0,0.9964953271028038,0.9376707467816235,0.006488839361035407,0.32499999999999996
elimination,psychologist_full,20270421,rf,0.9454545454545454,1.0,0.9964953271028038,0.9917564458695415,0.00628449131507676,0.295
elimination,psychologist_full,20270439,rf,0.9285714285714286,1.0,0.9953271028037383,0.9869953240736404,0.006134737720442544,0.295
elimination,psychologist_full,20270501,rf,0.9454545454545454,1.0,0.9964953271028038,0.9778893064292518,0.006612363346965579,0.295
elimination,caregiver_2_3,20270421,rf,0.9454545454545454,1.0,0.9964953271028038,0.9416426803994781,0.006191096635190957,0.27999999999999997
elimination,caregiver_2_3,20270439,rf,0.9285714285714286,1.0,0.9953271028037383,0.9387763684547874,0.006653523438128987,0.27999999999999997
elimination,caregiver_2_3,20270501,rf,0.9122807017543859,1.0,0.9941588785046729,0.9383021727561589,0.006605659617503836,0.27999999999999997
elimination,psychologist_2_3,20270421,rf,0.9454545454545454,1.0,0.9964953271028038,0.9666882366950341,0.006443594932588081,0.27999999999999997
elimination,psychologist_2_3,20270439,rf,0.9122807017543859,1.0,0.9941588785046729,0.9410929005468867,0.006737710684451604,0.27999999999999997
elimination,psychologist_2_3,20270501,rf,0.9122807017543859,1.0,0.9941588785046729,0.9392689286604161,0.006629747694612246,0.27999999999999997
