trial_id,mode,threshold,precision_test,recall_test,specificity_test,balanced_accuracy_test
domain_adhd_strict_full,sensitive,0.6,0.98125,0.9751552795031055,0.976,0.9755776397515528
domain_adhd_strict_full,precise,0.85,0.9808917197452229,0.9565217391304348,0.976,0.9662608695652174
domain_adhd_strict_full,abstention_assisted,0.75,0.98125,0.9751552795031055,0.976,0.9755776397515528
domain_adhd_research_full,sensitive,0.2,1.0,1.0,1.0,1.0
domain_adhd_research_full,precise,0.15000000000000002,1.0,1.0,1.0,1.0
domain_adhd_research_full,abstention_assisted,0.05,1.0,1.0,1.0,1.0
domain_conduct_strict_full,sensitive,0.5,0.9605263157894737,0.9125,0.9854368932038835,0.9489684466019417
domain_conduct_strict_full,precise,0.75,0.96,0.9,0.9854368932038835,0.9427184466019418
domain_conduct_strict_full,abstention_assisted,0.65,0.96,0.9,0.9854368932038835,0.9427184466019418
domain_conduct_strict_compact,sensitive,0.7,0.9571428571428572,0.8375,0.9854368932038835,0.9114684466019418
domain_conduct_strict_compact,precise,0.9,1.0,0.7875,1.0,0.89375
domain_conduct_strict_compact,abstention_assisted,0.85,0.9848484848484849,0.8125,0.9951456310679612,0.9038228155339806
domain_conduct_research_full,sensitive,0.5499999999999999,0.975609756097561,1.0,0.9902912621359223,0.9951456310679612
domain_conduct_research_full,precise,0.7999999999999999,0.9753086419753086,0.9875,0.9902912621359223,0.9888956310679612
domain_conduct_research_full,abstention_assisted,0.7,0.9753086419753086,0.9875,0.9902912621359223,0.9888956310679612
domain_elimination_strict_full,sensitive,0.2,1.0,1.0,1.0,1.0
domain_elimination_strict_full,precise,0.15000000000000002,1.0,1.0,1.0,1.0
domain_elimination_strict_full,abstention_assisted,0.05,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,sensitive,0.2,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,precise,0.15000000000000002,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,abstention_assisted,0.05,1.0,1.0,1.0,1.0
domain_elimination_research_full,sensitive,0.2,1.0,1.0,1.0,1.0
domain_elimination_research_full,precise,0.15000000000000002,1.0,1.0,1.0,1.0
domain_elimination_research_full,abstention_assisted,0.05,1.0,1.0,1.0,1.0
domain_anxiety_strict_full,sensitive,0.2,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_anxiety_strict_full,precise,0.15000000000000002,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_anxiety_strict_full,abstention_assisted,0.05,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_anxiety_research_full,sensitive,0.2,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_anxiety_research_full,precise,0.15000000000000002,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_anxiety_research_full,abstention_assisted,0.05,0.9701492537313433,0.9848484848484849,0.990909090909091,0.9878787878787879
domain_depression_strict_full,sensitive,0.6,0.9661016949152542,0.991304347826087,0.9766081871345029,0.983956267480295
domain_depression_strict_full,precise,0.85,0.9739130434782609,0.9739130434782609,0.9824561403508771,0.9781845919145691
domain_depression_strict_full,abstention_assisted,0.75,0.9739130434782609,0.9739130434782609,0.9824561403508771,0.9781845919145691
domain_depression_strict_compact,sensitive,0.44999999999999996,0.9553571428571429,0.9304347826086956,0.9707602339181286,0.9505975082634122
domain_depression_strict_compact,precise,0.7,0.9903846153846154,0.8956521739130435,0.9941520467836257,0.9449021103483346
domain_depression_strict_compact,abstention_assisted,0.6,0.9722222222222222,0.9130434782608695,0.9824561403508771,0.9477498093058734
domain_depression_research_full,sensitive,0.7,0.9649122807017544,0.9565217391304348,0.9766081871345029,0.9665649631324689
domain_depression_research_full,precise,0.9,0.9734513274336283,0.9565217391304348,0.9824561403508771,0.969488939740656
domain_depression_research_full,abstention_assisted,0.85,0.9734513274336283,0.9565217391304348,0.9824561403508771,0.969488939740656
internal_adhd_strict_compact,sensitive,0.6499999999999999,0.9746835443037974,0.9565217391304348,0.968,0.9622608695652174
internal_adhd_strict_compact,precise,0.8999999999999999,0.9857142857142858,0.8571428571428571,0.984,0.9205714285714286
internal_adhd_strict_compact,abstention_assisted,0.7999999999999999,0.9735099337748344,0.9130434782608695,0.968,0.9405217391304348
