domain,hybrid_minus_clean_precision,hybrid_minus_clean_recall,hybrid_minus_clean_balanced_accuracy,hybrid_minus_clean_pr_auc,hybrid_minus_clean_brier,dsm5_only_balanced_accuracy,dsm5_material_value
adhd,0.39086968680089484,0.08510638297872342,0.12156873553081249,0.3441491095786702,-0.07501720001294801,0.9935233160621761,yes
anxiety,0.0889787664307381,0.15116279069767447,0.08446464407980181,0.08226717713471599,-0.030383148292771982,0.9627847951835675,yes
conduct,0.17988533205924506,0.07547169811320753,0.08913771821548233,0.07929494220166489,-0.06791331189613177,0.9953271028037383,yes
depression,0.18055555555555558,0.18292682926829262,0.10653879151856838,0.25905886136347733,-0.04559411764856691,0.8581321240348082,yes
elimination,0.8372610048910627,0.1346153846153847,0.41894320632638393,0.8168730694148144,-0.08924660905954515,0.9953271028037383,yes
