candidate_id,domain,mode,calibration_method,threshold_policy,threshold,selection_score,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,is_winner_fixed_threshold,operating_point_recommended
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,balanced,0.16999999999999998,0.9088091624786723,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,no,yes
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,default_0_5,0.5,0.7943004585158359,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,no,no
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,precision_oriented,0.5049999999999999,0.8118675910122134,0.7798165137614679,0.9042553191489362,0.9378238341968912,0.9210395766729137,0.8374384236453202,0.9425779958108256,0.7693292583602127,0.05496522159680617,no,no
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,recall_constrained,0.16999999999999998,0.8474536669768774,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,no,no
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,winner_fixed,0.5,0.7837827094096197,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,yes,no
adhd__psychologist_full,adhd,psychologist_full,isotonic,balanced,0.05,0.9934744000545405,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,no,yes
adhd__psychologist_full,adhd,psychologist_full,isotonic,default_0_5,0.5,0.940058905942868,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,no,no
adhd__psychologist_full,adhd,psychologist_full,isotonic,precision_oriented,0.05,0.98610399711643,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,no,no
adhd__psychologist_full,adhd,psychologist_full,isotonic,recall_constrained,0.05,0.9890457172285737,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,no,no
adhd__psychologist_full,adhd,psychologist_full,isotonic,winner_fixed,0.05,0.9086149777520451,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,yes,no
