candidate_id,domain,mode,role,role_tag,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,n_features,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,delta_holdout_precision_vs_v1,delta_holdout_recall_vs_v1,delta_holdout_balanced_accuracy_vs_v1,delta_holdout_pr_auc_vs_v1,delta_holdout_brier_vs_v1,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,seed_std_balanced_accuracy,split_std_balanced_accuracy,bootstrap_balanced_accuracy_ci_width,worst_stress_delta_balanced_accuracy,drop_top3_delta_balanced_accuracy,stability_grade,reproduced_material,promotion_decision,risk_flags,risk_count
adhd__psychologist_2_3,adhd,psychologist_2_3,psychologist,fallback,top_importance_filtered,rf_precision_push,isotonic,default_0_5,95,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.04504281042148961,0.029462021827802887,0.002659871950985667,0.0028452648564997445,0.05586113793182279,-0.14204608091720872,-0.4250633888215192,fragile,yes,HOLD_FOR_TARGETED_FIX,stress_fragility|top_feature_dependency,2
adhd__psychologist_full,adhd,psychologist_full,psychologist,primary,balanced_subset,rf_precision_push,isotonic,balanced,111,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,3.642919299551295e-17,0.0021588946459412117,0.019843457171204948,0.00921303621047275,0.0018318828528148963,0.03623870192307699,-0.07840921618344177,-0.4775658692536655,fragile,yes,PROMOTE_WITH_CAVEAT,top_feature_dependency,1
anxiety__caregiver_2_3,anxiety,caregiver_2_3,caregiver,primary,top_importance_filtered,rf_regularized,isotonic,default_0_5,79,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3877787807814457e-17,-6.886239326331367e-05,0.015435013575728851,0.003356687611567598,0.0019407664576304286,0.04480679013391009,-0.4640538307165625,-0.2373096446700509,fragile,yes,PROMOTE_WITH_CAVEAT,stress_fragility|top_feature_dependency,2
anxiety__caregiver_full,anxiety,caregiver_full,caregiver,compare,precision_oriented_subset,rf_precision_push,sigmoid,precision_oriented,68,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020586584402355848,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,4.85722573273506e-17,0.01240506827214416,-0.005813953488372103,0.00888096064913924,0.05755520311983529,0.04835479671340792,-0.46458505489316493,-0.04978751032935902,fragile,yes,PROMOTE_WITH_CAVEAT,split_instability|stress_fragility,2
conduct__caregiver_2_3,conduct,caregiver_2_3,caregiver,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,45,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,9.085614205428527e-17,-0.0010405827263266776,0.004672897196261738,1.3597399555105182e-16,0.0,0.01205686785937321,-0.49532710280373826,-0.49532710280373826,fragile,yes,PROMOTE_WITH_CAVEAT,stress_fragility|top_feature_dependency,2
conduct__psychologist_2_3,conduct,psychologist_2_3,psychologist,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,54,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,0.0,0.0,0.0,0.0,2.7755575615628914e-17,-0.0005202913631634498,0.0031152647975077885,0.0008992994847190754,0.0,0.008258338251043607,-0.4968847352024922,-0.4968847352024922,fragile,yes,PROMOTE_WITH_CAVEAT,stress_fragility|top_feature_dependency,2
conduct__psychologist_full,conduct,psychologist_full,psychologist,review,precision_oriented_subset,rf_precision_push,isotonic,balanced,81,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011761822594189176,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,1.7564075194265172e-17,-0.0005202913631634498,0.004672897196261738,1.3597399555105182e-16,0.0,0.01205686785937321,-0.49532710280373826,-0.49532710280373826,fragile,yes,PROMOTE_WITH_CAVEAT,stress_fragility|top_feature_dependency,2
depression__caregiver_2_3,depression,caregiver_2_3,caregiver,primary,balanced_subset,rf_precision_push,none,precision_oriented,62,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.0,0.0,0.0,0.0,9.020562075079397e-17,0.03508190037662884,0.053989459492584824,0.0027951140621387213,0.026758085389305873,0.09721461866891679,-0.3581321240348082,-0.3581321240348082,fragile,yes,HOLD_FOR_TARGETED_FIX,split_instability|stress_fragility|top_feature_dependency|val_holdout_gap|wide_bootstrap_ci,5
depression__caregiver_full,depression,caregiver_full,caregiver,compare,full_eligible,rf_precision_push,none,precision_oriented,169,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.039214766912364474,0.05524574089962009,0.003520428470668453,0.007734928327111111,0.1038147821482488,-0.35687584262777294,-0.35687584262777294,fragile,yes,HOLD_FOR_TARGETED_FIX,stress_fragility|top_feature_dependency|val_holdout_gap|wide_bootstrap_ci,4
depression__psychologist_full,depression,psychologist_full,psychologist,compare,top_importance_filtered,rf_precision_push,none,precision_oriented,141,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.04673554009094145,0.0,0.0,0.0,0.0,4.85722573273506e-17,0.03515842885648346,0.06851329819830854,0.0030644584503674065,0.027646410491299084,0.09700378116124753,-0.3387670057605099,-0.3387670057605099,fragile,yes,HOLD_FOR_TARGETED_FIX,split_instability|stress_fragility|top_feature_dependency|val_holdout_gap|wide_bootstrap_ci,5
