candidate_id,domain,mode,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier,seed_std_balanced_accuracy,seed_std_precision,seed_std_recall,split_std_balanced_accuracy,split_std_precision,split_std_recall,bootstrap_balanced_accuracy_ci_low,bootstrap_balanced_accuracy_ci_high,bootstrap_balanced_accuracy_ci_width,bootstrap_precision_ci_width,worst_stress_delta_balanced_accuracy,worst_stress_delta_precision,worst_stress_delta_recall,drop_top3_delta_balanced_accuracy,stability_grade
adhd__psychologist_2_3,adhd,psychologist_2_3,0.7747747747747747,0.9148936170212766,0.9250633888215192,0.7693292583602127,0.05496522159680617,0.002659871950985667,0.007397226276105237,0.006142024140315144,0.0028452648564997445,0.002717071726134119,0.007522412565814307,0.8961424850843897,0.9520036230162124,0.05586113793182279,0.1489636456646879,-0.14204608091720872,-0.11886079628015112,-0.26595744680851063,-0.4250633888215192,fragile
adhd__psychologist_full,adhd,psychologist_full,0.9479166666666666,0.9680851063829787,0.9775658692536655,0.9451063417182078,0.015458704199548236,0.00921303621047275,0.0009112220157664806,0.018426072420945495,0.0018318828528148963,0.013843181803922824,0.0,0.958575,0.9948137019230769,0.03623870192307699,0.07868466410133079,-0.07840921618344177,-0.29142811704834604,-0.08510638297872342,-0.4775658692536655,fragile
anxiety__caregiver_2_3,anxiety,caregiver_2_3,0.8913043478260869,0.9534883720930233,0.9640538307165625,0.9296925029139941,0.021602992451955513,0.003356687611567598,0.0006896204839818837,0.006713375223135196,0.0019407664576304286,0.05472132534182415,0.01644434374852439,0.9409947446032272,0.9858015347371373,0.04480679013391009,0.12937614710870526,-0.4640538307165625,-0.8913043478260869,-0.9534883720930233,-0.2373096446700509,fragile
anxiety__caregiver_full,anxiety,caregiver_full,0.9418604651162791,0.9418604651162791,0.9645850548931649,0.9571307953536649,0.020586584402355848,0.00888096064913924,0.001071834303080637,0.01776192129827848,0.05755520311983529,0.0018749043440552616,0.11511040623967049,0.9394481287421321,0.98780292545554,0.04835479671340792,0.09156267928858286,-0.46458505489316493,-0.9418604651162791,-0.9418604651162791,-0.04978751032935902,fragile
conduct__caregiver_2_3,conduct,caregiver_2_3,0.9814814814814815,1.0,0.9953271028037383,1.0,0.001195853073814591,1.3597399555105182e-16,0.0,0.0,0.0,0.008729713347982107,0.004419417382415906,0.9879431321406268,1.0,0.01205686785937321,0.04713556437889954,-0.49532710280373826,-0.9814814814814815,-1.0,-0.49532710280373826,fragile
conduct__psychologist_2_3,conduct,psychologist_2_3,0.9875776397515528,1.0,0.9968847352024922,1.0,0.0012856785452305278,0.0008992994847190754,0.003519618618248206,0.0,0.0,0.0,0.0,0.9917416617489564,1.0,0.008258338251043607,0.03264492130386165,-0.4968847352024922,-0.9875776397515528,-1.0,-0.4968847352024922,fragile
conduct__psychologist_full,conduct,psychologist_full,0.9814814814814815,1.0,0.9953271028037383,1.0,0.0011761822594189176,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.9879431321406268,1.0,0.01205686785937321,0.04713556437889954,-0.49532710280373826,-0.9814814814814815,-1.0,-0.49532710280373826,fragile
depression__caregiver_2_3,depression,caregiver_2_3,0.8472222222222222,0.7439024390243902,0.8581321240348082,0.8629559860945878,0.05200483241107459,0.0027951140621387213,0.0054180768505032425,0.007040856941336906,0.026758085389305873,0.012325206330905355,0.05173952057462539,0.8081665263600196,0.9053811450289364,0.09721461866891679,0.16365757042253515,-0.3581321240348082,-0.8472222222222222,-0.7439024390243902,-0.3581321240348082,fragile
depression__caregiver_full,depression,caregiver_full,0.8356164383561644,0.7439024390243902,0.8568758426277729,0.8699765906318093,0.05093172225792724,0.003520428470668453,0.0013181512995196773,0.007040856941336906,0.007734928327111111,0.00718412952238163,0.017246506858208492,0.8043225322435273,0.9081373143917761,0.1038147821482488,0.16729537720148047,-0.35687584262777294,-0.8356164383561644,-0.7439024390243902,-0.35687584262777294,fragile
depression__psychologist_full,depression,psychologist_full,0.890625,0.6951219512195121,0.8387670057605099,0.9003575294905959,0.04673554009094145,0.0030644584503674065,0.016219012687057627,0.007040856941336842,0.027646410491299084,0.02357022603955158,0.051739520574625476,0.7920485968622746,0.8890523780235221,0.09700378116124753,0.15308895286569135,-0.3387670057605099,-0.890625,-0.6951219512195121,-0.3387670057605099,fragile
elimination__caregiver_2_3,elimination,caregiver_2_3,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9745323800251808,0.00600145350535929,0.009753940565029567,0.019033525357899747,0.02220577958421636,0.017919133024317628,0.034297232936808864,0.040794621991531596,0.9429040446961835,0.9988433276665811,0.05593928297039763,0.09654080675422139,-0.4688173975557154,-0.04925775978407565,-0.9423076923076923,-0.3918943206326384,fragile
elimination__caregiver_full,elimination,caregiver_full,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9598999040175511,0.008053752964194064,0.004577156594906924,0.0174396818051449,0.011102889792108212,0.03666432537245129,0.0581041522324969,0.08158924398306319,0.9330145560449399,0.9976665398826342,0.06465198383769433,0.10712765957446813,-0.4688173975557153,-0.9607843137254902,-0.9423076923076923,-0.401509705248023,fragile
elimination__psychologist_full,elimination,psychologist_full,0.9574468085106383,0.8653846153846154,0.930355859094177,0.952275555899417,0.011423276899059982,0.028739014625517322,0.008055257532035762,0.05875097044815175,0.05108859202677788,0.0463134266040312,0.10878565864408424,0.8811361488735691,0.9688507282219306,0.08771457934836158,0.12985104669887282,-0.43035585909417695,-0.9574468085106383,-0.8653846153846154,-0.3822789360172538,fragile
