domain,champion_candidate_id,champion_mode,champion_role,champion_decision,champion_precision,champion_recall,champion_specificity,champion_balanced_accuracy,champion_f1,champion_roc_auc,champion_pr_auc,champion_brier,selection_note
adhd,adhd__psychologist_full,psychologist_full,psychologist,PROMOTE_WITH_CAVEAT,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,best_decision_rank_and_metrics
anxiety,anxiety__caregiver_full,caregiver_full,caregiver,PROMOTE_WITH_CAVEAT,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020586584402355848,best_decision_rank_and_metrics
conduct,conduct__psychologist_2_3,psychologist_2_3,psychologist,PROMOTE_WITH_CAVEAT,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,best_decision_rank_and_metrics
depression,depression__caregiver_2_3,caregiver_2_3,caregiver,HOLD_FOR_TARGETED_FIX,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,best_decision_rank_and_metrics
elimination,elimination__caregiver_2_3,caregiver_2_3,caregiver,PROMOTE_WITH_CAVEAT,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628325,0.9745323800251808,0.00600145350535929,best_decision_rank_and_metrics
