candidate_id,domain,mode,threshold_used,precision_mean,precision_ci_low,precision_ci_high,precision_ci_width,recall_mean,recall_ci_low,recall_ci_high,recall_ci_width,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_ci_width,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high,pr_auc_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width
adhd__psychologist_2_3,adhd,psychologist_2_3,0.5,0.7758291425056419,0.6948651960784313,0.8438288417431192,0.1489636456646879,0.9156748789981229,0.85896519232901,0.9653343023255814,0.10636910999657134,0.9255522318909073,0.8961424850843897,0.9520036230162124,0.05586113793182279,0.7716218018980643,0.6891626202569744,0.8477657182737086,0.15860309801673422,0.05487285279046016,0.04160101257512411,0.06833058101667205,0.026729568441547946
adhd__psychologist_full,adhd,psychologist_full,0.05,0.9491291901142287,0.9090909090909091,0.9877755731922399,0.07868466410133079,0.968221038478795,0.9290297092288243,1.0,0.07097029077117567,0.9777539974451606,0.958575,0.9948137019230769,0.03623870192307699,0.9461259516624263,0.9009100095891636,0.9839897469619265,0.08307973737276297,0.015320930211505112,0.005883133785241947,0.025961057537829568,0.02007792375258762
anxiety__caregiver_2_3,anxiety,caregiver_2_3,0.5,0.8933624705501169,0.8255813953488372,0.9549575424575425,0.12937614710870526,0.955225534439398,0.9037433409436834,0.9932242990654203,0.08948095812173695,0.9650850875803205,0.9409947446032272,0.9858015347371373,0.04480679013391009,0.9319544814598797,0.8715325528715183,0.9900045044440866,0.11847195157256829,0.021218973233682027,0.010617368105073202,0.03154750295675859,0.020930134851685385
anxiety__caregiver_full,anxiety,caregiver_full,0.4949999999999999,0.9444484300993538,0.8964285714285715,0.9879912507171543,0.09156267928858286,0.9433045563171092,0.8897741147741147,0.9882729138166895,0.09849879904257475,0.9655481869098459,0.9394481287421321,0.98780292545554,0.04835479671340792,0.9591158971262005,0.9185907192303285,0.9951096397030625,0.07651892047273401,0.020196065351920745,0.01245245617207767,0.028755352309078868,0.0163028961370012
conduct__caregiver_2_3,conduct,caregiver_2_3,0.05,0.980775884028532,0.9528644356211005,1.0,0.04713556437889954,1.0,1.0,1.0,0.0,0.9951645426683704,0.9879431321406268,1.0,0.01205686785937321,1.0,1.0,1.0,0.0,0.0012695641584466774,2.9941961128361333e-05,0.004001834723961222,0.0039718927628328606
conduct__psychologist_2_3,conduct,psychologist_2_3,0.05,0.9872650034306506,0.9673550786961383,1.0,0.03264492130386165,1.0,1.0,1.0,0.0,0.9968094862586057,0.9917416617489564,1.0,0.008258338251043607,1.0,1.0,1.0,0.0,0.0013704996808091294,1.956853011013598e-05,0.0044630932855879105,0.004443524755477775
conduct__psychologist_full,conduct,psychologist_full,0.05,0.980775884028532,0.9528644356211005,1.0,0.04713556437889954,1.0,1.0,1.0,0.0,0.9951645426683704,0.9879431321406268,1.0,0.01205686785937321,1.0,1.0,1.0,0.0,0.0012549454167872752,3.2135588320525316e-05,0.004079236791373698,0.004047101203053173
depression__caregiver_2_3,depression,caregiver_2_3,0.59,0.8458061159696584,0.7619674295774648,0.9256249999999999,0.16365757042253515,0.7430346720259299,0.6513975155279503,0.8344791666666665,0.18308165113871622,0.857528378696874,0.8081665263600196,0.9053811450289364,0.09721461866891679,0.8631866552972084,0.7877699970014884,0.9248408432634905,0.13707084626200206,0.0521333008655661,0.0371526432787726,0.0667211061432066,0.029568462864434
depression__caregiver_full,depression,caregiver_full,0.615,0.8342821014952977,0.7464788732394366,0.9137742504409171,0.16729537720148047,0.7440423735056431,0.6393572351421188,0.8444444444444444,0.2050872093023256,0.8569396347227738,0.8043225322435273,0.9081373143917761,0.1038147821482488,0.87067505927207,0.7987627183901688,0.9323827013953304,0.13361998300516165,0.05080940010564953,0.03764534082997754,0.06647587371897702,0.028830532888999484
depression__psychologist_full,depression,psychologist_full,0.6599999999999999,0.8878293047864544,0.8063192103996147,0.9594081632653061,0.15308895286569135,0.694684691691177,0.5992857142857143,0.7923406862745097,0.1930549719887954,0.8382733254275568,0.7920485968622746,0.8890523780235221,0.09700378116124753,0.9008825404992545,0.85008778236342,0.9419186430111,0.09183086064767998,0.046782686568809545,0.0347420741259073,0.05933459715388506,0.024592523027977757
elimination__caregiver_2_3,elimination,caregiver_2_3,0.2549999999999999,0.9643197227053961,0.9034591932457786,1.0,0.09654080675422139,0.9600994518786801,0.8901472650771388,1.0,0.10985273492286118,0.977874859575157,0.9429040446961835,0.9988433276665811,0.05593928297039763,0.9767893547052827,0.9278009590066485,1.0,0.0721990409933515,0.005931911489107175,0.0019420705749489968,0.012126738981749782,0.010184668406800785
elimination__caregiver_full,elimination,caregiver_full,0.2549999999999999,0.9613363703690321,0.8928723404255319,1.0,0.10712765957446813,0.9420167878021533,0.8727083333333333,1.0,0.1272916666666667,0.968722859351733,0.9330145560449399,0.9976665398826342,0.06465198383769433,0.9605560149111211,0.8926817382319602,1.0,0.10731826176803982,0.008000287520657005,0.001588613942314425,0.01618360830843152,0.014594994366117093
elimination__psychologist_full,elimination,psychologist_full,0.4049999999999999,0.9581075504806749,0.8701489533011272,1.0,0.12985104669887282,0.8662142428737167,0.7687388193202147,0.9414109121909633,0.17267209287074858,0.930829966806027,0.8811361488735691,0.9688507282219306,0.08771457934836158,0.9530729204170326,0.8711734006203861,0.9984734657616013,0.12730006514121528,0.011325519344179724,0.005215000576198898,0.019526566966516317,0.014311566390317419
