mode,route,variant,domain,default_dependency_score,approximation_dependency_score,source_mix_risk_score,honesty_score,robustness_score,combined_honesty_robustness,missingness_sensitivity,partial_questionnaire_sensitivity,realism_shift_delta
caregiver,A,direct_basic,adhd,0.08300395256916995,0.0,0.35,0.708794466403162,1.0095677018633538,0.8591810841332579,-0.004844720496894356,-0.0019627329192546117,0.0007763975155279379
caregiver,A,direct_basic,conduct,0.032134532134532136,0.0,0.35,0.7800116550116549,0.9660998179611651,0.87305573648641,0.00012135922330092086,0.023035497572815547,-0.0012135922330097637
caregiver,A,direct_basic,elimination,0.031031468531468535,0.0,0.35,0.7815559440559441,0.7521614906832297,0.7668587173695869,0.015968944099378907,0.14510559006211182,0.015950310559006198
caregiver,A,direct_basic,anxiety,0.08542808542808543,0.0,0.35,0.7054006804006805,0.9364393939393938,0.8209200371700371,0.01666666666666672,0.025378787878787945,0.001136363636363602
caregiver,A,direct_basic,depression,0.06705059646236118,0.0,0.35,0.7311291649526943,0.8634235952199338,0.7972763800863141,0.04200355962369692,0.044908466819221934,-0.0054157131960336224
caregiver,B,intermediate_mapping,adhd,0.2050949050949051,0.39230769230769236,0.35,0.06709790209790206,1.0114807453416148,0.5392893237197585,-0.005173913043478223,-0.006956521739130375,-0.005447204968944019
caregiver,B,intermediate_mapping,conduct,0.07342657342657342,0.24287017330495592,0.35,0.43075858923685,0.9591823422330096,0.6949704657349298,0.017854975728155364,0.008229672330097096,-0.0006067961165049374
caregiver,B,intermediate_mapping,elimination,0.08802961744138214,0.2,0.35,0.4617585355820651,0.8072956521739127,0.6345270938779889,-0.005795031055900568,0.1379068322981367,0.007422360248447335
caregiver,B,intermediate_mapping,anxiety,0.7367401828940291,0.33310919849381393,0.35,0.0,0.9145265151515152,0.4572632575757576,0.03295454545454543,0.02339015151515153,0.0
caregiver,B,intermediate_mapping,depression,0.11888111888111888,0.2,0.35,0.4185664335664336,0.8574898296465805,0.6380281316065071,0.03986778540554281,0.05274281718789722,0.004068141367912448
caregiver,C,caregiver_clean_core,adhd,0.04393432654302219,0.0,0.35,0.7634919428397688,1.0095677018633538,0.8865298223515613,-0.004844720496894356,-0.0019627329192546117,0.0007763975155279379
caregiver,C,caregiver_clean_core,conduct,0.03289891926255562,0.0,0.35,0.7789415130324222,0.9584921116504854,0.8687168123414538,0.010709951456310679,0.016368325242718473,-0.0012135922330096527
caregiver,C,caregiver_clean_core,elimination,0.03187988482106129,0.0,0.35,0.7803681612505142,0.8085,0.7944340806252571,0.0016770186335403892,0.13287267080745344,0.0023291925465838137
caregiver,C,caregiver_clean_core,anxiety,0.09326758147512863,0.0,0.35,0.69442538593482,0.8850189393939393,0.7897221626643796,0.021969696969697,0.056534090909091006,-0.0005681818181817455
caregiver,C,caregiver_clean_core,depression,0.06721056721056723,0.0,0.35,0.7309052059052059,0.8854112636664125,0.8081582347858092,0.028508771929824567,0.04737159928807527,0.002212051868802245
caregiver,C,caregiver_clean_plus_optional_self,adhd,0.04393432654302219,0.0,0.44999999999999996,0.7134919428397689,1.0095677018633538,0.8615298223515613,-0.004844720496894356,-0.0019627329192546117,0.0007763975155279379
caregiver,C,caregiver_clean_plus_optional_self,conduct,0.033140772271207056,0.0,0.44999999999999996,0.7286029188203101,0.965439927184466,0.847021423002388,0.010133495145631055,0.009541868932038858,-0.004156553398058316
caregiver,C,caregiver_clean_plus_optional_self,elimination,0.03187988482106129,0.0,0.44999999999999996,0.7303681612505142,0.8085,0.7694340806252571,0.0016770186335403892,0.13287267080745344,0.0023291925465838137
caregiver,C,caregiver_clean_plus_optional_self,anxiety,0.09514084046794324,0.0,0.44999999999999996,0.6418028233448795,0.8196969696969698,0.7307498965209247,0.01761363636363633,0.10378787878787873,-0.005681818181818232
caregiver,C,caregiver_clean_plus_optional_self,depression,0.06721056721056723,0.0,0.44999999999999996,0.6809052059052059,0.8854112636664125,0.7831582347858093,0.028508771929824567,0.04737159928807527,0.002212051868802245
psychologist,P,professional_full_coverage,adhd,0.36333666333666326,0.0,0.6,0.19132867132867143,0.9884850931677018,0.5899068822481867,0.003614906832298176,0.004003105590062103,-0.00010559006211174893
psychologist,P,professional_full_coverage,conduct,0.033140772271207056,0.0,0.6,0.6536029188203101,0.9834481189320389,0.8185255188761744,0.0012742718446601964,0.009625303398058255,-0.0008646844660193942
psychologist,P,professional_full_coverage,elimination,0.03187988482106129,0.0,0.6,0.6553681612505142,0.8299937888198754,0.7426809750351948,-0.019981366459627253,0.1379068322981367,0.007422360248447335
psychologist,P,professional_full_coverage,anxiety,0.1302716514254976,0.0,0.6,0.5176196880043034,0.6468939393939392,0.5822568136991213,0.006060606060606072,0.24431818181818182,-0.001136363636363713
psychologist,P,professional_full_coverage,depression,0.06721056721056723,0.0,0.6,0.6059052059052059,0.8515808543096877,0.7287430301074468,0.04356089499110086,0.05274281718789722,0.004068141367912448
psychologist,P,professional_structured_coverage,adhd,0.36333666333666326,0.0,0.6,0.19132867132867143,1.014135403726708,0.6027320375276898,-0.0051739130434781955,-0.004838509316770143,0.0007639751552794838
psychologist,P,professional_structured_coverage,conduct,0.033140772271207056,0.0,0.6,0.6536029188203101,0.9730855582524272,0.8133442385363686,0.005354975728155353,0.009541868932038858,-0.004156553398058316
psychologist,P,professional_structured_coverage,elimination,0.03187988482106129,0.0,0.6,0.6553681612505142,0.8297869565217391,0.7425775588861266,-0.011627329192546582,0.13287267080745344,0.0023291925465838137
psychologist,P,professional_structured_coverage,anxiety,0.1302716514254976,0.0,0.6,0.5176196880043034,0.6602651515151516,0.5889424197597275,0.001704545454545403,0.24071969696969694,0.0
psychologist,P,professional_structured_coverage,depression,0.06721056721056723,0.0,0.6,0.6059052059052059,0.8887979913551998,0.7473515986302028,0.026392067124332536,0.04737159928807527,0.002212051868802245
