input_key,domain,source_instrument_or_origin,source_type,direct_question_yes_no,derivable_yes_no,system_filled_yes_no,missing_allowed_yes_no,caregiver_mode_covered_yes_no,psychologist_mode_covered_yes_no,risk_if_approximated,notes
age_years,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
ari_p_symptom_total,conduct,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
ari_sr_symptom_total,conduct,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
cbcl_001,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_002,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_003,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_004,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_005,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_006,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_007,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_008,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_009,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_010,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_011,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_012,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_013,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_014,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_015,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_016,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_017,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_018,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_019,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_020,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_021,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_022,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_023,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_024,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_025,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_026,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_027,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_028,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_029,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_030,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_031,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_032,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_033,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_034,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_035,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_036,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_037,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_038,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_039,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_040,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_041,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_042,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_043,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_044,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_045,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_046,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_047,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_048,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_049,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_050,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_051,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_052,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_053,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_054,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_055,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_056,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_057,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_058,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_059,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_060,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_061,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_062,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_063,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_064,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_065,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_066,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_067,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_068,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_069,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_070,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_071,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_072,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_073,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_074,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_075,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_076,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_077,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_078,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_079,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
cbcl_080,anxiety,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
