mode,domain,feature_set,family,n_features,calibration,threshold,fit_seconds,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std_balanced_accuracy,stability,uncertain_rate,uncertainty_usefulness,output_realism_score,operational_complexity,maintenance_complexity,objective
caregiver,elimination,compact_clinical_clean,rf,21,isotonic,0.36000000000000004,1.184311866760254,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.8837267080745341,0.9152986120374738,0.13595883397085926,0.0017141456819613624,high,0.24125874125874125,0.17070727309156483,0.8395104895104895,1.5,2.0176470588235293,0.8532035053164699
caregiver,elimination,proxy_pruned_clean,rf,14,isotonic,0.405,1.0890066623687744,0.8313253012048193,0.8571428571428571,0.776,0.8165714285714285,0.8440366972477065,0.8744099378881988,0.897224341246531,0.14278942169392647,0.0033496072781673087,high,0.16433566433566432,0.09213923261817855,0.893006993006993,1.3333333333333333,1.8117647058823527,0.8519097069979186
caregiver,elimination,subtype_aware_clean,rf,12,isotonic,0.38000000000000006,1.056696891784668,0.8424242424242424,0.8633540372670807,0.792,0.8276770186335404,0.852760736196319,0.8695652173913042,0.8997446899701127,0.14872918539425928,0.00716304884536358,high,0.12937062937062938,0.024530554651036596,0.8632867132867132,1.2857142857142856,1.7529411764705882,0.8505429526559972
caregiver,elimination,impact_burden_clean,rf,25,isotonic,0.41000000000000003,1.166980504989624,0.8618421052631579,0.8136645962732919,0.832,0.8228322981366459,0.8370607028753994,0.8811428571428572,0.9139806901705052,0.13542118672380588,0.0025705182373579882,high,0.0979020979020979,0.23781838316722037,0.8573426573426574,1.5952380952380953,2.135294117647059,0.8502029043761629
caregiver,elimination,missingness_aware_clean,rf,24,isotonic,0.41000000000000003,1.1749954223632812,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.8832546583850932,0.9146860914494689,0.13403755909912285,0.003579096398499613,high,0.11888111888111888,0.23552754435107373,0.8097902097902098,1.5714285714285714,2.1058823529411765,0.8490141894487413
caregiver,elimination,missingness_aware_clean,xgboost,24,isotonic,0.44500000000000006,0.2129974365234375,0.8322981366459627,0.8322981366459627,0.784,0.8081490683229814,0.8322981366459627,0.8695652173913044,0.9046562877102051,0.1401494364455806,0.0004216288881608955,high,0.01048951048951049,0.4829210836277974,0.7979020979020979,2.571428571428571,3.1058823529411765,0.8449358295420004
caregiver,elimination,hybrid_clean_best_effort,rf,33,isotonic,0.43000000000000005,1.1693241596221924,0.8506493506493507,0.8136645962732919,0.816,0.8148322981366459,0.8317460317460318,0.8780124223602485,0.9100564696592701,0.13888421532525363,0.007834097141833442,high,0.13286713286713286,0.24151103565365026,0.8216783216783217,1.7857142857142856,2.3705882352941177,0.8358708656329097
caregiver,elimination,source_semantics_clean,rf,33,isotonic,0.43000000000000005,1.2165608406066895,0.8506493506493507,0.8136645962732919,0.816,0.8148322981366459,0.8317460317460318,0.8780124223602485,0.9100564696592701,0.13888421532525363,0.007834097141833442,high,0.13286713286713286,0.24151103565365026,0.8216783216783217,1.7857142857142856,2.3705882352941177,0.8358708656329097
caregiver,elimination,hybrid_clean_best_effort,xgboost,33,isotonic,0.45500000000000007,0.281003475189209,0.875,0.782608695652174,0.856,0.819304347826087,0.8262295081967214,0.8745590062111801,0.9077023697352283,0.13999285342998039,0.006390209366699142,high,0.08741258741258741,0.322911877394636,0.8454545454545455,2.7857142857142856,3.3705882352941177,0.8357718113851431
caregiver,elimination,source_semantics_clean,xgboost,33,isotonic,0.45500000000000007,0.29900503158569336,0.875,0.782608695652174,0.856,0.819304347826087,0.8262295081967214,0.8745590062111801,0.9077023697352283,0.13999285342998039,0.006390209366699142,high,0.08741258741258741,0.322911877394636,0.8454545454545455,2.7857142857142856,3.3705882352941177,0.8357718113851431
