mode,domain,target_variant,round_id,family,feature_variant,seed,status,error,n_features,config_id,calibration,threshold_policy,threshold,abstention_band,abstention_coverage,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,high_conf_precision,input_missing_ratio
caregiver,adhd,baseline,3,lightgbm,base,47,ok,,23,lightgbm_refined,isotonic,precision_guarded,0.67,0.05,0.9685314685314685,0.9307888818153192,0.9538461538461539,0.7701863354037267,0.952,0.8610931677018634,0.852233676975945,0.9415155279503105,0.938108380383951,0.0912325846631384,0.9534883720930233,0.08300395256916995
caregiver,adhd,baseline,3,lightgbm,compact,11,ok,,27,lightgbm_refined,isotonic,balanced,0.45000000000000007,0.05,0.8286713286713286,0.8937347481981607,0.9485294117647058,0.8012422360248447,0.944,0.8726211180124224,0.8686868686868687,0.9407453416149067,0.93718130862607,0.09116246023958366,0.9485294117647058,0.0707070707070707
caregiver,adhd,baseline,3,lightgbm,compact,11,ok,,27,lightgbm_refined,isotonic,precision_guarded,0.45000000000000007,0.05,0.8286713286713286,0.9336246123144103,0.9485294117647058,0.8012422360248447,0.944,0.8726211180124224,0.8686868686868687,0.9407453416149067,0.93718130862607,0.09116246023958366,0.9485294117647058,0.0707070707070707
caregiver,adhd,baseline,3,lightgbm,compact,29,ok,,27,lightgbm_refined,isotonic,balanced,0.505,0.08,0.8181818181818182,0.88273542161812,0.9416058394160584,0.8012422360248447,0.936,0.8686211180124224,0.8657718120805369,0.9428571428571428,0.9453810864295237,0.09156288160150461,0.9407407407407408,0.0707070707070707
caregiver,adhd,baseline,3,lightgbm,compact,29,ok,,27,lightgbm_refined,isotonic,precision_guarded,0.67,0.05,0.9895104895104895,0.9288204572910294,0.9545454545454546,0.782608695652174,0.952,0.8673043478260869,0.8600682593856656,0.9428571428571428,0.9453810864295237,0.09156288160150461,0.9618320610687023,0.0707070707070707
caregiver,adhd,baseline,3,lightgbm,compact,47,ok,,27,lightgbm_refined,isotonic,balanced,0.44000000000000006,0.05,0.8321678321678322,0.8937347481981607,0.9416058394160584,0.8012422360248447,0.936,0.8686211180124224,0.8657718120805369,0.9432795031055901,0.9403007707917466,0.08998374114082265,0.9416058394160584,0.0707070707070707
caregiver,adhd,baseline,3,lightgbm,compact,47,ok,,27,lightgbm_refined,isotonic,precision_guarded,0.44000000000000006,0.05,0.8321678321678322,0.9335654019207484,0.9416058394160584,0.8012422360248447,0.936,0.8686211180124224,0.8657718120805369,0.9432795031055901,0.9403007707917466,0.08998374114082265,0.9416058394160584,0.0707070707070707
caregiver,conduct,baseline,1,rf,base,11,ok,,21,rf_default,isotonic,balanced,0.17,0.05,0.951048951048951,0.9576456310679611,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9753944174757282,0.9442662423392241,0.04099051355067629,0.971830985915493,0.032134532134532136
caregiver,conduct,baseline,1,rf,engineered,11,ok,,32,rf_default,isotonic,balanced,0.135,0.05,0.9475524475524476,0.9493971578334985,0.9722222222222222,0.875,0.9902912621359223,0.9326456310679612,0.9210526315789473,0.9780643203883496,0.9506146895650496,0.03878081363536217,0.9722222222222222,0.023492132867132868
caregiver,conduct,baseline,1,xgboost,base,11,ok,,21,xgboost_default,isotonic,balanced,0.335,0.05,0.9685314685314685,0.9533690368565179,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9831917475728156,0.9357168575090778,0.04193864017724991,0.9583333333333334,0.032134532134532136
caregiver,conduct,baseline,1,xgboost,engineered,11,ok,,32,xgboost_default,isotonic,balanced,0.29000000000000004,0.05,0.951048951048951,0.9449669073640894,0.9852941176470589,0.8375,0.9951456310679612,0.9163228155339807,0.9054054054054054,0.9813106796116505,0.9553528833397457,0.03813223913311958,0.9852941176470589,0.023492132867132868
caregiver,conduct,baseline,1,lightgbm,base,11,ok,,21,lightgbm_default,isotonic,balanced,0.155,0.05,0.9090909090909091,0.9641204158641563,0.9710144927536232,0.8375,0.9902912621359223,0.9138956310679611,0.8993288590604027,0.9774575242718446,0.9256535558137348,0.045884963649491683,0.9710144927536232,0.032134532134532136
caregiver,conduct,baseline,1,lightgbm,engineered,11,ok,,32,lightgbm_default,isotonic,balanced,0.405,0.1,0.9475524475524476,0.9321041952868112,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9674757281553398,0.9295928143468759,0.04079082762378547,0.9705882352941176,0.023492132867132868
caregiver,conduct,baseline,1,catboost,base,11,ok,,21,catboost_default,isotonic,balanced,0.335,0.05,0.9685314685314685,0.9512299396421192,0.9577464788732394,0.85,0.9854368932038835,0.9177184466019417,0.9006622516556292,0.9820995145631068,0.9561329816534653,0.04019569299610257,0.9577464788732394,0.032134532134532136
caregiver,conduct,baseline,1,catboost,engineered,11,ok,,32,catboost_default,isotonic,balanced,0.19,0.05,0.9230769230769231,0.9429427392175387,0.958904109589041,0.875,0.9854368932038835,0.9302184466019418,0.9150326797385621,0.9721177184466019,0.9472947134009378,0.037706182145396665,0.958904109589041,0.023492132867132868
caregiver,conduct,baseline,1,tabpfn,base,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",21,,,,,,,,,,,,,,,,,
caregiver,conduct,baseline,1,tabpfn,engineered,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",32,,,,,,,,,,,,,,,,,
caregiver,conduct,baseline,2,lightgbm,base,11,ok,,21,lightgbm_stability,isotonic,balanced,0.155,0.05,0.9090909090909091,0.9641204158641563,0.9710144927536232,0.8375,0.9902912621359223,0.9138956310679611,0.8993288590604027,0.9774575242718446,0.9256535558137348,0.045884963649491683,0.9710144927536232,0.032134532134532136
caregiver,conduct,baseline,2,lightgbm,base,29,ok,,21,lightgbm_stability,isotonic,balanced,0.165,0.05,0.9125874125874126,0.9597595141856474,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9804004854368932,0.9360802526491651,0.044785869128314885,0.971830985915493,0.032134532134532136
caregiver,conduct,baseline,2,rf,base,11,ok,,21,rf_stability,isotonic,balanced,0.17,0.05,0.951048951048951,0.9576456310679611,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9753944174757282,0.9442662423392241,0.04099051355067629,0.971830985915493,0.032134532134532136
caregiver,conduct,baseline,2,rf,base,29,ok,,21,rf_stability,isotonic,balanced,0.155,0.05,0.9545454545454546,0.9576456310679611,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9790655339805825,0.9426478150356934,0.042003866347355034,0.971830985915493,0.032134532134532136
caregiver,elimination,elimination_any_baseline,1,rf,base,11,ok,,16,rf_default,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_any_baseline,1,rf,engineered,11,ok,,27,rf_default,isotonic,precision_guarded,0.405,0.05,0.8426573426573427,0.9130996124516229,0.9083333333333333,0.6770186335403726,0.912,0.7945093167701863,0.7758007117437722,0.876248447204969,0.8809004372528717,0.1418555617731576,0.9159663865546218,0.0214970214970215
caregiver,elimination,elimination_any_baseline,1,xgboost,base,11,ok,,16,xgboost_default,isotonic,precision_guarded,0.585,0.05,0.9195804195804196,0.9054599816133774,0.9320388349514563,0.5962732919254659,0.944,0.7701366459627329,0.7272727272727273,0.8683975155279503,0.8855782525072247,0.14749932289123535,0.9320388349514563,0.031031468531468535
caregiver,elimination,elimination_any_baseline,1,xgboost,engineered,11,ok,,27,xgboost_default,isotonic,precision_guarded,0.67,0.05,0.9895104895104895,0.9099101392048146,0.9482758620689655,0.6832298136645962,0.952,0.8176149068322981,0.7942238267148014,0.8759006211180124,0.8907346613286833,0.13305138051509857,0.9482758620689655,0.0214970214970215
caregiver,elimination,elimination_any_baseline,1,lightgbm,base,11,ok,,16,lightgbm_default,isotonic,precision_guarded,0.64,0.05,0.9615384615384616,0.9007852580002519,0.9320388349514563,0.5962732919254659,0.944,0.7701366459627329,0.7272727272727273,0.8592049689440993,0.8668977137978806,0.14510704394575183,0.9320388349514563,0.031031468531468535
caregiver,elimination,elimination_any_baseline,1,lightgbm,engineered,11,ok,,27,lightgbm_default,isotonic,precision_guarded,0.505,0.05,0.972027972027972,0.9075463189982198,0.9401709401709402,0.6832298136645962,0.944,0.8136149068322981,0.7913669064748201,0.8770434782608696,0.8958414547407705,0.137095178588842,0.9401709401709402,0.0214970214970215
caregiver,elimination,elimination_any_baseline,1,catboost,base,11,ok,,16,catboost_default,isotonic,precision_guarded,0.67,0.05,0.9370629370629371,0.9015940958614574,0.9285714285714286,0.5652173913043478,0.944,0.7546086956521738,0.7027027027027027,0.8773664596273293,0.8897344844417241,0.13925947606095904,0.9285714285714286,0.031031468531468535
caregiver,elimination,elimination_any_baseline,1,catboost,engineered,11,ok,,27,catboost_default,isotonic,precision_guarded,0.65,0.05,0.9405594405594405,0.9080494958525257,0.9375,0.5590062111801242,0.952,0.7555031055900621,0.7003891050583657,0.8816397515527951,0.8936722277890081,0.1395190368954594,0.9368421052631579,0.0214970214970215
caregiver,elimination,elimination_any_baseline,1,tabpfn,base,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",16,,,,,,,,,,,,,,,,,
caregiver,elimination,elimination_any_baseline,1,tabpfn,engineered,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",27,,,,,,,,,,,,,,,,,
caregiver,elimination,elimination_any_baseline,2,rf,base,11,ok,,16,rf_stability,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_any_baseline,2,rf,base,29,ok,,16,rf_stability,isotonic,precision_guarded,0.54,0.05,0.9545454545454546,0.9140625940101095,0.9245283018867925,0.6086956521739131,0.936,0.7723478260869565,0.7340823970037453,0.8683478260869565,0.8737943150167379,0.147548187825951,0.9245283018867925,0.031031468531468535
caregiver,elimination,elimination_any_baseline,2,rf,engineered,11,ok,,27,rf_stability,isotonic,precision_guarded,0.405,0.05,0.8426573426573427,0.9130996124516229,0.9083333333333333,0.6770186335403726,0.912,0.7945093167701863,0.7758007117437722,0.876248447204969,0.8809004372528717,0.14185556177315758,0.9159663865546218,0.0214970214970215
caregiver,elimination,elimination_any_baseline,2,rf,engineered,29,ok,,27,rf_stability,isotonic,precision_guarded,0.605,0.05,0.9825174825174825,0.9120961520368791,0.9217391304347826,0.6583850931677019,0.928,0.793192546583851,0.7681159420289855,0.8806708074534162,0.888495814545502,0.13652271877835748,0.9298245614035088,0.0214970214970215
caregiver,elimination,elimination_any_baseline,3,rf,base,11,ok,,16,rf_refined,isotonic,balanced,0.42000000000000004,0.05,0.7692307692307693,0.864604628833446,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,base,11,ok,,16,rf_refined,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,base,29,ok,,16,rf_refined,isotonic,balanced,0.39,0.15,0.7342657342657343,0.8589357120073913,0.8863636363636364,0.7267080745341615,0.88,0.8033540372670808,0.7986348122866894,0.8683478260869565,0.8737943150167379,0.14754818782595094,0.9245283018867925,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,base,29,ok,,16,rf_refined,isotonic,precision_guarded,0.54,0.05,0.9545454545454546,0.9140625940101095,0.9245283018867925,0.6086956521739131,0.936,0.7723478260869565,0.7340823970037453,0.8683478260869565,0.8737943150167379,0.14754818782595094,0.9245283018867925,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,base,47,ok,,16,rf_refined,isotonic,balanced,0.46499999999999997,0.05,0.9545454545454546,0.8612889369897849,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8684968944099379,0.8753338714890868,0.14893094591629505,0.9259259259259259,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,base,47,ok,,16,rf_refined,isotonic,precision_guarded,0.46499999999999997,0.05,0.9545454545454546,0.9152425458066622,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8684968944099379,0.8753338714890868,0.14893094591629505,0.9259259259259259,0.031031468531468535
caregiver,elimination,elimination_any_baseline,3,rf,compact,11,ok,,20,rf_refined,isotonic,balanced,0.505,0.05,0.958041958041958,0.8579671613112031,0.9238095238095239,0.6024844720496895,0.936,0.7692422360248448,0.7293233082706767,0.8593291925465839,0.8657529156550128,0.15486295284594223,0.9320388349514563,0.02482517482517483
caregiver,elimination,elimination_any_baseline,3,rf,compact,11,ok,,20,rf_refined,isotonic,precision_guarded,0.505,0.05,0.958041958041958,0.9137043195955096,0.9238095238095239,0.6024844720496895,0.936,0.7692422360248448,0.7293233082706767,0.8593291925465839,0.8657529156550128,0.15486295284594223,0.9320388349514563,0.02482517482517483
caregiver,elimination,elimination_any_baseline,3,rf,compact,29,ok,,20,rf_refined,isotonic,balanced,0.505,0.05,0.965034965034965,0.8574921938844093,0.9326923076923077,0.6024844720496895,0.944,0.7732422360248448,0.7320754716981132,0.8594285714285714,0.8643546330056072,0.152244580099185,0.9326923076923077,0.02482517482517483
caregiver,elimination,elimination_any_baseline,3,rf,compact,29,ok,,20,rf_refined,isotonic,precision_guarded,0.505,0.05,0.965034965034965,0.9109339464932437,0.9326923076923077,0.6024844720496895,0.944,0.7732422360248448,0.7320754716981132,0.8594285714285714,0.8643546330056072,0.152244580099185,0.9326923076923077,0.02482517482517483
caregiver,elimination,elimination_any_baseline,3,rf,compact,47,ok,,20,rf_refined,isotonic,balanced,0.505,0.05,0.965034965034965,0.8574921938844093,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8657391304347826,0.8706165876352696,0.15013610664065064,0.9259259259259259,0.02482517482517483
caregiver,elimination,elimination_any_baseline,3,rf,compact,47,ok,,20,rf_refined,isotonic,precision_guarded,0.505,0.05,0.965034965034965,0.9109253374369501,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8657391304347826,0.8706165876352696,0.15013610664065064,0.9259259259259259,0.02482517482517483
caregiver,elimination,elimination_union_internal,1,rf,base,11,ok,,16,rf_default,isotonic,precision_guarded,0.42000000000000004,0.05,0.7692307692307693,0.9173536723532889,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8695900621118012,0.8730568579459776,0.1473940216585318,0.9279279279279279,0.031031468531468535
