domain,mode,seed,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,accuracy
conduct,caregiver_2_3,20270421,0.6849999999999999,0.9280575539568345,0.80625,0.96875,0.8875,0.862876254180602,0.9758593750000001,0.9476529887411713,0.05981340060933398,0.9145833333333333
conduct,caregiver_2_3,20270439,0.835,0.9619047619047619,0.63125,0.9875,0.809375,0.7622641509433963,0.97634765625,0.951915709766102,0.05953532475135177,0.86875
conduct,caregiver_2_3,20270457,0.82,0.9719626168224299,0.65,0.990625,0.8203125,0.7790262172284644,0.97580078125,0.9505711839616916,0.06009565374375548,0.8770833333333333
conduct,caregiver_full,20270421,0.44499999999999995,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746874999999999,0.9499594639068576,0.062285939971415946,0.9
conduct,caregiver_full,20270439,0.61,0.85625,0.85625,0.928125,0.8921874999999999,0.85625,0.9742578125,0.9443095234691594,0.06225096204982578,0.9041666666666667
conduct,caregiver_full,20270457,0.4149999999999999,0.8032786885245902,0.91875,0.8875,0.903125,0.8571428571428571,0.9752734375000001,0.9510128469777345,0.06200788636222407,0.8979166666666667
conduct,psychologist_2_3,20270421,0.37999999999999995,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234374999999,0.9324443838258124,0.059815766088824475,0.9166666666666666
conduct,psychologist_2_3,20270439,0.33499999999999996,0.8111111111111111,0.9125,0.89375,0.903125,0.8588235294117647,0.971181640625,0.9349301906984506,0.06227573501904886,0.9
conduct,psychologist_2_3,20270457,0.16999999999999998,0.7905759162303665,0.94375,0.875,0.909375,0.8603988603988604,0.9721289062499999,0.939248106489585,0.05994659122701111,0.8979166666666667
conduct,psychologist_full,20270421,0.33499999999999996,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.9756347656250001,0.9413294156917726,0.06019684142478341,0.9145833333333333
conduct,psychologist_full,20270439,0.30499999999999994,0.8156424581005587,0.9125,0.896875,0.9046875,0.8613569321533924,0.9715527343749999,0.9353417221615976,0.062317176567538886,0.9020833333333333
conduct,psychologist_full,20270457,0.30499999999999994,0.8131868131868132,0.925,0.89375,0.909375,0.8654970760233918,0.973525390625,0.9384909732409088,0.061391025961905175,0.9041666666666667
