candidate_id,domain,mode,stress_type,scenario,threshold,precision,recall,balanced_accuracy,pr_auc,brier,delta_precision_vs_winner,delta_recall_vs_winner,delta_ba_vs_winner,delta_pr_auc_vs_winner,delta_brier_vs_winner
adhd__caregiver_1_3,adhd,caregiver_1_3,light_noise,noise_10pct_std,0.05,0.6216216216216216,0.9787234042553191,0.9168228420240326,0.6314215499751055,0.07856659086052745,0.001621621621621605,-0.010638297872340496,-0.004023812148605477,-0.00842963850836298,-0.0004310720427945641
adhd__caregiver_1_3,adhd,caregiver_1_3,light_noise,noise_5pct_std,0.05,0.62,0.9893617021276596,0.9208466541726381,0.6391208855170247,0.07878641960382134,0.0,0.0,0.0,-0.0007303029664437188,-0.0002112432995006741
adhd__caregiver_1_3,adhd,caregiver_1_3,missingness,missing_10pct,0.05,0.6111111111111112,0.9361702127659575,0.8955462462793518,0.6145701272794406,0.08374483951825838,-0.008888888888888835,-0.05319148936170215,-0.02530040789328636,-0.025281061204027844,0.0047471766149363714
adhd__caregiver_1_3,adhd,caregiver_1_3,missingness,missing_20pct,0.05,0.6363636363636364,0.8936170212765957,0.884632344835189,0.633988893096444,0.08504295928429566,0.016363636363636358,-0.09574468085106391,-0.03621430933744907,-0.00586229538702443,0.006045296380973647
adhd__caregiver_1_3,adhd,caregiver_1_3,missingness,missing_5pct,0.05,0.6137931034482759,0.9468085106382979,0.900865395215522,0.6031450021589216,0.08616347396359013,-0.006206896551724128,-0.042553191489361764,-0.01998125895711611,-0.03670618632454681,0.007165811060268118
adhd__caregiver_1_3,adhd,caregiver_1_3,threshold_sensitivity,threshold_shift_+0.05,0.1,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0,0.0,0.0
adhd__caregiver_1_3,adhd,caregiver_1_3,threshold_sensitivity,threshold_shift_+0.10,0.15000000000000002,0.6174496644295302,0.9787234042553191,0.9155275052364679,0.6398511884834684,0.07899766290332201,-0.002550335570469797,-0.010638297872340496,-0.005319148936170248,0.0,0.0
adhd__caregiver_1_3,adhd,caregiver_1_3,threshold_sensitivity,threshold_shift_-0.05,0.05,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0,0.0,0.0
adhd__caregiver_1_3,adhd,caregiver_1_3,threshold_sensitivity,threshold_shift_-0.10,0.05,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0,0.0,0.0
adhd__caregiver_2_3,adhd,caregiver_2_3,light_noise,noise_10pct_std,0.5,0.72,0.9574468085106383,0.9333866166905523,0.7300054786933016,0.061336651643570314,-0.0022222222222222365,-0.010638297872340385,-0.005319148936170248,-0.007517615206176109,0.0015709089191252856
adhd__caregiver_2_3,adhd,caregiver_2_3,light_noise,noise_5pct_std,0.5,0.7222222222222222,0.9680851063829787,0.9387057656267226,0.735687973560594,0.05980780687833141,0.0,0.0,0.0,-0.0018351203388836668,4.206415388638418e-05
