trial_id,feature_name,drop_reason
T02_drop_high_risk_semantic_proxies,target_encopresis_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_enuresis_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,domain_comorbidity_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,internal_exact_comorbidity_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,internal_exact_any_positive,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,domain_any_positive,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,n_diagnoses,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,comorbidity_count_5targets,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,has_any_target_disorder,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_domain_depression,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_adhd_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_domain_adhd,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_dmdd_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_major_depressive_disorder_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_conduct_disorder_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_domain_conduct,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_domain_anxiety,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_separation_anxiety_disorder_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_generalized_anxiety_disorder_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_persistent_depressive_disorder_exact,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_dmdd_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_conduct_disorder_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_persistent_depressive_disorder_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_major_depressive_disorder_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_generalized_anxiety_disorder_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_separation_anxiety_disorder_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_adhd_exact_proxy_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_adhd_exact_direct_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_adhd_exact_absent_criteria_count,semantic_or_proxy_risk
T02_drop_high_risk_semantic_proxies,target_conduct_disorder_exact_direct_criteria_count,semantic_or_proxy_risk
