feature,importance
num__cbcl_externalizing_proxy,0.034698264532338895
num__cbcl_072,0.02916789239719104
num__icut_total,0.0290817715740581
num__ari_sr_symptom_total,0.026630216886181803
num__ari_p_symptom_total,0.02289844575364917
num__cbcl_061,0.020849296212895732
num__cbcl_aggressive_behavior_proxy,0.02011238473056211
num__cbcl_rule_breaking_proxy,0.019115497018225566
num__icut_callousness,0.01887512159582322
num__cbcl_076,0.016719811755322608
num__cbcl_083,0.01488847401384714
num__cbcl_062,0.014732989628201323
num__cbcl_058,0.0142678966527581
num__cbcl_063,0.014090828961526736
num__cbcl_078,0.013349505068461451
num__cbcl_070,0.013324217101629636
num__icut_10,0.013185585356570783
num__ari_sr_04,0.012494650021373836
num__ari_sr_06,0.012073570810490835
num__cbcl_082,0.011861099637408837
num__icut_15,0.01168480356209492
num__icut_uncaring,0.011673240007198622
num__ari_sr_07,0.011531917414306436
num__cbcl_071,0.011481077328442694
num__cbcl_089,0.011260841510936204
num__cbcl_056,0.011137847987173046
num__cbcl_064,0.011085540978233863
num__cbcl_090,0.010388005067685788
num__icut_14,0.010340211136440161
num__ari_p_02,0.01009279251571061
num__cbcl_084,0.01006322294962034
num__icut_08,0.010039833353725497
num__cbcl_067,0.009780558736619399
num__cbcl_074,0.009742066102891094
num__icut_21,0.009567046525881055
num__icut_unemotional,0.00947474573605689
num__ari_p_03,0.009337541627773177
num__cbcl_081,0.009233424144711634
num__icut_06,0.009201434197478188
num__icut_04,0.009104558095024909
num__icut_09,0.008828202666934463
num__ari_p_06,0.008641316972456846
num__cbcl_attention_problems_proxy,0.008497709684175209
num__cbcl_073,0.008362808314012416
num__icut_07,0.008301334275341068
num__cbcl_065,0.008244554673127444
num__cbcl_066,0.008244063150313273
num__ari_sr_02,0.008101316907164058
num__icut_13,0.007707558534375194
num__icut_03,0.007268454973185707
num__sdq_total_difficulties,0.0072518005506653814
num__cbcl_057,0.006858084453204307
num__ari_p_impairment_item,0.0067521488599697485
num__cbcl_069,0.0066763723174606115
num__icut_11,0.006636288889995424
num__cbcl_086,0.006542253909133345
num__cbcl_060,0.006499319217727493
num__sdq_conduct_problems,0.006403145776396451
num__icut_24,0.006344692187036537
num__icut_22,0.005670283096194295
num__icut_12,0.005615866054401338
num__cbcl_044,0.005302082253592569
num__ari_sr_03,0.005096282927184832
num__cbcl_077,0.005039551265355157
num__ari_sr_impairment_item,0.0050202936034694345
num__ari_sr_05,0.004827806511886455
num__ari_p_01,0.004802205384547941
num__ari_sr_01,0.004782261179604982
num__ari_p_07,0.004615678754344059
num__ari_p_05,0.00453090111484366
num__icut_01,0.0045284084496137805
num__icut_18,0.004514874361231544
num__cbcl_059,0.004378820277899359
num__cbcl_087,0.004292261585125455
num__icut_16,0.004285917054967457
num__icut_19,0.004202964147956364
num__icut_20,0.0041779306387948745
num__icut_02,0.003867281061247385
num__ari_p_04,0.003862252389189511
num__cbcl_068,0.003694551087805169
num__cbcl_085,0.0035504143097105775
num__cbcl_079,0.003540739625334933
num__cbcl_080,0.0034664479307712475
num__icut_17,0.003390978009742359
num__sdq_prosocial_behavior,0.003308794997977742
num__cbcl_internalizing_proxy,0.0033019963365003976
num__cbcl_041,0.0032469699045347944
num__cbcl_042,0.003202810178628336
num__sdq_09,0.0031753442271503247
num__age_years,0.003168026443613568
num__sdq_peer_problems,0.003099627859230484
num__sdq_07,0.002971083121839519
num__cbcl_046,0.0028970485870061335
num__icut_23,0.0027913599115802525
num__sdq_hyperactivity_inattention,0.0027378436873378323
num__cbcl_053,0.0026066349645384145
num__sdq_21,0.0025906187254043323
