mode,domain,stage_order,stage_label,version_ref,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,stage_note,delta_balanced_accuracy_vs_prev,delta_balanced_accuracy_vs_stage1,delta_pr_auc_vs_prev,delta_pr_auc_vs_stage1,delta_brier_vs_prev,delta_brier_vs_stage1
caregiver,adhd,1,baseline_strong_previous,final_hardening_v9_baseline,0.9183673469387756,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.9505341614906831,0.952056332280638,0.0870829079083937,baseline fuerte anterior,,0.0,,0.0,,0.0
caregiver,adhd,2,last_material_improvement,final_hardening_v10,0.9183673469387756,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.9505341614906831,0.952056332280638,0.0870829079083937,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
caregiver,adhd,3,final_current,questionnaire_final_ceiling_v4,0.9432408077280912,0.8245341614906831,0.936,0.8802670807453417,0.8798666840368248,0.9520186335403726,0.9539088179306232,0.0840596703290396,version final vigente,0.009012422360248462,0.009012422360248462,0.0018524856499851916,0.0018524856499851916,-0.0030232375793540905,-0.0030232375793540905
caregiver,anxiety,1,baseline_strong_previous,final_hardening_v9_baseline,0.7804878048780488,0.9696969696969696,0.9181818181818182,0.943939393939394,0.8648648648648649,0.9798553719008264,0.9531779293765594,0.0320778464650725,baseline fuerte anterior,,0.0,,0.0,,0.0
caregiver,anxiety,2,last_material_improvement,final_hardening_v10,0.7804878048780488,0.9696969696969696,0.9181818181818182,0.943939393939394,0.8648648648648649,0.9798553719008264,0.9531779293765594,0.0320778464650725,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
caregiver,anxiety,3,final_current,questionnaire_final_ceiling_v4,0.7822192110809998,0.9659090909090908,0.919318181818182,0.9426136363636364,0.8644052215480788,0.9772555096418732,0.9396720372726228,0.0346279916921464,version final vigente,-0.0013257575757575912,-0.0013257575757575912,-0.013505892103936601,-0.013505892103936601,0.002550145227073898,0.002550145227073898
caregiver,conduct,1,baseline_strong_previous,final_hardening_v9_baseline,0.9036144578313252,0.9375,0.9611650485436892,0.9493325242718448,0.9202453987730062,0.977760922330097,0.9521032423422988,0.0351586493276629,baseline fuerte anterior,,0.0,,0.0,,0.0
caregiver,conduct,2,last_material_improvement,final_hardening_v10,0.9036144578313252,0.9375,0.9611650485436892,0.9493325242718448,0.9202453987730062,0.977760922330097,0.9521032423422988,0.0351586493276629,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
caregiver,conduct,3,final_current,questionnaire_final_ceiling_v4,0.9654598825831702,0.8625,0.9878640776699028,0.9251820388349514,0.9109803921568628,0.981811286407767,0.9493139037978212,0.040319725025576,version final vigente,-0.024150485436893354,-0.024150485436893354,-0.002789338544477604,-0.002789338544477604,0.005161075697913103,0.005161075697913103
caregiver,depression,1,baseline_strong_previous,final_hardening_v9_baseline,0.875,0.9130434782608696,0.912280701754386,0.9126620900076275,0.8936170212765957,0.9788456648868548,0.9643996041721472,0.0613616212581498,baseline fuerte anterior,,0.0,,0.0,,0.0
caregiver,depression,2,last_material_improvement,final_hardening_v10,0.875,0.9130434782608696,0.912280701754386,0.9126620900076275,0.8936170212765957,0.9788456648868548,0.9643996041721472,0.0613616212581498,ultima mejora material previa,0.0,0.0,0.0,0.0,0.0,0.0
caregiver,depression,3,final_current,questionnaire_final_ceiling_v4,0.9295979545053784,0.8608695652173913,0.956140350877193,0.908504958047292,0.8939097468509234,0.9754767353165522,0.9561651613249752,0.058168737152042,version final vigente,-0.004157131960335514,-0.004157131960335514,-0.008234442847172008,-0.008234442847172008,-0.003192884106107796,-0.003192884106107796
caregiver,elimination,1,baseline_strong_previous,elimination_baseline_pre_v12,0.91869918699187,0.7018633540372671,0.92,0.8109316770186336,0.795774647887324,,,0.1485824753360272,baseline fuerte anterior de linea elimination,,0.0,,,,0.0
caregiver,elimination,2,last_material_improvement,elimination_clean_rebuild_v12,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,,0.9152986120374738,0.1359588339708592,ultima mejora material previa,0.019006211180124244,0.019006211180124244,,0.0,-0.012623641365167998,-0.012623641365167998
caregiver,elimination,3,final_current,elimination_clean_rebuild_v12,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,,0.9152986120374738,0.1359588339708592,version final vigente (KEEP_V12),0.0,0.019006211180124244,0.0,0.0,0.0,-0.012623641365167998
caregiver,elimination,4,exploratory_later_version,elimination_final_push_v14,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,,0.9115229294695696,0.1326782002447883,exploratorio; decision formal KEEP_V12,0.004422360248447221,0.023428571428571465,-0.0037756825679041706,-0.0037756825679041706,-0.003280633726070903,-0.0159042750912389
