slot_key,domain,role,mode,feature,permutation_ba_drop_mean,permutation_ba_drop_std
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_hypimp_06_talks_excessively,0.019912358064160474,0.006683386616690545
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_context_home,0.00668338661669049,0.002659574468085124
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_hypimp_09_interrupts_intrudes,0.020628927350898385,0.0006476683937823857
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_hypimp_03_runs_or_climbs_inappropriately,0.0046714805423877515,0.0006476683937823857
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_hypimp_08_difficulty_waiting_turn,0.007978723404255261,0.002659574468085124
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,adhd_context_school,0.0073310550104728756,0.00330724286186751
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,age_years,0.0033072428618674543,0.0033072428618674543
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_onset_before_12,0.1624407452320582,0.015957446808510634
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_06_avoids_sustained_effort,0.10133943335905632,0.008047624297210898
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_09_forgetful_daily_activities,0.07862969904089956,0.017252783596075405
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_03_seems_not_listening,0.10256586925366551,6.89008929555257e-05
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_02_sustained_attention_difficulty,0.08868922941241314,0.00330724286186751
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_hypimp_07_blurts_out,0.046645904530922766,0.02393617021276595
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_08_easily_distracted,0.07927736743468194,0.005966817329952634
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_01_attention_to_detail_errors,0.07869859993385508,0.005388049829125774
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,adhd_inatt_07_loses_things,0.04470289934957555,0.00330724286186751
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_onset_before_12,0.19479660456399517,0.0034450446477786167
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_not_better_explained_other_mental,0.11483022819975747,0.005250248043214667
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_impairment_home,0.036076507551537906,0.005319148936170248
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_impairment_school,0.020697828243854022,0.0033072428618674543
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_06_avoids_sustained_effort,0.03795061183992943,0.0007165692867379114
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,adhd_inatt_09_forgetful_daily_activities,-0.0005787675008268045,0.00330724286186751
