domain,role,mode,feature_set_type,target_n_features,available_n_features_for_mode,selected_n_features,best_attainable_under_current_questionnaire,is_subset_of_full,is_nested_with_2_3,cross_domain_feature_count,eng_feature_count,features_pipe
conduct,psychologist,psychologist_2_3,domain_strict_2_3,16,17,16,no,yes,yes,0,0,conduct_impairment_global|conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|conduct_07_forced_sex|conduct_13_stays_out_at_night_before_13|conduct_10_breaks_into_house_building_car|conduct_04_physical_cruelty_people
conduct,psychologist,psychologist_1_3,domain_strict_1_3,8,15,8,no,yes,yes,0,0,conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates
elimination,caregiver,caregiver_full,domain_strict_full,9,9,9,no,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|enuresis_secondary_course|enuresis_diurnal|encopresis_visible_deposition_pattern|encopresis_constipation_present
elimination,caregiver,caregiver_2_3,domain_strict_2_3,6,8,6,no,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal|enuresis_primary_course|encopresis_duration_months_consecutive|encopresis_constipation_present
elimination,caregiver,caregiver_1_3,domain_strict_1_3,3,4,2,yes,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month
elimination,psychologist,psychologist_full,domain_strict_full,12,12,12,no,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_primary_course|enuresis_nocturnal|encopresis_duration_months_consecutive|enuresis_diurnal|enuresis_secondary_course|encopresis_visible_deposition_pattern|encopresis_constipation_present|encopresis_overflow_incontinence|enuresis_not_due_substance_medical|encopresis_not_due_substance_medical
elimination,psychologist,psychologist_2_3,domain_strict_2_3,8,11,8,no,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_primary_course|enuresis_nocturnal|encopresis_duration_months_consecutive|enuresis_diurnal|encopresis_constipation_present|enuresis_not_due_substance_medical
elimination,psychologist,psychologist_1_3,domain_strict_1_3,4,5,4,no,yes,yes,0,0,enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_primary_course|enuresis_nocturnal
anxiety,caregiver,caregiver_full,domain_strict_full,40,40,40,no,yes,yes,0,0,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_fear_05_outside_home_alone|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|agor_fear_04_crowds_queues|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|agor_almost_always_triggered|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment|social_anxiety_avoid_or_endure_intense|agor_duration_months|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_interactions|social_anxiety_almost_always_triggered|agor_impairment|social_anxiety_fear_performance|agor_fear_02_open_spaces|sep_anx_01_distress_on_separation|social_anxiety_children_peer_only_flag
anxiety,caregiver,caregiver_2_3,domain_strict_2_3,27,36,27,no,yes,yes,0,0,sep_anx_impairment|sep_anx_duration_weeks|agor_escape_help_cognition|age_years|gad_duration_months|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|agor_avoid_or_need_companion|social_anxiety_duration_months|sep_anx_03_worry_event_causing_separation|gad_assoc_03_concentration_difficulty|social_anxiety_fear_negative_evaluation|gad_assoc_05_muscle_tension|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|gad_impairment|sep_anx_04_refuses_leaving_home_school|gad_assoc_02_fatigue|gad_assoc_01_restlessness|sep_anx_08_physical_complaints_on_separation|agor_fear_01_public_transport|sep_anx_06_refuses_sleep_away_or_alone|gad_assoc_04_irritability|social_anxiety_fear_being_observed|gad_excessive_worry_multiple_areas|agor_fear_03_enclosed_spaces|social_anxiety_impairment
anxiety,caregiver,caregiver_1_3,domain_strict_1_3,14,7,5,yes,yes,yes,0,0,sep_anx_impairment|gad_difficulty_controlling_worry|gad_impairment|gad_excessive_worry_multiple_areas|social_anxiety_impairment
anxiety,psychologist,psychologist_full,domain_strict_full,49,49,49,no,yes,yes,0,0,sep_anx_impairment|sep_anx_duration_weeks|age_years|gad_duration_months|agor_escape_help_cognition|gad_difficulty_controlling_worry|gad_assoc_06_sleep_problems|social_anxiety_duration_months|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_negative_evaluation|gad_impairment|gad_assoc_05_muscle_tension|agor_avoid_or_need_companion|gad_not_better_explained|agor_fear_01_public_transport|agor_fear_04_crowds_queues|sep_anx_07_separation_nightmares|gad_assoc_01_restlessness|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|sep_anx_03_worry_event_causing_separation|agor_fear_05_outside_home_alone|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_performance|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|gad_assoc_04_irritability|agor_almost_always_triggered|social_anxiety_disproportionate|sep_anx_08_physical_complaints_on_separation|agor_duration_months|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|social_anxiety_impairment|agor_fear_03_enclosed_spaces|social_anxiety_fear_being_observed|agor_impairment|social_anxiety_avoid_or_endure_intense|agor_fear_02_open_spaces|agor_disproportionate|social_anxiety_not_better_explained|social_anxiety_children_peer_only_flag|gad_not_due_substance_medical|sep_anx_not_better_explained|agor_not_better_explained|agor_not_excessive_due_medical|social_anxiety_not_due_substance_medical
anxiety,psychologist,psychologist_2_3,domain_strict_2_3,33,38,33,no,yes,yes,0,0,sep_anx_impairment|sep_anx_duration_weeks|age_years|gad_duration_months|agor_escape_help_cognition|gad_difficulty_controlling_worry|gad_assoc_06_sleep_problems|social_anxiety_duration_months|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_negative_evaluation|gad_impairment|gad_assoc_05_muscle_tension|agor_avoid_or_need_companion|agor_fear_01_public_transport|agor_fear_04_crowds_queues|sep_anx_07_separation_nightmares|gad_assoc_01_restlessness|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|sep_anx_03_worry_event_causing_separation|agor_fear_05_outside_home_alone|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_performance|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|gad_assoc_04_irritability|sep_anx_08_physical_complaints_on_separation|agor_duration_months|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|social_anxiety_impairment
anxiety,psychologist,psychologist_1_3,domain_strict_1_3,17,14,12,yes,yes,yes,0,0,gad_difficulty_controlling_worry|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_03_worry_event_causing_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions
depression,caregiver,caregiver_full,domain_strict_full,29,29,29,no,yes,yes,0,0,mdd_duration_weeks|mdd_impairment|mdd_02_loss_of_interest_or_pleasure|mdd_01_depressed_or_irritable_mood|pdd_depressed_or_irritable_mood|pdd_duration_months_child|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_09_death_or_suicidal_thoughts|mdd_08_concentration_or_decision_difficulty|dmdd_duration_months|mdd_03_weight_or_appetite_change|mdd_07_worthlessness_or_excessive_guilt|dmdd_irritable_between_outbursts|pdd_impairment|dmdd_outbursts_severity|dmdd_outbursts_frequency_per_week|pdd_01_appetite_change|pdd_06_hopelessness|pdd_05_concentration_difficulty|mdd_06_fatigue_or_low_energy|pdd_02_sleep_change|dmdd_context_home|pdd_03_low_energy|dmdd_context_peers|dmdd_onset_before_10|pdd_no_gap_gt_2_months|pdd_04_low_self_esteem|dmdd_context_school
depression,caregiver,caregiver_2_3,domain_strict_2_3,20,18,18,yes,yes,yes,0,0,mdd_duration_weeks|mdd_impairment|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|pdd_duration_months_child|mdd_05_psychomotor_change|mdd_09_death_or_suicidal_thoughts|mdd_08_concentration_or_decision_difficulty|dmdd_duration_months|mdd_03_weight_or_appetite_change|mdd_07_worthlessness_or_excessive_guilt|dmdd_irritable_between_outbursts|pdd_impairment|dmdd_outbursts_severity|dmdd_outbursts_frequency_per_week|pdd_01_appetite_change|pdd_05_concentration_difficulty|mdd_06_fatigue_or_low_energy
depression,caregiver,caregiver_1_3,domain_strict_1_3,10,15,10,no,yes,yes,0,0,mdd_duration_weeks|mdd_impairment|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|pdd_duration_months_child|mdd_05_psychomotor_change|mdd_09_death_or_suicidal_thoughts|mdd_08_concentration_or_decision_difficulty|dmdd_duration_months|mdd_03_weight_or_appetite_change
depression,psychologist,psychologist_full,domain_strict_full,40,40,40,no,yes,yes,0,0,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt|mdd_01_depressed_or_irritable_mood|mdd_08_concentration_or_decision_difficulty|mdd_04_sleep_change|mdd_03_weight_or_appetite_change|mdd_05_psychomotor_change|pdd_01_appetite_change|pdd_depressed_or_irritable_mood|pdd_impairment|pdd_06_hopelessness|mdd_09_death_or_suicidal_thoughts|dmdd_duration_months|dmdd_outbursts_frequency_per_week|pdd_05_concentration_difficulty|dmdd_irritable_between_outbursts|dmdd_outbursts_severity|mdd_06_fatigue_or_low_energy|dmdd_context_home|pdd_02_sleep_change|age_years|pdd_03_low_energy|pdd_no_gap_gt_2_months|pdd_04_low_self_esteem|dmdd_context_school|dmdd_context_peers|dmdd_onset_before_10|dmdd_developmentally_inappropriate|pdd_no_psychotic_explained|mdd_not_psychotic_explained|mdd_not_due_substance_medical|mdd_no_mania_hypomania_history|dmdd_no_mania_hypomania|dmdd_not_better_explained|pdd_no_substance_medical|pdd_no_mania_hypomania|dmdd_no_substance_medical
depression,psychologist,psychologist_2_3,domain_strict_2_3,27,19,19,yes,yes,yes,0,0,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_03_weight_or_appetite_change|mdd_05_psychomotor_change|pdd_01_appetite_change|pdd_depressed_or_irritable_mood|pdd_impairment|mdd_09_death_or_suicidal_thoughts|dmdd_duration_months|dmdd_outbursts_frequency_per_week|pdd_05_concentration_difficulty|dmdd_irritable_between_outbursts|dmdd_outbursts_severity|mdd_06_fatigue_or_low_energy|age_years
depression,psychologist,psychologist_1_3,domain_strict_1_3,14,11,8,yes,yes,yes,0,0,mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|pdd_depressed_or_irritable_mood|pdd_impairment|dmdd_duration_months|dmdd_outbursts_frequency_per_week|dmdd_irritable_between_outbursts
