slot_key,domain,role,mode,train_recall,holdout_recall,gap_train_holdout_recall,train_f2,holdout_f2,gap_train_holdout_f2,train_pr_auc,holdout_pr_auc,gap_train_holdout_pr_auc,train_balanced_accuracy,holdout_balanced_accuracy,gap_train_holdout_ba,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,seed_stability_f1_std
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,1.0,0.9787234042553191,0.021276595744680882,0.9114414996767938,0.8812260536398467,0.030215446036947036,0.8291295131223035,0.6348300001844969,0.19429951293780667,0.940846286701209,0.9194135155991621,0.021432771102046888,0.9335449735449735,0.01870832434337316,0.7963402338402338,0.013149307451010934,0.7592045662344536,0.007142182776818559,0.9165829712019882,0.0023155596138575547,0.010040866426930114
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,1.0,0.9680851063829787,0.03191489361702127,0.9245901639344263,0.8904109589041096,0.034179205030316684,0.861646492546299,0.6349693136205401,0.2266771789257589,0.9503454231433506,0.9270477345386396,0.02329768860471093,0.9627936507936509,0.009842703428610095,0.8260097839687056,0.01657392848537726,0.7799956289732336,0.030877689668164995,0.936387821833177,0.0027526398773515728,0.012325742109231062
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,1.0,0.9574468085106383,0.04255319148936165,0.9337748344370861,0.8771929824561403,0.056581851980945785,0.8828658510424012,0.66977613630941,0.2130897147329912,0.9568221070811744,0.9178425752397752,0.03897953184139924,0.9415238095238095,0.01872294722618386,0.8290834028824872,0.0028002605412472898,0.7929480323997686,0.01179841945240183,0.9306085293699664,0.0055087101761403,0.009868530926245574
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,0.9964539007092199,0.9680851063829787,0.028368794326241176,0.9052835051546393,0.869980879541109,0.03530262561353026,0.8613262097229168,0.6413740714852344,0.21995213823768245,0.9364825634806895,0.9115036930878624,0.02497887039282709,0.9521058201058201,0.01138927203480155,0.8155454169348166,0.009791917577057427,0.742626931009291,0.019091366806467624,0.9294226354127378,0.0053615819382043396,0.010299332075048306
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,1.0,0.9787234042553191,0.021276595744680882,0.9704060564349622,0.9406952965235174,0.029710759911444895,0.9932091934006936,0.9605288502790146,0.032680343121679,0.9814335060449051,0.9621596295887995,0.019273876456105565,0.9680846560846561,0.006533069720430461,0.9410526589024676,0.019270034152989855,0.9862547933726612,0.005048996591448097,0.973027129019498,0.005618293444456379,0.007683896096291536
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,1.0,0.9680851063829787,0.03191489361702127,0.9798471160528145,0.9381443298969072,0.04170278615590728,0.9951764014603844,0.9630826128741268,0.032093788586257666,0.9874784110535406,0.9607264910153235,0.026751920038217136,0.9601269841269842,0.006377081665772566,0.9476397285162225,0.00951504820228096,0.9868042618883899,0.0022059317625612225,0.9719690994577475,0.0016147689370832226,0.013326407223351974
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,0.9069767441860465,0.9418604651162791,-0.03488372093023262,0.8757485029940121,0.916289592760181,-0.04054108976616888,0.9400741756096339,0.955690824027037,-0.015616648417403067,0.9238775429898083,0.9493566284972259,-0.02547908550741762,0.9070429697431986,0.017604261901833416,0.7925661211853162,0.021173349971953578,0.917307259065031,0.014220768779883137,0.9116444856561969,0.007961231898142346,0.015573706703895455
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,1.0,0.9651162790697675,0.03488372093023251,0.9605361131794489,0.9304932735426009,0.03004283963684795,0.9946263270604913,0.9722061553201079,0.022420171740383354,0.977580372250423,0.9584464644079802,0.019133907842442843,0.8954487668446478,0.03231924853944749,0.8838569604086844,0.02124567040865964,0.9588010231238803,0.010942864117476449,0.9334459115773122,0.015884727210011156,0.013876419759880633
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,0.9922480620155039,0.9767441860465116,0.015503875968992276,0.9559372666168784,0.9459459459459462,0.009991320670932224,0.9902703652694391,0.9729367308495688,0.017333634419870347,0.9745504269468382,0.968067524495337,0.006482902451501293,0.8982964658021867,0.02674503235884688,0.883217982845312,0.016100315026595934,0.9552052377721066,0.011517396557079727,0.9342348404211608,0.010461092766778248,0.01191248803331271
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,0.9961240310077519,0.9651162790697675,0.03100775193798444,0.9338662790697674,0.906113537117904,0.02775274195186339,0.9700630861013202,0.9476782393006409,0.022384846800679314,0.9612599850470231,0.9432180380120412,0.018041947034981964,0.8575896262395117,0.036316653815268135,0.840350296724416,0.004939837836471455,0.9184627617410834,0.00649423215071352,0.9088074873909854,0.013638169792842506,0.016391675209831626
