slot_key,domain,role,mode,n_trees,mean_tree_depth,max_tree_depth,mean_leaves,mean_nodes,depth_distribution,leaves_distribution
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,160,7.0,7,24.4,47.8,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7,20|18|26|23|25|32|25|25|21|25|24|25|23|27|21|23|27|22|16|27|20|19|19|29|32|22|25|31|19|28|27|24|21|19|25|25|29|22|19|27|26|22|24|29|19|24|25|26|26|30|19|19|22|29|25|33|19|21|17|28|23|33|19|23|28|23|31|26|22|21|29|26|28|24|20|27|24|23|30|27|26|18|22|21|22|34|29|22|37|30|26|26|20|24|28|22|25|21|26|26|23|25|24|26|24|37|26|30|25|17|28|24|30|26|28|25|20|32|25|24|30|28|17|25|24|20|22|28|27|23|20|26|21|22|23|25|26|31|15|23|21|21|21|31|20|16|26|27|17|24|21|28|27|27|26|16|20|20|21|27
adhd/caregiver/caregiver_2_3,adhd,caregiver,caregiver_2_3,170,6.0,6,22.49411764705882,43.98823529411764,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,23|28|20|25|21|16|20|25|20|17|20|25|23|26|19|15|19|22|28|26|27|15|18|20|25|23|26|28|21|27|30|30|27|18|20|21|18|19|20|23|29|21|30|16|21|22|17|21|30|26|22|28|23|26|23|27|20|24|22|28|28|21|22|23|25|26|23|21|25|19|22|16|20|28|25|18|27|22|25|22|21|20|25|24|28|28|15|17|26|22|22|24|23|23|29|17|20|25|27|23|16|25|20|23|21|20|23|22|20|23|24|25|22|17|26|21|20|33|27|24|15|18|20|20|18|20|19|22|22|21|24|23|25|18|32|27|25|25|23|24|23|19|20|25|22|17|14|26|21|21|24|18|17|25|21|20|22|21|22|21|29|22|22|26|17|23|20|21|24|21
adhd/caregiver/caregiver_full,adhd,caregiver,caregiver_full,190,8.0,8,26.242105263157896,51.48421052631579,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,29|27|23|36|36|21|27|33|21|31|23|34|27|29|23|20|26|24|30|26|22|28|33|28|29|26|22|33|26|22|26|26|22|26|26|24|28|24|35|20|28|21|20|36|30|20|33|37|28|26|25|36|25|23|30|25|27|24|22|34|26|30|25|28|31|23|17|23|23|20|24|28|22|21|30|25|23|27|26|20|28|21|22|29|21|28|35|33|22|32|29|29|23|25|21|18|23|30|23|25|25|24|27|29|30|28|32|19|15|31|18|24|21|25|32|21|25|25|14|22|29|31|26|20|17|35|26|37|24|22|23|30|31|34|33|33|21|29|30|29|24|18|17|22|26|20|26|33|26|22|31|24|26|37|26|25|25|33|35|25|31|25|26|35|23|33|21|26|23|21|27|23|32|23|28|22|21|33|25|20|32|30|31|35|24|19|20|29|23|26
adhd/psychologist/psychologist_1_3,adhd,psychologist,psychologist_1_3,190,8.0,8,27.08421052631579,53.16842105263158,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,29|25|24|30|22|23|19|35|28|30|26|32|27|28|34|19|30|22|28|22|25|30|29|29|31|27|24|26|30|20|26|25|21|27|29|25|31|33|34|29|27|34|27|25|29|30|23|35|27|26|28|18|28|24|21|30|33|32|26|19|23|26|25|32|31|22|28|34|21|28|31|29|23|29|29|21|22|24|28|28|24|27|19|19|30|28|23|25|30|29|22|26|32|22|39|25|28|23|33|23|29|28|31|27|26|25|27|26|35|27|22|25|33|33|25|26|31|32|19|30|22|24|24|22|26|28|23|35|28|26|35|29|24|25|27|24|25|29|22|28|24|31|23|17|29|31|24|32|25|22|18|26|23|29|30|28|23|29|21|32|25|34|29|21|30|29|34|34|29|32|29|25|27|29|29|29|31|27|29|19|28|21|28|34|26|27|29|35|31|29
adhd/psychologist/psychologist_2_3,adhd,psychologist,psychologist_2_3,190,7.973684210526316,8,22.99473684210526,44.98947368421052,8|8|8|8|8|8|8|8|8|8|7|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,24|23|17|21|22|26|21|27|16|20|19|26|28|20|23|17|27|21|23|20|30|31|19|25|18|22|18|21|25|34|26|30|22|23|22|23|22|24|31|25|25|17|24|32|21|35|24|23|28|25|24|20|23|22|19|22|19|17|25|26|29|23|15|26|30|21|24|32|23|20|11|23|31|24|25|19|24|24|22|19|22|24|19|19|27|24|20|27|22|22|24|29|28|24|23|24|21|22|24|16|21|22|19|19|16|30|24|22|30|22|17|28|17|23|25|26|19|28|16|20|22|28|22|15|22|29|19|19|20|26|26|28|23|29|13|31|22|27|24|15|18|24|18|19|23|28|29|27|17|19|21|20|31|23|24|20|28|27|21|24|23|28|23|18|19|26|26|16|19|24|29|23|20|25|23|32|25|27|17|20|14|19|17|23|19|27|22|24|25|22
adhd/psychologist/psychologist_full,adhd,psychologist,psychologist_full,190,7.994736842105263,8,23.45263157894737,45.90526315789474,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,21|24|25|30|27|27|16|25|25|28|18|30|21|28|23|16|17|24|33|28|23|26|24|24|20|28|26|20|22|25|15|33|29|20|26|23|27|23|32|27|20|20|20|27|27|25|22|23|23|29|20|23|26|24|17|21|24|28|17|21|28|24|32|20|27|20|22|26|25|28|21|30|24|27|21|25|17|16|31|25|31|27|20|20|24|19|24|27|34|21|23|25|18|17|27|23|30|25|20|17|24|22|20|27|29|30|22|18|16|29|21|17|15|25|27|18|21|19|20|32|21|19|22|28|20|21|28|26|16|18|23|18|24|26|18|26|21|19|25|18|29|25|16|16|16|24|28|23|26|18|26|25|23|21|20|37|19|29|29|34|25|28|19|33|22|31|18|28|37|25|12|16|22|23|30|23|21|26|19|19|23|16|14|27|21|26|26|21|16|19
anxiety/caregiver/caregiver_1_3,anxiety,caregiver,caregiver_1_3,120,4.858333333333333,5,12.775,24.55,5|5|5|5|5|5|5|5|5|4|4|5|5|4|5|5|5|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|5|5|5|5|5|4|5|5|5|5|5|5|5|4|5|5|5|4|4|5|5|4|5|5|5|5|5|5|5|5|5|5|4|5|5|5|4|4|5|5|5|5|5|5|5|5|5|5|4|5|5|5,19|10|13|14|16|11|13|14|16|9|8|15|12|9|10|13|8|8|14|17|11|14|14|14|14|18|13|14|12|10|14|15|10|13|13|13|15|13|14|15|12|11|15|11|11|14|14|12|10|12|9|11|13|10|16|12|14|15|16|15|15|11|18|13|15|10|13|12|16|15|15|14|16|8|15|14|12|12|11|12|12|11|13|15|12|10|9|13|14|11|12|10|13|12|10|10|12|14|13|13|11|13|13|19|10|9|13|18|11|12|11|13|15|15|12|11|11|12|16|11
anxiety/caregiver/caregiver_2_3,anxiety,caregiver,caregiver_2_3,190,7.868421052631579,8,34.98421052631579,68.96842105263158,8|7|8|8|8|8|7|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|7|8|8|7|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|7|7|8|7|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|7|8|8|8|8|7|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|7|8|8|8|8|8|8|8|8|7|7|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|7|8|8|8|8,34|38|38|26|33|30|35|37|34|34|36|40|39|36|32|36|33|31|41|41|30|44|29|36|38|29|38|44|28|40|32|34|33|41|38|34|29|36|36|36|42|32|37|34|36|37|36|34|33|34|32|37|41|30|38|38|32|41|35|40|37|27|39|42|41|27|35|34|38|39|34|31|39|34|34|31|32|27|36|39|36|33|31|38|38|32|37|43|40|36|32|36|38|34|35|36|32|29|39|31|42|33|34|42|36|29|34|29|34|36|29|32|30|38|37|28|35|33|36|40|32|35|34|42|35|39|36|43|28|31|40|33|41|37|32|35|44|32|32|31|33|39|35|34|32|39|29|36|39|28|32|37|31|34|38|36|31|33|34|36|30|31|42|40|27|38|30|34|27|37|40|40|34|30|32|34|38|37|36|32|36|34|40|37|36|32|36|31|30|31
anxiety/caregiver/caregiver_full,anxiety,caregiver,caregiver_full,170,6.0,6,26.929411764705883,52.858823529411765,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,26|27|19|20|25|22|27|30|28|30|28|30|23|28|30|26|21|25|24|24|30|25|27|30|26|25|29|27|25|28|30|28|22|24|32|29|27|25|31|23|32|25|26|23|33|27|31|24|24|27|26|31|32|23|29|27|25|28|31|29|27|23|23|30|28|22|27|31|23|28|30|29|28|19|27|30|33|25|25|23|30|24|22|29|31|24|26|24|28|29|24|25|27|29|29|26|28|27|29|34|25|26|25|33|29|32|26|21|22|26|22|24|20|27|32|29|24|29|32|31|27|28|30|29|31|23|31|28|28|27|27|33|31|26|24|31|31|26|31|29|29|24|32|29|21|27|31|25|22|34|19|23|29|30|24|32|19|24|25|29|23|23|26|29|25|25|28|25|25|30
anxiety/psychologist/psychologist_1_3,anxiety,psychologist,psychologist_1_3,190,7.831578947368421,8,33.57368421052632,66.14736842105263,8|8|8|7|8|7|7|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|7|8|7|7|7|8|8|7|8|8|7|8|7|8|8|7|8|8|8|8|8|8|8|7|7|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|7|8|8|7|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|7|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|8|8|8|7|8|8|8|8|8|8|8|7|7|8|8|8|8|7|7|8|8|8|8|8|8|8|8|7,38|38|34|34|32|31|28|40|28|33|33|34|36|34|37|39|31|31|36|35|33|35|35|28|33|36|39|36|32|36|30|31|35|33|38|38|32|39|41|34|36|37|29|31|28|25|36|32|35|38|34|28|31|32|31|31|33|29|43|36|30|32|38|39|29|38|32|36|34|32|35|32|32|35|32|32|34|38|31|35|30|36|40|35|30|34|31|31|31|28|34|30|33|38|31|34|30|30|39|35|34|32|31|33|39|33|32|34|31|31|34|33|29|31|34|33|30|38|31|37|31|38|33|27|35|38|37|29|30|36|34|38|30|35|38|43|30|34|35|35|33|28|41|34|32|32|35|34|34|35|26|28|37|26|31|33|32|37|32|33|39|35|36|34|34|29|36|37|31|36|31|37|29|31|29|37|37|33|33|36|37|38|39|35|33|33|24|30|33|31
