slot_key,domain,role,mode,feature_set_type,feature_columns_pipe,n_features,config_id,seed,calibration,threshold_policy,threshold,precision_floor,recall_floor,recall_ideal_hi,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_f2,train_mcc,train_pr_auc,train_roc_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_f2,val_mcc,val_pr_auc,val_roc_auc,val_brier,precision,recall,specificity,balanced_accuracy,f1,f2,mcc,npv,fpr,fnr,pr_auc,roc_auc,brier,tn,fp,fn,tp,prevalence,positive_rate_predicted,high_separability_alert,hard_fail_candidate,hard_fail_reasons,precision_floor_ok,recall_floor_ok,candidate_key,val_selection_score,holdout_metric_score,trial_error
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_recall_guarded,20270511,none,balanced_recall_specificity,0.5199999999999999,0.61,0.85,0.95,0.7183462532299741,0.9858156028368794,0.9058721934369602,0.9458438981369198,0.8310911808669657,0.9174917491749176,0.7982188668580806,0.8154718320511749,0.968317838288073,0.0630927528719096,0.7235772357723578,0.9468085106382979,0.9119170984455959,0.9293628045419469,0.8202764976958525,0.8917835671342687,0.7805942180114823,0.7427933130302057,0.9570885238672694,0.06830347288764341,0.6370370370370371,0.9148936170212766,0.8730569948186528,0.8939753059199647,0.7510917030567685,0.8414872798434442,0.6954727921080813,0.9768115942028985,0.12694300518134716,0.0851063829787234,0.6340196831528087,0.9364182559805976,0.08695331501750353,337,49,8,86,0.19583333333333333,0.28125,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_recall_guarded::20270511::none::balanced_recall_specificity::0.520000,0.8919155480037002,0.8100906009051004,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_recall_guarded,20270529,none,balanced_recall_specificity,0.5399999999999999,0.61,0.85,0.95,0.7176165803108808,0.9822695035460993,0.9058721934369602,0.9440708484915298,0.8293413173652695,0.9147952443857332,0.7956959290548707,0.8183987461996135,0.9680759195972514,0.0634803459325987,0.7355371900826446,0.9468085106382979,0.917098445595855,0.9319534781170764,0.827906976744186,0.8953722334004024,0.7895590951737881,0.7308242883616279,0.9565924374379892,0.06786738598224339,0.6589147286821705,0.9042553191489362,0.8860103626943006,0.8951328409216184,0.7623318385650224,0.8415841584158416,0.7074280703557089,0.9743589743589743,0.11398963730569948,0.09574468085106383,0.6312900943815691,0.9361702127659575,0.0866258053507012,342,44,9,85,0.19583333333333333,0.26875,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_recall_guarded::20270529::none::balanced_recall_specificity::0.540000,0.8926835945428269,0.8100827170627475,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_balanced_subsample,20270511,none,balanced_recall_specificity,0.59,0.61,0.85,0.95,0.7391304347826086,0.9645390070921985,0.917098445595855,0.9408187263440267,0.8369230769230769,0.909090909090909,0.8021351779823944,0.8226333023379192,0.9688843567412635,0.06256449252798721,0.7586206896551724,0.9361702127659575,0.927461139896373,0.9318156763311652,0.8380952380952381,0.894308943089431,0.8005828693690837,0.7327083364163514,0.9559585492227979,0.06837984905966413,0.6694214876033058,0.8617021276595744,0.8963730569948186,0.8790375923271965,0.7534883720930232,0.8148893360160966,0.6928352093361263,0.9637883008356546,0.10362694300518134,0.13829787234042554,0.6375006499963021,0.9380167566971668,0.08580195484178726,346,40,13,81,0.19583333333333333,0.2520833333333333,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_balanced_subsample::20270511::none::balanced_recall_specificity::0.590000,0.8921126755631279,0.7907377947544763,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_balanced_subsample,20270529,none,balanced_recall_specificity,0.3999999999999999,0.61,0.85,0.95,0.6844660194174758,1.0,0.8877374784110535,0.9438687392055267,0.8126801152737753,0.9155844155844156,0.7795037768578937,0.8253034539718029,0.9690405320986293,0.06286449972657622,0.6838235294117647,0.9893617021276596,0.8886010362694301,0.9389813691985449,0.808695652173913,0.9082031249999999,0.7731877916780202,0.7306560100224604,0.9563719545805314,0.06800171366275246,0.6301369863013698,0.9787234042553191,0.8601036269430051,0.9194135155991621,0.7666666666666667,0.8812260536398467,0.7235696380535575,0.9940119760479041,0.13989637305699482,0.02127659574468085,0.6340640972111297,0.9365836181236908,0.08674546116477021,332,54,2,92,0.19583333333333333,0.30416666666666664,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_balanced_subsample::20270529::none::balanced_recall_specificity::0.400000,0.8960777387683743,0.841687437590892,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_high_recall_push,20270511,none,balanced_recall_specificity,0.5399999999999999,0.61,0.85,0.95,0.7406417112299465,0.9822695035460993,0.9162348877374784,0.9492521956417889,0.8445121951219512,0.9221038615179762,0.8131761534811663,0.8421318259678361,0.9724151447224978,0.05815603775417638,0.7478991596638656,0.9468085106382979,0.9222797927461139,0.934544151692206,0.8356807511737089,0.898989898989899,0.7987197115734648,0.7301817694043784,0.9557380663653402,0.06649598966936818,0.664,0.8829787234042553,0.8911917098445595,0.8870852166244074,0.7579908675799086,0.8283433133732535,0.7000434186930257,0.9690140845070423,0.10880829015544041,0.11702127659574468,0.6308084592039866,0.9358394884797707,0.08570712933378198,344,42,11,83,0.19583333333333333,0.2604166666666667,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_high_recall_push::20270511::none::balanced_recall_specificity::0.540000,0.8950466316650156,0.7999484362504004,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_high_recall_push,20270511,sigmoid,balanced_recall_specificity,0.21896461156055386,0.61,0.85,0.95,0.7232375979112271,0.9822695035460993,0.9084628670120898,0.9453661852790946,0.8330827067669173,0.9166115155526142,0.7999985295605873,0.8321775758702916,0.9703328066242849,0.05106251863819857,0.7416666666666667,0.9468085106382979,0.9196891191709845,0.9332488149046412,0.8317757009345794,0.8971774193548386,0.7941144246721068,0.7346377999491562,0.9565924374379893,0.059195937068999095,0.6615384615384615,0.9148936170212766,0.8860103626943006,0.9004519898577885,0.7678571428571429,0.849802371541502,0.715207948712723,0.9771428571428571,0.11398963730569948,0.0851063829787234,0.6350639838540857,0.9369970234814243,0.0799718772411388,342,44,8,86,0.19583333333333333,0.2708333333333333,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_high_recall_push::20270511::sigmoid::balanced_recall_specificity::0.218965,0.8944428140642827,0.8173680410648374,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_high_recall_push,20270529,none,balanced_recall_specificity,0.5070836993036325,0.61,0.85,0.95,0.7349081364829396,0.9929078014184397,0.9127806563039723,0.952844228861206,0.8446455505279035,0.927766732935719,0.8147928306698151,0.841886935832882,0.972304903293769,0.05793910765967642,0.7416666666666667,0.9468085106382979,0.9196891191709845,0.9332488149046412,0.8317757009345794,0.8971774193548386,0.7941144246721068,0.7280793159960894,0.9557380663653401,0.06570272653503587,0.6640625,0.9042553191489362,0.8886010362694301,0.8964281777091831,0.7657657657657657,0.8432539682539683,0.711501425205158,0.9744318181818182,0.11139896373056994,0.09574468085106383,0.6319764184643106,0.9360599713372286,0.08584352330504418,343,43,9,85,0.19583333333333333,0.26666666666666666,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_high_recall_push::20270529::none::balanced_recall_specificity::0.507084,0.8935246263108534,0.8116077236988378,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_high_recall_push,20270529,sigmoid,balanced_recall_specificity,0.20999999999999996,0.61,0.85,0.95,0.7239583333333334,0.9858156028368794,0.9084628670120898,0.9471392349244846,0.8348348348348348,0.9193121693121694,0.8025166242024808,0.8318814160745226,0.9703144330528303,0.05112233007062385,0.7478991596638656,0.9468085106382979,0.9222797927461139,0.934544151692206,0.8356807511737089,0.898989898989899,0.7987197115734648,0.7320810356420191,0.9570609635100871,0.0586322209531538,0.6515151515151515,0.9148936170212766,0.8808290155440415,0.897861316282659,0.7610619469026548,0.8464566929133859,0.7072007333197429,0.9770114942528736,0.11917098445595854,0.0851063829787234,0.6339322788161825,0.936363135266233,0.08046333820315128,340,46,8,86,0.19583333333333333,0.275,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_high_recall_push::20270529::sigmoid::balanced_recall_specificity::0.210000,0.8953125289382853,0.8144375529198807,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_recall_balanced_manual,20270511,none,balanced_recall_specificity,0.62,0.61,0.85,0.95,0.7556818181818182,0.9432624113475178,0.92573402417962,0.9344982177635689,0.8391167192429022,0.8986486486486487,0.8024371919637568,0.8268199770736597,0.9695948015041831,0.0616401198291389,0.7652173913043478,0.9361702127659575,0.9300518134715026,0.93311101311873,0.8421052631578947,0.8961303462321792,0.8053625848169693,0.7279589805037807,0.9559034285084335,0.06814570463783669,0.6666666666666666,0.8297872340425532,0.8989637305699482,0.8643754823062506,0.7393364928909952,0.7910750507099391,0.6735820081992739,0.9559228650137741,0.10103626943005181,0.1702127659574468,0.6347870648162444,0.9372175063388821,0.08582147190164648,347,39,16,78,0.19583333333333333,0.24375,no,no,,yes,no,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_recall_balanced_manual::20270511::none::balanced_recall_specificity::0.620000,0.8926782831348299,0.35197660859446755,none
adhd/caregiver/caregiver_1_3,adhd,caregiver,caregiver_1_3,domain_strict_1_3,adhd_onset_before_12|adhd_impairment_school|adhd_impairment_home|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_impairment_social|adhd_inatt_07_loses_things|adhd_inatt_02_sustained_attention_difficulty,9,rf_recall_balanced_manual,20270529,none,balanced_recall_specificity,0.37999999999999995,0.61,0.85,0.95,0.6730310262529833,1.0,0.8816925734024179,0.940846286701209,0.8045649072753209,0.9114414996767938,0.7703287983170973,0.8291295131223035,0.9696101128137287,0.06238466876509898,0.6739130434782609,0.9893617021276596,0.883419689119171,0.9363906956234154,0.8017241379310345,0.904669260700389,0.7652625505630571,0.7300436290798914,0.955958549222798,0.06808400269703077,0.6301369863013698,0.9787234042553191,0.8601036269430051,0.9194135155991621,0.7666666666666667,0.8812260536398467,0.7235696380535575,0.9940119760479041,0.13989637305699482,0.02127659574468085,0.6348300001844969,0.9366938595524198,0.08637692521568062,332,54,2,92,0.19583333333333333,0.30416666666666664,no,no,,yes,yes,adhd/caregiver/caregiver_1_3::domain_strict_1_3::rf_recall_balanced_manual::20270529::none::balanced_recall_specificity::0.380000,0.8935658320729745,0.841813090804618,none
