domain,role,feature,ranking_position,ranking_score,impurity_mean,impurity_std,permutation_mean,permutation_std,feature_label_human,questionnaire_section_suggested
adhd,psychologist,adhd_inatt_02_sustained_attention_difficulty,8,0.029096732485696573,0.03928559178959893,0.008176711462852598,0.005711884026016967,0.0029834086649763725,Adhd inatt 02 sustained attention difficulty,por_confirmar
adhd,psychologist,adhd_impairment_social,9,0.02826572739861128,0.04710954566435213,0.004056032266352147,-0.0032727924153896915,0.0006132179473046229,Adhd impairment social,por_confirmar
adhd,psychologist,adhd_hypimp_07_blurts_out,10,0.026827512480944646,0.03822514563355808,0.010428670634840383,0.004023812148605421,0.0007165692867379669,Adhd hypimp 07 blurts out,por_confirmar
adhd,psychologist,adhd_inatt_08_easily_distracted,11,0.02097339816301096,0.03217853382418945,0.008288950034099954,0.0017225223238892529,0.0009370521441958157,Adhd inatt 08 easily distracted,por_confirmar
adhd,psychologist,adhd_inatt_01_attention_to_detail_errors,12,0.02071462752293419,0.03452437920489031,0.01432520063402543,-0.002301289824716113,0.0009370521441958157,Adhd inatt 01 attention to detail errors,por_confirmar
adhd,psychologist,adhd_inatt_07_loses_things,13,0.01895560764965371,0.0262050476412815,0.004308694174093204,0.003341693308345217,0.0026251240216073057,Adhd inatt 07 loses things,por_confirmar
adhd,psychologist,adhd_inatt_04_fails_to_finish_tasks,14,0.01752451750431946,0.024919640792265975,0.002528452317298585,0.0026595744680850686,0.0006476683937823857,Adhd inatt 04 fails to finish tasks,por_confirmar
adhd,psychologist,adhd_hypimp_02_leaves_seat,15,0.015718857684792246,0.01756677678250419,0.012113075459209657,0.0053535993826479555,0.003272792415389747,Adhd hypimp 02 leaves seat,por_confirmar
adhd,psychologist,adhd_hypimp_01_fidgets,16,0.014128261099862337,0.023547101833103892,0.002852503157619934,-0.00726215411751735,0.0006476683937823302,Adhd hypimp 01 fidgets,por_confirmar
adhd,psychologist,adhd_inatt_05_organization_difficulty,17,0.010395917411795106,0.017326529019658508,0.0005918750592357214,-0.00032383419689119286,0.0023357402711938757,Adhd inatt 05 organization difficulty,por_confirmar
adhd,psychologist,adhd_hypimp_04_cannot_play_quietly,18,0.008148013590285382,0.010447420257700644,0.0013372275356970064,0.0019430051813471294,0.001943005181347185,Adhd hypimp 04 cannot play quietly,por_confirmar
adhd,psychologist,adhd_hypimp_05_driven_by_motor,19,0.007988127943714311,0.013258003977240643,0.0005699054199637727,3.445044647776285e-05,0.0013297872340425343,Adhd hypimp 05 driven by motor,por_confirmar
adhd,psychologist,adhd_hypimp_09_interrupts_intrudes,20,0.00786843182910573,0.013114053048509551,0.0036598011521643886,-0.0016536214309337272,0.0016536214309337272,Adhd hypimp 09 interrupts intrudes,por_confirmar
adhd,psychologist,adhd_context_other,21,0.0062524820922317155,0.010420803487052857,0.0016751145412968807,-0.0016191709844559643,0.0009715025906735786,Adhd context other,por_confirmar
adhd,psychologist,adhd_hypimp_06_talks_excessively,22,0.006155110187685173,0.00858113059185469,0.0014254275440651097,0.0010404034836291043,0.00032383419689119286,Adhd hypimp 06 talks excessively,por_confirmar
adhd,psychologist,adhd_hypimp_08_difficulty_waiting_turn,23,0.004274292627102122,0.0060796202475785245,0.002604380332556299,0.0006476683937823857,0.0006476683937823857,Adhd hypimp 08 difficulty waiting turn,por_confirmar
adhd,psychologist,adhd_context_home,24,0.003977348559495374,0.003385226681817507,0.0011362583047655815,0.002011906074302683,0.0006476683937823857,Adhd context home,por_confirmar
adhd,psychologist,adhd_hypimp_03_runs_or_climbs_inappropriately,25,0.003701335882118677,0.0061688931368644616,0.0003239627533121073,-0.0006476683937823857,0.0006476683937823857,Adhd hypimp 03 runs or climbs inappropriately,por_confirmar
adhd,psychologist,adhd_context_school,26,0.0017069406237039811,0.0017451576462984165,0.000552303298465765,0.0006821188402601486,0.0013297872340425343,Adhd context school,por_confirmar
