slot_key,domain,role,mode,active_model_id,model_family,feature_set_type,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,bootstrap,class_weight,criterion,ccp_alpha,seed,calibration,threshold_policy,threshold,mean_tree_depth,max_tree_depth,mean_leaves,artifact_hash
conduct/caregiver/caregiver_full,conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.59,6.278947368421052,8,20.121052631578948,8e1475e9fe7e9ac2f8755bb063136fe0fa70ed7916313f54ad0ca314e04744c4
conduct/psychologist/psychologist_1_3,conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,150,7,16,6,log2,0.9,True,balanced_subsample,gini,0.0,20270529,none,recall_target_090,0.37999999999999995,7.0,7,34.38,60ec3d9c4767aa024525ba6ec6fc32f3f1cb7c5523d97c5ae5df79285ceb0f58
conduct/psychologist/psychologist_2_3,conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.72,5.668421052631579,8,15.689473684210526,7d60d5eda0adae576d83ee04ffb9034c7dc0c0f84607bb7a5ad1df7107212513
conduct/psychologist/psychologist_full,conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.5499999999999999,6.278947368421052,8,19.96315789473684,f49ffbfcce534a1e7867e2a589799eae669acaf72c4756b67f33bb9d46f6d471
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,170,6,12,5,sqrt,0.85,True,balanced,gini,0.0,20270529,none,balanced_recall_specificity,0.62,6.0,6,29.91176470588235,f9dc6c8746392675cca476beed4c4626423aa8d66ba4bc1dc2305cf530515ca6
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,120,5,20,10,0.2,0.7,True,balanced_subsample,gini,0.001,20270511,none,balanced_recall_specificity,0.5599999999999999,4.966666666666667,5,15.0,777dd6d811fc2f8791913df219071b9c9528fae662896e364d64f3e9938c2bbd
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,160,7,14,6,sqrt,0.9,True,manual_recall,gini,0.0,20270529,none,balanced_recall_specificity,0.4665848789491877,6.96875,7,30.3125,2fe7220120be04a81a06483a95e31fb97f3af74d911d943be3b1bcf03eb9e1a9
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,150,7,16,6,log2,0.9,True,balanced_subsample,gini,0.0,20270511,none,balanced_recall_specificity,0.5199999999999999,6.966666666666667,7,28.226666666666667,11b27b650f17c2b2b5bfff7a1bb0326ca7334bbae24bae61f0296761b96134c9
depression/psychologist/psychologist_2_3,depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,170,6,12,5,sqrt,0.85,True,balanced,gini,0.0,20270511,none,balanced_recall_specificity,0.5099999999999999,6.0,6,29.129411764705882,63b520615287fd97c87828d0e785b88435af586f97388fc1f4ff0cd1dd6551e5
depression/psychologist/psychologist_full,depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,none,balanced_recall_specificity,0.43999999999999995,7.978947368421053,8,41.17368421052632,ea1ff8820afefe34c0e0fd2118afed4b4facb5f7f33747ad685847ffa31e6f99
elimination/caregiver/caregiver_1_3,elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.05,5.636842105263158,8,9.26842105263158,b758fc99ddce8e8f570aaafd8cd0d95af4d12d7752d4ce235a3b7b083e9a3da7
elimination/caregiver/caregiver_2_3,elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,sigmoid,balanced_recall_specificity,0.13,6.552631578947368,8,11.910526315789474,38beca84ccd2056d48799ced00766730258a322f8f6a810bd1322b85a800531a
elimination/caregiver/caregiver_full,elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270511,sigmoid,balanced_recall_specificity,0.10999999999999999,5.852631578947369,8,10.789473684210526,5ab3568448b43456afa0e73fcf9313629a5201e27f71e4d3f981b098b6572017
elimination/psychologist/psychologist_1_3,elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_1_3,120,5,20,10,0.2,0.7,True,balanced_subsample,gini,0.001,20270529,none,balanced_recall_specificity,0.48999999999999994,2.3666666666666667,4,3.375,933e2255af6d164a0f7c9b5dee9df6c760d20f5d50f0bb877f57eb7f53156936
elimination/psychologist/psychologist_2_3,elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_2_3,190,8,10,4,sqrt,0.95,True,balanced,gini,0.0,20270529,sigmoid,balanced_recall_specificity,0.09999999999999999,5.484210526315789,8,10.0,cae4573336d7ffd9efda2c1e75f0ea17d11c861ff0894e59b8e468b8d5d35f6d
elimination/psychologist/psychologist_full,elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,rf,domain_strict_full,170,6,12,5,sqrt,0.85,True,balanced,gini,0.0,20270529,none,balanced_recall_specificity,0.4799999999999999,4.964705882352941,6,9.270588235294118,e0327ae0d324b0394fc13acd013782877002a1a8f98646ac6e519f2d1f74fa73
