mode,domain,ablation,k,removed_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_ba,delta_pr_auc
caregiver_full,conduct,drop_topk,1,conduct_impairment_global,0.9661016949152542,0.7125,0.8500000000000001,0.9405644269718304,0.055302687733678926,-0.14687499999999987,-0.0594355730281696
caregiver_full,conduct,drop_topk,3,conduct_impairment_global|eng_conduct_core_mean|eng_externalizing_index,0.916083916083916,0.81875,0.890625,0.9287517202113287,0.05870807437938638,-0.10624999999999996,-0.07124827978867132
caregiver_full,elimination,baseline,0,,0.9615384615384616,0.9615384615384616,0.9784327821711,0.9582613967229352,0.008133726547462859,,
caregiver_full,elimination,drop_topk,1,enuresis_distress_impairment,0.8421052631578947,0.9230769230769231,0.9510244428468728,0.8962658465956352,0.020213692036938163,-0.02740833932422715,-0.06199555012729996
caregiver_full,elimination,drop_topk,3,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week,0.7377049180327869,0.8653846153846154,0.914000718907261,0.7399837451336498,0.03021282043151666,-0.06443206326383899,-0.21827765158928536
caregiver_full,anxiety,baseline,0,,0.9166666666666666,0.8953488372093024,0.9387911698736867,0.9465380549682876,0.027443504875430833,,
caregiver_full,anxiety,drop_topk,1,sep_anx_impairment,0.8777777777777778,0.9186046511627907,0.9453429347184512,0.919268243554288,0.030487851967209687,0.006551764844764496,-0.027269811413999534
caregiver_full,anxiety,drop_topk,3,sep_anx_impairment|agor_escape_help_cognition|sep_anx_duration_weeks,0.8555555555555555,0.8953488372093024,0.9311769566757171,0.9441967324941828,0.032019028770861636,-0.0076142131979696215,-0.00234132247410479
caregiver_full,depression,baseline,0,,0.8481012658227848,0.8170731707317073,0.8934612084814315,0.8665383358161101,0.04603331333776021,,
caregiver_full,depression,drop_topk,1,eng_depression_core_mean,0.9253731343283582,0.7560975609756098,0.871767373452629,0.8833033231698056,0.038014013336189284,-0.02169383502880251,0.016764987353695582
caregiver_full,depression,drop_topk,3,eng_depression_core_mean|eng_internalizing_index|mdd_duration_weeks,0.9104477611940298,0.7439024390243902,0.8644135310699841,0.8705357856148274,0.040174028278573415,-0.029047677411447426,0.003997449798717301
psychologist_1_3,adhd,baseline,0,,0.6148148148148148,0.8829787234042553,0.8741318487487597,0.6375451264670481,0.08417327519767266,,
psychologist_1_3,adhd,drop_topk,1,eng_adhd_core_mean,0.6,0.8617021276595744,0.8609028773012898,0.6433797836422629,0.08809413184023589,-0.013228971447469928,0.005834657175214808
psychologist_1_3,adhd,drop_topk,3,eng_adhd_core_mean|eng_externalizing_index|eng_conduct_core_mean,0.5985915492957746,0.9042553191489362,0.8782934626832763,0.6462588087943745,0.08585196932070695,0.004161613934516639,0.008713682327326389
psychologist_1_3,conduct,baseline,0,,0.9090909090909091,0.8125,0.8859375,0.9542627941351365,0.058544051629458825,,
psychologist_1_3,conduct,drop_topk,1,conduct_09_property_destruction,0.9219858156028369,0.8125,0.8890625,0.9551290273139043,0.05788704176194449,0.0031249999999999334,0.0008662331787677724
psychologist_1_3,conduct,drop_topk,3,conduct_09_property_destruction|conduct_03_weapon_use|conduct_08_fire_setting,0.8765432098765432,0.8875,0.9125,0.9557995697562363,0.059557624652687255,0.026562499999999933,0.001536775621099773
psychologist_1_3,elimination,baseline,0,,0.85,0.6538461538461539,0.8199137311286844,0.8828019558333814,0.023766655849235693,,
psychologist_1_3,elimination,drop_topk,1,eng_elimination_intensity,0.9354838709677419,0.5576923076923077,0.776509705248023,0.8516239227067848,0.027906609688495555,-0.04340402588066139,-0.031178033126596616
psychologist_1_3,elimination,drop_topk,3,eng_elimination_intensity|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month,0.0,0.0,0.5,0.15728937485627992,0.09647142743120903,-0.3199137311286844,-0.7255125809771015
psychologist_1_3,anxiety,baseline,0,,0.9538461538461539,0.7209302325581395,0.856658009680085,0.9167286511795306,0.03557091592043544,,
psychologist_1_3,anxiety,drop_topk,1,eng_anxiety_core_mean,0.9692307692307692,0.7325581395348837,0.8637409987014519,0.9329821630007397,0.03467510302745371,0.007082989021366948,0.016253511821209043
psychologist_1_3,anxiety,drop_topk,3,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean,0.9672131147540983,0.686046511627907,0.8404851847479636,0.9362406970080949,0.03274177197085794,-0.016172824932121355,0.01951204582856425
psychologist_1_3,depression,baseline,0,,0.7974683544303798,0.7682926829268293,0.8640458389508519,0.7681311253035743,0.05653043467536855,,
psychologist_1_3,depression,drop_topk,1,mdd_01_depressed_or_irritable_mood,0.7972972972972973,0.7195121951219512,0.840911876455448,0.7843369176804984,0.0595254390072796,-0.023133962495403892,0.0162057923769241
psychologist_1_3,depression,drop_topk,3,mdd_01_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_02_loss_of_interest_or_pleasure,0.8421052631578947,0.5853658536585366,0.7813763941659517,0.7909835467456794,0.06025804572873068,-0.08266944478490013,0.022852421442105086
psychologist_2_3,adhd,baseline,0,,0.7289719626168224,0.8297872340425532,0.8773288501818983,0.7337389775224177,0.06800433617654567,,
psychologist_2_3,adhd,drop_topk,1,eng_adhd_core_mean,0.7263157894736842,0.7340425531914894,0.8333425201190607,0.7168894503158687,0.07001400972526357,-0.043986330062837586,-0.016849527206548975
