mode,role,domain,winner_feature_set_id,winner_config_id,winner_seed,calibration,threshold_policy,threshold,policy_score,is_selected_policy,val_precision,val_recall,val_balanced_accuracy,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,default_0_5,0.5,0.724502845837817,yes,0.704,0.9361702127659575,0.9201576452430824,0.7414788402124496,0.06272751919199332,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,balanced,0.185,0.8673414135363526,no,0.6818181818181818,0.9574468085106383,0.9243192591775989,0.7414788402124496,0.06272751919199332,0.6028368794326241,0.9042553191489362,0.8795887994708411,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,precision_oriented,0.29,0.7656592026400679,no,0.704,0.9361702127659575,0.9201576452430824,0.7414788402124496,0.06272751919199332,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,recall_guard,0.29,0.8282069545546654,no,0.704,0.9361702127659575,0.9201576452430824,0.7414788402124496,0.06272751919199332,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,precision_min_recall,0.29,0.7609067242814148,no,0.704,0.9361702127659575,0.9201576452430824,0.7414788402124496,0.06272751919199332,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,adhd,engineered_full,rf_regularized,20261119,isotonic,recall_constrained,0.29,0.8017366085279146,no,0.704,0.9361702127659575,0.9201576452430824,0.7414788402124496,0.06272751919199332,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,default_0_5,0.5,0.8296903183401173,no,0.88125,0.8867924528301887,0.9138012108387703,0.9639841272003353,0.05397950550333445,0.8765432098765432,0.8875,0.9125,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,balanced,0.22999999999999998,0.9088528341794687,no,0.8072916666666666,0.9748427672955975,0.9297889848939047,0.9639841272003353,0.05397950550333445,0.7772277227722773,0.98125,0.9203125,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,precision_oriented,0.73,0.938357740672813,no,0.9908256880733946,0.6792452830188679,0.83806500911068,0.9639841272003353,0.05397950550333445,0.9652173913043478,0.69375,0.840625,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,recall_guard,0.565,0.9049253304978495,no,0.9194630872483222,0.8616352201257862,0.9121260212778464,0.9639841272003353,0.05397950550333445,0.8910256410256411,0.86875,0.9078125,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,precision_min_recall,0.73,0.9387733909476923,no,0.9908256880733946,0.6792452830188679,0.83806500911068,0.9639841272003353,0.05397950550333445,0.9652173913043478,0.69375,0.840625,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,conduct,precision_oriented_subset,rf_baseline,20261101,none,recall_constrained,0.59,0.911867807672513,yes,0.9251700680272109,0.8553459119496856,0.91053899958855,0.9639841272003353,0.05397950550333445,0.9019607843137255,0.8625,0.9078125,0.9500801871541836,0.056385438547920136
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,default_0_5,0.5,0.8321403719360052,no,0.8823529411764706,0.8653846153846154,0.9256829618979152,0.9559178463526102,0.01960486590017572,0.8181818181818182,0.8653846153846154,0.9210100647016535,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,balanced,0.31999999999999995,0.9341182222896973,no,0.8095238095238095,0.9807692307692307,0.9763659237958303,0.9559178463526102,0.01960486590017572,0.796875,0.9807692307692307,0.9751976994967648,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,precision_oriented,0.7999999999999999,0.9454793723315439,no,1.0,0.6923076923076923,0.8461538461538461,0.9559178463526102,0.01960486590017572,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,recall_guard,0.31999999999999995,0.912563000129557,no,0.8095238095238095,0.9807692307692307,0.9763659237958303,0.9559178463526102,0.01960486590017572,0.796875,0.9807692307692307,0.9751976994967648,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,precision_min_recall,0.7999999999999999,0.9463610154044917,yes,1.0,0.6923076923076923,0.8461538461538461,0.9559178463526102,0.01960486590017572,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,elimination,engineered_compact,rf_pos_weight_mid,20261119,none,recall_constrained,0.7999999999999999,0.9002071692506455,no,1.0,0.6923076923076923,0.8461538461538461,0.9559178463526102,0.01960486590017572,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157
caregiver_1_3,caregiver,anxiety,engineered_full,rf_pos_weight_mid,20261101,isotonic,default_0_5,0.5,0.8269480428436401,no,0.9012345679012346,0.8488372093023255,0.9142663203872035,0.916286013675614,0.03481130752032002,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821
caregiver_1_3,caregiver,anxiety,engineered_full,rf_pos_weight_mid,20261101,isotonic,balanced,0.31999999999999995,0.8944942261753333,no,0.9012345679012346,0.8488372093023255,0.9142663203872035,0.916286013675614,0.03481130752032002,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821
