mode,domain,feature_set,family,n_features,calibration,threshold,uncertainty_band,fit_seconds,seed_std_balanced_accuracy,stability,operational_complexity,maintenance_complexity,objective
caregiver,elimination,proxy_pruned,lightgbm,15,isotonic,0.2,0.08,0.1641101837158203,0.0018856180831641283,high,2.175,2.6285714285714286,0.965729327571341
caregiver,elimination,subtype_aware,rf,38,isotonic,0.2,0.08,0.7254650592803955,0.001463989195003233,high,1.95,2.4857142857142853,0.9656761114865174
caregiver,elimination,proxy_pruned,xgboost,15,isotonic,0.20500000000000002,0.08,0.13707304000854492,0.006390209366699194,high,2.375,2.8285714285714283,0.963731399234795
caregiver,elimination,compact_clinical_engineered,xgboost,22,isotonic,0.255,0.08,0.1693589687347412,0.0037712361663282566,high,2.55,3.0285714285714285,0.9628271136686766
caregiver,elimination,proxy_pruned,rf,15,isotonic,0.22000000000000003,0.08,0.8256652355194092,1.1102230246251565e-16,high,1.375,1.8285714285714287,0.9625722995987387
caregiver,elimination,hybrid_engineered_best_effort,rf,52,isotonic,0.2,0.08,0.8147335052490234,0.0017141456819613624,high,2.3,2.8857142857142857,0.9618444305042846
caregiver,elimination,compact_clinical_engineered,lightgbm,22,isotonic,0.29500000000000004,0.08,0.16507577896118164,0.0018856180831641283,high,2.35,2.8285714285714287,0.9618094373574018
caregiver,elimination,source_semantics_aware,lightgbm,36,isotonic,0.2,0.08,0.17461609840393066,0.0,high,2.7,3.228571428571428,0.9604915874839842
caregiver,elimination,burden_composites,lightgbm,37,isotonic,0.2,0.08,0.1846017837524414,0.001885618083164076,high,2.725,3.257142857142857,0.9592044089260945
caregiver,elimination,burden_composites,xgboost,37,isotonic,0.2,0.08,0.17812132835388184,0.009662974595210433,high,2.925,3.457142857142857,0.9577863625836086
caregiver,elimination,impact_focused,lightgbm,38,isotonic,0.2,0.08,0.20066022872924805,0.0037712361663282045,high,2.75,3.2857142857142856,0.9575336865165434
caregiver,elimination,missingness_aware,lightgbm,38,isotonic,0.2,0.08,0.19878220558166504,0.0032659863237109073,high,2.75,3.2857142857142856,0.957486444099149
caregiver,elimination,subtype_aware,lightgbm,38,isotonic,0.2,0.08,0.18309617042541504,0.0032659863237108613,high,2.75,3.2857142857142856,0.9569141568372429
caregiver,elimination,context_comorbidity_aware,lightgbm,38,isotonic,0.255,0.08,0.20511198043823242,0.0018856180831641283,high,2.75,3.2857142857142856,0.9568903244532244
caregiver,elimination,compact_clinical_engineered,rf,22,isotonic,0.2,0.08,0.7510111331939697,0.005085439102390402,high,1.55,2.0285714285714285,0.9562495912621332
caregiver,elimination,impact_focused,rf,38,isotonic,0.2,0.08,0.7663240432739258,0.00966297459521043,high,1.95,2.4857142857142853,0.9561977200646332
