mode,domain,feature_set,family,n_features,feature_preview,calibration,threshold,uncertainty_band,fit_seconds,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,tp,fp,fn,tn,seed_std_balanced_accuracy,stability,output_realism_score,uncertain_rate,uncertainty_usefulness,overconfident_error_rate,operational_complexity,maintenance_complexity,objective
caregiver,elimination,subtype_aware,lightgbm,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.18309617042541504,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9606956521739131,0.9784730402655815,0.05101677983033915,0.9806451612903225,0.9440993788819876,0.976,0.9600496894409938,0.9620253164556962,0.9736149068322982,0.9861377803016154,0.03482534878874318,152,3,9,122,0.0032659863237108613,high,0.9821678321678322,0.24125874125874125,0.040205703599813,0.01048951048951049,2.75,3.2857142857142856,0.9569141568372429
caregiver,elimination,context_comorbidity_aware,lightgbm,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.255,0.08,0.20511198043823242,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9596521739130435,0.9780387831030914,0.050906723925651744,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9752049689440995,0.9867966128788335,0.03585784745963443,151,2,10,123,0.0018856180831641283,high,0.9940559440559441,0.055944055944055944,0.15416666666666667,0.0034965034965034965,2.75,3.2857142857142856,0.9568903244532244
caregiver,elimination,compact_clinical_engineered,rf,22,age_years|sex_assigned_at_birth|site|release|cbcl_108|cbcl_112|sdq_impact|sdq_conduct_problems|cbcl_internalizing_proxy|cbcl_externalizing_proxy|scared_p_total|ari_p_symptom_total|conners_total|swan_total|v11_core_sum|v11_core_mean|v11_core_balance_diff|v11_parent_nonmissing_ratio|v11_parent_source_count|v11_parent_impact_combo,isotonic,0.2,0.08,0.7510111331939697,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.959527950310559,0.9780032713291679,0.051243967811729844,0.9617834394904459,0.937888198757764,0.952,0.944944099378882,0.949685534591195,0.9779875776397516,0.9879321962016625,0.03453744760235628,151,6,10,119,0.005085439102390402,high,0.9940559440559441,0.1853146853146853,0.13976840229978135,0.0034965034965034965,1.55,2.0285714285714285,0.9562495912621332
caregiver,elimination,impact_focused,rf,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.7663240432739258,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9605962732919254,0.9797664779897955,0.050759766549240234,0.9741935483870968,0.937888198757764,0.968,0.952944099378882,0.9556962025316456,0.9626335403726707,0.9788946191808834,0.04534600538061876,151,4,10,121,0.00966297459521043,high,0.9643356643356643,0.3111888111888112,0.059430787657560026,0.02097902097902098,1.95,2.4857142857142853,0.9561977200646332
caregiver,elimination,impact_focused,xgboost,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.16203594207763672,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9601987577639752,0.9779837312057477,0.0507869927224766,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9739627329192546,0.9861637529847248,0.03441891436610664,151,1,10,124,0.003293089368055243,high,1.0,0.34265734265734266,0.06567520625271385,0.0,2.95,3.4857142857142853,0.9552394577823642
caregiver,elimination,burden_composites,rf,37,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.8457427024841309,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9626583850931676,0.9797863827461621,0.05046620046620047,0.9803921568627451,0.9316770186335404,0.976,0.9538385093167702,0.9554140127388535,0.9605714285714285,0.9763278747618819,0.04877700754529363,150,3,11,122,0.007884675585183163,high,0.9702797202797203,0.3181818181818182,0.07326007326007325,0.017482517482517484,1.925,2.457142857142857,0.9551123087337193
caregiver,elimination,source_semantics_aware,xgboost,36,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.17855072021484375,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9606708074534163,0.9784098412125812,0.05103722035540218,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9753540372670806,0.98657412401656,0.033584016429463806,151,2,10,123,0.0037712361663282566,high,1.0,0.3041958041958042,0.08837289897764686,0.0,2.9,3.4285714285714284,0.9543793121354806
caregiver,elimination,subtype_aware,xgboost,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.1686253547668457,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9570186335403725,0.9776466955511558,0.05134457050818985,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9754534161490683,0.9871188549919874,0.034091148273804404,151,2,10,123,0.004988876515698593,high,0.9940559440559441,0.3146853146853147,0.06848072562358277,0.0034965034965034965,2.95,3.4857142857142853,0.9531185531099121
caregiver,elimination,missingness_aware,xgboost,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.2,0.08,0.17159795761108398,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9571925465838509,0.9770863744442775,0.05150520211495821,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9741118012422361,0.986069019663214,0.03476263065556766,151,2,10,123,0.0037712361663282566,high,0.9881118881118881,0.36013986013986016,0.07098519815374821,0.006993006993006993,2.95,3.4857142857142853,0.9525862284219292
caregiver,elimination,context_comorbidity_aware,xgboost,38,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|has_scared_p|has_ari_p|has_icut|cbcl_108|cbcl_112|cbcl_internalizing_proxy|cbcl_externalizing_proxy|cbcl_attention_problems_proxy|cbcl_aggressive_behavior_proxy|cbcl_rule_breaking_proxy|cbcl_anxious_depressed_proxy|sdq_conduct_problems,isotonic,0.3350000000000001,0.08,0.20310163497924805,1.0,0.8944099378881988,1.0,0.9472049689440993,0.9442622950819672,0.9594782608695652,0.9774781876048328,0.05098043976720447,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9768447204968944,0.9872241839893334,0.03783402074075938,151,2,10,123,0.0017141456819613624,high,0.9643356643356643,0.02097902097902098,0.12738095238095237,0.02097902097902098,2.95,3.4857142857142853,0.9512751045167779
