domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_gap_train_val_ba,abstain_band,abstain_coverage,abstain_precision,abstain_recall,abstain_balanced_accuracy,abstain_pr_auc,precision_v2,recall_v2,balanced_accuracy_v2,pr_auc_v2,brier_v2,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier
adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.5620915032679739,0.9885057471264368,0.8295165394402035,0.9090111432833201,0.7166666666666667,0.9298645842473166,0.6343200065183794,0.07921072916666666,0.06364193473481561,0.1,0.8625,0.5517241379310345,0.9795918367346939,0.9363712608331003,0.6358533046540733,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.0868278728044155,-0.05912061794414736,0.11616532159452186,0.037607769895600995,0.002402066184818863,-0.007617143637748847
adhd,caregiver_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.08,116,0.6277372262773723,0.9885057471264368,0.8702290076335878,0.9293673773800123,0.7678571428571429,0.9612178643502676,0.7967513283172644,0.06939522364482525,0.02296486369067019,0.1,0.9770833333333333,0.6190476190476191,0.9873417721518988,0.9321324245374878,0.8072122214561854,0.7017543859649122,0.851063829787234,0.881490464116415,0.7044217957677258,0.072567246649348,-0.07401715968753997,0.13744191733920275,0.04787691326359733,0.09232953254953857,-0.0031720230045227393
adhd,psychologist_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.26999999999999996,78,0.5734265734265734,0.9425287356321839,0.8447837150127226,0.8936562253224533,0.7130434782608696,0.9321020151501858,0.6570419915735503,0.07893044270833333,0.0782004322048816,0.1,0.8520833333333333,0.5694444444444444,0.8913043478260869,0.9029524493951371,0.6795572387261948,0.6148148148148148,0.8829787234042553,0.8741318487487597,0.6375451264670481,0.0841732751976726,-0.041388241388241376,0.05955001222792855,0.019524376573693547,0.01949686510650217,-0.00524283248933928
adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.12,120,0.6538461538461539,0.9770114942528736,0.8854961832061069,0.9312538387294902,0.783410138248848,0.9596092538972244,0.7665965794170599,0.06955003993297652,0.02066634082763119,0.1,0.975,0.6694915254237288,0.9753086419753086,0.9372667240884296,0.7740548899264785,0.7289719626168224,0.8297872340425532,0.8773288501818983,0.7337389775224177,0.0680043361765456,-0.07512580877066855,0.14722426021032042,0.05392498854759187,0.03285760189464226,0.0015457037564309273
depression,caregiver_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.25999999999999995,67,0.7422680412371134,0.9230769230769231,0.9378109452736318,0.9304439341752775,0.8228571428571428,0.9816940936343921,0.9106453012689153,0.03734745084308874,0.032946182083561704,0.1,0.9645833333333333,0.775,0.9117647058823529,0.9330975428145942,0.9163506921011273,0.8059701492537313,0.6585365853658537,0.8129366343914696,0.764765007527117,0.0600670985657974,-0.06370210801661791,0.26454033771106944,0.11750729978380792,0.14588029374179834,-0.02271964772270866
depression,caregiver_2_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.22999999999999998,98,0.776595744680851,0.9358974358974359,0.9477611940298507,0.9418293149636433,0.8488372093023255,0.9876259727005996,0.9320304443185081,0.033604282087670315,0.035603715170278605,0.1,0.9958333333333333,0.7717391304347826,0.9342105263157895,0.94098586017282,0.9341304886535735,0.8313253012048193,0.8414634146341463,0.9031437676185808,0.8434143874736915,0.0454553863622029,-0.05472955652396827,0.09443402126328959,0.038685547345062465,0.08861605684481666,-0.011851104274532585
depression,caregiver_full,full_eligible,catboost,"{""depth"": 6, ""iterations"": 200, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""random_seed"": 0, ""verbose"": false}",none,default_0_5,0.5,127,0.8409090909090909,0.9487179487179487,0.9651741293532339,0.9569460390355913,0.891566265060241,0.9909108304630694,0.9434742112852106,0.029366639325419396,0.03372262136967774,0.1,0.9875,0.8588235294117647,0.9605263157894737,0.9651877810103147,0.9468660057721707,0.8481012658227848,0.8170731707317073,0.8934612084814315,0.8665383358161101,0.0460333133377602,-0.0071921749136938384,0.1316447779862414,0.06348483055415977,0.07693587546910052,-0.016666674012340805
depression,psychologist_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.21999999999999997,78,0.7087378640776699,0.9358974358974359,0.9253731343283582,0.9306352851128971,0.8066298342541437,0.9799400433728793,0.8983572574257632,0.036154141877079236,0.0230743082965289,0.1,0.9645833333333333,0.7441860465116279,0.927536231884058,0.9358493342161407,0.8995158871404814,0.7974683544303798,0.7682926829268293,0.8640458389508519,0.7681311253035743,0.0565304346753685,-0.08873049035270986,0.16760475297060662,0.06658944616204521,0.13022613212218892,-0.020376292798289265
depression,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.10999999999999999,120,0.7352941176470589,0.9615384615384616,0.9328358208955224,0.947187141216992,0.8333333333333334,0.9886465110345707,0.9419052599045844,0.03239409645489967,0.037151702786377694,0.1,0.99375,0.7575757575757576,0.9615384615384616,0.950694042799306,0.9435959006182303,0.8271604938271605,0.8170731707317073,0.8909486456673612,0.8330408560571644,0.0479028069363223,-0.09186637618010163,0.1444652908067543,0.056238495549630785,0.10886440384742002,-0.015508710481422626
depression,psychologist_full,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.41999999999999993,152,0.8690476190476191,0.9358974358974359,0.972636815920398,0.9542671259089169,0.9012345679012346,0.9923140706722796,0.9533076719585643,0.025333072123863917,0.029473603229121403,0.1,0.9833333333333333,0.9078947368421053,0.9324324324324325,0.9574222463669699,0.9586896194291146,0.8375,0.8170731707317073,0.8922049270743964,0.9406015747168404,0.0391595556582478,0.03154761904761905,0.11882426516572864,0.06206219883452058,0.01270609724172389,-0.013826483534383885
