mode,baseline_precision,baseline_recall,baseline_ba,baseline_pr_auc,baseline_brier,baseline_output_status,holdout_hash_ordered,holdout_hash_set,open_limitations,confidence_user_clip,confidence_prof_clip
caregiver,0.868421052631579,0.8198757763975155,0.8299378881987578,0.9152986120374738,0.1359588339708592,uncertainty_preferred,9529927227be7db57bfc27568de0e2cc43b9195a635c2f47559f15068fa0fe4a,be5c57d800b8da9a394599b21e324eeb07813cac1e2898e7f1e8e1edb5ab7b38,FN pressure + coverage fragility under CBCL drop,"[0.01,0.99]","[0.005,0.995]"
psychologist,0.8475609756097561,0.8633540372670807,0.8316770186335404,0.9121638790674772,0.1346307984541885,uncertainty_preferred,9529927227be7db57bfc27568de0e2cc43b9195a635c2f47559f15068fa0fe4a,be5c57d800b8da9a394599b21e324eeb07813cac1e2898e7f1e8e1edb5ab7b38,FN pressure + coverage fragility under CBCL drop,"[0.01,0.99]","[0.005,0.995]"
