mode,domain,slice_type,slice_value,n_slice,base_threshold,trial_threshold,delta_threshold,global_balanced_accuracy_base,global_balanced_accuracy_trial,slice_balanced_accuracy_base,slice_balanced_accuracy_trial,slice_recall_base,slice_recall_trial,global_precision_trial,global_recall_trial,objective,accepted
caregiver,conduct,site,CUNY,54,0.135,0.015000000000000013,-0.12,0.9493325242718447,0.8952669902912621,0.9027777777777777,0.8055555555555556,0.8888888888888888,0.8888888888888888,0.6724137931034483,0.975,0.9815028317152104,no
caregiver,conduct,site,CUNY,54,0.135,0.05500000000000001,-0.08,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.085,-0.05,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.10500000000000001,-0.03,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.115,-0.02,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.135,0.0,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.155,0.02,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.185,0.05,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,conduct,site,CUNY,54,0.135,0.21500000000000002,0.08,0.9493325242718447,0.9493325242718447,0.9027777777777777,0.9027777777777777,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9375,1.2138888888888888,yes
caregiver,depression,site,Staten Island,78,0.12,0.01,-0.12,0.9126620900076277,0.7543859649122807,0.8433962264150944,0.7452830188679245,0.8,1.0,0.5778894472361809,1.0,0.699592706129557,no
caregiver,depression,site,Staten Island,78,0.12,0.039999999999999994,-0.08,0.9126620900076277,0.9035850495804729,0.8433962264150944,0.8467924528301887,0.8,0.92,0.7902097902097902,0.9826086956521739,1.146099851762302,yes
caregiver,depression,site,Staten Island,78,0.12,0.06999999999999999,-0.05,0.9126620900076277,0.9035850495804729,0.8433962264150944,0.8467924528301887,0.8,0.92,0.7902097902097902,0.9826086956521739,1.146099851762302,yes
caregiver,depression,site,Staten Island,78,0.12,0.09,-0.03,0.9126620900076277,0.9021612001017035,0.8433962264150944,0.8467924528301887,0.8,0.92,0.7943262411347518,0.9739130434782609,1.1425402280653785,yes
caregiver,depression,site,Staten Island,78,0.12,0.09999999999999999,-0.02,0.9126620900076277,0.9126620900076277,0.8433962264150944,0.8433962264150944,0.8,0.8,0.875,0.9130434782608695,1.1233962264150943,yes
caregiver,depression,site,Staten Island,78,0.12,0.12,0.0,0.9126620900076277,0.9126620900076277,0.8433962264150944,0.8433962264150944,0.8,0.8,0.875,0.9130434782608695,1.1233962264150943,yes
caregiver,depression,site,Staten Island,78,0.12,0.13999999999999999,0.02,0.9126620900076277,0.9126620900076277,0.8433962264150944,0.8433962264150944,0.8,0.8,0.875,0.9130434782608695,1.1233962264150943,yes
caregiver,depression,site,Staten Island,78,0.12,0.16999999999999998,0.05,0.9126620900076277,0.9083142639206712,0.8433962264150944,0.8433962264150944,0.8,0.8,0.8739495798319328,0.9043478260869565,1.1125266611977032,yes
caregiver,depression,site,Staten Island,78,0.12,0.2,0.08,0.9126620900076277,0.9083142639206712,0.8433962264150944,0.8433962264150944,0.8,0.8,0.8739495798319328,0.9043478260869565,1.1125266611977032,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.385,-0.12,0.8109316770186336,0.7739378881987578,0.6963768115942028,0.6927536231884057,0.5666666666666667,0.7333333333333333,0.7951807228915663,0.8198757763975155,0.8569358178053827,no
caregiver,elimination,source_mix,mid_gap,53,0.505,0.425,-0.08,0.8109316770186336,0.7819378881987578,0.6963768115942028,0.6927536231884057,0.5666666666666667,0.7333333333333333,0.8048780487804879,0.8198757763975155,0.8769358178053828,no
caregiver,elimination,source_mix,mid_gap,53,0.505,0.455,-0.05,0.8109316770186336,0.8060372670807454,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9047619047619048,0.7080745341614907,0.8824741200828157,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.475,-0.03,0.8109316770186336,0.8060372670807454,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9047619047619048,0.7080745341614907,0.8824741200828157,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.485,-0.02,0.8109316770186336,0.8100372670807454,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.912,0.7080745341614907,0.8924741200828157,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.505,0.0,0.8109316770186336,0.8109316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9186991869918699,0.7018633540372671,0.8947101449275361,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.525,0.02,0.8109316770186336,0.8149316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9262295081967213,0.7018633540372671,0.8947101449275361,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.555,0.05,0.8109316770186336,0.8189316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9338842975206612,0.7018633540372671,0.8947101449275361,yes
caregiver,elimination,source_mix,mid_gap,53,0.505,0.585,0.08,0.8109316770186336,0.8158260869565217,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9333333333333333,0.6956521739130435,0.8947101449275361,yes
psychologist,conduct,site,CUNY,54,0.335,0.21500000000000002,-0.12,0.9513956310679612,0.9489684466019417,0.9305555555555556,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9605263157894737,0.9125,1.2217098166127287,yes
psychologist,conduct,site,CUNY,54,0.335,0.255,-0.08,0.9513956310679612,0.9489684466019417,0.9305555555555556,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9605263157894737,0.9125,1.2217098166127287,yes
psychologist,conduct,site,CUNY,54,0.335,0.28500000000000003,-0.05,0.9513956310679612,0.9489684466019417,0.9305555555555556,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9605263157894737,0.9125,1.2217098166127287,yes
psychologist,conduct,site,CUNY,54,0.335,0.30500000000000005,-0.03,0.9513956310679612,0.9489684466019417,0.9305555555555556,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9605263157894737,0.9125,1.2217098166127287,yes
psychologist,conduct,site,CUNY,54,0.335,0.315,-0.02,0.9513956310679612,0.9513956310679612,0.9305555555555556,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.9733333333333334,0.9125,1.2416666666666667,yes
psychologist,conduct,site,CUNY,54,0.335,0.335,0.0,0.9513956310679612,0.9513956310679612,0.9305555555555556,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.9733333333333334,0.9125,1.2416666666666667,yes
psychologist,conduct,site,CUNY,54,0.335,0.35500000000000004,0.02,0.9513956310679612,0.9513956310679612,0.9305555555555556,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.9733333333333334,0.9125,1.2416666666666667,yes
psychologist,conduct,site,CUNY,54,0.335,0.385,0.05,0.9513956310679612,0.9513956310679612,0.9305555555555556,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.9733333333333334,0.9125,1.2416666666666667,yes
psychologist,conduct,site,CUNY,54,0.335,0.41500000000000004,0.08,0.9513956310679612,0.9451456310679611,0.9305555555555556,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.972972972972973,0.9,1.2260416666666665,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.385,-0.12,0.8118260869565217,0.798832298136646,0.6963768115942028,0.7579710144927536,0.5666666666666667,0.7333333333333333,0.8291139240506329,0.8136645962732919,0.982153209109731,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.425,-0.08,0.8118260869565217,0.8149316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9262295081967213,0.7018633540372671,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.455,-0.05,0.8118260869565217,0.8149316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9262295081967213,0.7018633540372671,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.475,-0.03,0.8118260869565217,0.8149316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9262295081967213,0.7018633540372671,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.485,-0.02,0.8118260869565217,0.8149316770186336,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9262295081967213,0.7018633540372671,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.505,0.0,0.8118260869565217,0.8118260869565217,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9256198347107438,0.6956521739130435,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.525,0.02,0.8118260869565217,0.8118260869565217,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9256198347107438,0.6956521739130435,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.555,0.05,0.8118260869565217,0.8118260869565217,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9256198347107438,0.6956521739130435,0.8947101449275361,yes
psychologist,elimination,source_mix,mid_gap,53,0.505,0.585,0.08,0.8118260869565217,0.8118260869565217,0.6963768115942028,0.6963768115942028,0.5666666666666667,0.5666666666666667,0.9256198347107438,0.6956521739130435,0.8947101449275361,yes
