mode,domain,slice_type,slice_value,n_slice,global_ba_base,slice_ba_base,slice_ba_gap,best_threshold,slice_ba_best,slice_recall_best,global_ba_at_best,improvement_slice_ba,coverage_mean_gap_vs_rest,source_mix_gap_vs_rest,prevalence_gap_vs_rest,corrected_status
caregiver,conduct,site,CUNY,54,0.9493325242718447,0.9027777777777777,-0.04655474649406699,0.05500000000000001,0.9027777777777777,0.8888888888888888,0.9493325242718447,0.0,0.0021593735296091543,0.019583964683613897,0.06609195402298851,no
caregiver,depression,site,Staten Island,78,0.9126620900076277,0.8433962264150944,-0.06926586359253328,0.039999999999999994,0.8467924528301887,0.92,0.9035850495804729,0.0033962264150942945,-0.020781637717121604,-0.02977200380677336,-0.11217948717948717,partial
caregiver,elimination,source_mix,mid_gap,53,0.8109316770186336,0.6963768115942028,-0.11455486542443072,0.505,0.6963768115942028,0.5666666666666667,0.8109316770186336,0.0,-0.022571328312684047,-0.09199829676277832,0.0038059761924041924,no
psychologist,conduct,site,CUNY,54,0.9513956310679612,0.9305555555555556,-0.02084007551240563,0.315,0.9305555555555556,0.8888888888888888,0.9513956310679612,0.0,0.002462484035760437,0.019583964683613897,0.06609195402298851,no
psychologist,elimination,source_mix,mid_gap,53,0.8118260869565217,0.6963768115942028,-0.11544927536231886,0.385,0.7579710144927536,0.7333333333333333,0.798832298136646,0.061594202898550776,-0.027514308328478898,-0.09199829676277832,0.0038059761924041924,partial
