route,domain,config_id,seed,n_features,calibration_strategy,threshold,val_balanced_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,robustness_missing15_ba,robustness_missing30_ba,robustness_missing15_delta,robustness_missing30_delta,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
C,adhd,rf_compact,11,224,none,0.6300000000000001,0.8903602484472051,0.8894658385093168,0.9383561643835616,0.8509316770186336,0.928,0.8925081433224755,0.959055900621118,0.9698518432415293,0.08011032802754427,0.8801490683229813,0.8894658385093168,0.009316770186335477,0.0,1.0,0.0,0.0,0.04367507492507493
C,adhd,rf_compact,29,224,none,0.5750000000000001,0.8885714285714286,0.8836770186335403,0.9205298013245033,0.8633540372670807,0.904,0.8910256410256411,0.9595031055900621,0.9703776221155698,0.0799719248791858,0.8805714285714286,0.8947826086956522,0.0031055900621117516,-0.01110559006211187,1.0,0.0,0.0,0.04367507492507493
C,adhd,rf_compact,47,224,none,0.6100000000000001,0.8894658385093168,0.8854658385093168,0.9319727891156463,0.8509316770186336,0.92,0.8896103896103896,0.9593540372670808,0.9699590250040195,0.08048549159305368,0.8832546583850932,0.8770434782608696,0.0022111801242236107,0.008422360248447225,1.0,0.0,0.0,0.04367507492507493
C,adhd,rf_stability,11,224,none,0.6400000000000001,0.8921490683229814,0.8894658385093168,0.9383561643835616,0.8509316770186336,0.928,0.8925081433224755,0.9597515527950311,0.970585644915044,0.07985693217644493,0.8841490683229813,0.8863602484472051,0.005316770186335473,0.0031055900621117516,1.0,0.0,0.0,0.04367507492507493
C,adhd,rf_stability,29,224,none,0.6400000000000001,0.8872546583850932,0.8894658385093168,0.9383561643835616,0.8509316770186336,0.928,0.8925081433224755,0.9595031055900621,0.9701841442085438,0.08020620720450855,0.8752546583850932,0.8832546583850932,0.014211180124223621,0.006211180124223614,1.0,0.0,0.0,0.04367507492507493
C,adhd,rf_stability,47,224,none,0.685,0.8899378881987577,0.8779378881987578,0.9428571428571428,0.8198757763975155,0.936,0.8770764119601329,0.9580124223602485,0.9688379369005022,0.08114003277950554,0.8655155279503106,0.8570931677018634,0.012422360248447228,0.020844720496894453,1.0,0.0,0.0,0.04367507492507493
C,conduct,rf_compact,11,224,platt_val_fitted,0.32500000000000007,0.9594053398058253,0.9191140776699029,0.9324324324324325,0.8625,0.9757281553398058,0.8961038961038961,0.9884101941747573,0.9728681307685032,0.04738784834464225,0.9152912621359224,0.8965412621359223,0.0038228155339805614,0.022572815533980606,1.0,0.0,0.0,0.03602647352647353
C,conduct,rf_compact,29,224,platt_val_fitted,0.30000000000000004,0.9594053398058253,0.9229368932038835,0.9210526315789473,0.875,0.970873786407767,0.8974358974358975,0.9875606796116505,0.9717185115578936,0.047749886936790525,0.9291868932038835,0.9076456310679611,-0.006249999999999978,0.015291262135922357,1.0,0.0,0.0,0.03602647352647353
C,conduct,rf_compact,47,224,platt_val_fitted,0.48500000000000004,0.9614684466019418,0.9100728155339806,0.9850746268656716,0.825,0.9951456310679612,0.8979591836734694,0.9887135922330097,0.9737896686810235,0.04701138778225048,0.8850728155339807,0.8375,0.02499999999999991,0.07257281553398054,1.0,0.0,0.0,0.03602647352647353
C,conduct,rf_stability,11,224,platt_val_fitted,0.27,0.9594053398058253,0.9142597087378641,0.9078947368421053,0.8625,0.9660194174757282,0.8846153846153846,0.9881067961165049,0.9722867322544655,0.04863309782407405,0.9253640776699029,0.9090412621359223,-0.01110436893203881,0.005218446601941817,1.0,0.0,0.0,0.03602647352647353
