feature,importance
num__cbcl_internalizing_proxy,0.05010700608127588
num__comorbidity_count_5targets,0.0483442311193037
num__cbcl_anxious_depressed_proxy,0.03361565468808945
num__cbcl_010,0.0271906493453818
num__cbcl_024,0.021529811600357305
num__cbcl_005,0.020573505889685925
num__cbcl_020,0.018264687654173488
num__cbcl_019,0.017377531684311113
num__cbcl_022,0.0170485234014433
num__cbcl_026,0.01669049524617878
num__cbcl_009,0.016593719293555662
num__cbcl_029,0.016459942099080412
num__cbcl_012,0.01613415618857134
num__cbcl_023,0.016051910773025313
num__cbcl_007,0.015325668754796063
num__cbcl_011,0.014864241083342838
num__scared_sr_total,0.014677826497532822
num__cbcl_006,0.014334121654114743
num__cbcl_025,0.014328748575250096
num__cbcl_014,0.013040256415246114
num__cbcl_027,0.012026552767699619
num__scared_sr_social_anxiety,0.011905191534447468
num__cbcl_028,0.011255457931131363
num__scared_sr_generalized_anxiety,0.011254399021567475
num__cbcl_004,0.010929218576660335
num__sdq_hyperactivity_inattention,0.010445488966706605
num__cbcl_030,0.010361477667682424
num__scared_p_total,0.009989261002122192
num__scared_p_separation_anxiety,0.009678955947221625
num__cbcl_015,0.009567098526181695
num__cbcl_021,0.009319651788050732
num__sdq_total_difficulties,0.009236034245582957
num__cbcl_002,0.008990802307659201
num__cbcl_001,0.008952721586825052
num__cbcl_099,0.00890792280122988
num__cbcl_018,0.008840343943919887
num__scared_p_generalized_anxiety,0.008547376327616615
num__cbcl_008,0.008383981266396468
num__scared_sr_separation_anxiety,0.008346989795780631
num__cbcl_013,0.008068557183789574
num__sdq_peer_problems,0.008042614608794253
num__cbcl_118,0.007155420216027741
num__scared_sr_school_avoidance,0.006747199760065178
num__sdq_04,0.006670483115159863
num__cbcl_017,0.006666392055028294
num__scared_p_01,0.006072364117040201
num__cbcl_016,0.006059794158307988
num__scared_sr_panic_somatic,0.005781660130425053
num__sdq_prosocial_behavior,0.005374403861571978
num__sdq_14,0.005287288356575353
num__sdq_conduct_problems,0.005242512383394528
num__cbcl_003,0.005063477844805358
num__scared_p_panic_somatic,0.0048403478104728104
num__cbcl_106,0.004838782614948942
num__scared_p_school_avoidance,0.004756776219296929
num__scared_sr_possible_anxiety_disorder_cut25,0.004744551371070836
num__sdq_20,0.004687162953497002
num__cbcl_098,0.004398609040263154
num__scared_p_possible_anxiety_disorder_cut25,0.004169359232777745
num__cbcl_114,0.004010566185938213
num__scared_sr_17,0.004009407274396413
num__cbcl_104,0.003901543052112913
num__sdq_emotional_symptoms,0.003790692739255617
num__sdq_01,0.0036710263195847003
num__cbcl_100,0.00356923419090461
num__scared_sr_18,0.0034165373271338546
num__cbcl_externalizing_proxy,0.003308532596177197
num__scared_sr_20,0.003303414373163095
num__cbcl_109,0.003253272941747993
num__age_years,0.0031722453806950967
num__sdq_07,0.003114791715642071
num__scared_p_social_anxiety,0.003038539172175031
num__scared_sr_40,0.002816446370158401
num__scared_p_20,0.002807295488436093
num__scared_p_16,0.00280680703608478
num__scared_sr_15,0.0027285578907869554
num__scared_sr_16,0.0027164461636426484
num__cbcl_116,0.0026727382623294134
num__scared_p_04,0.002632281579326519
num__scared_p_41,0.0025734458403601865
num__scared_p_39,0.0025170684617006
num__cbcl_rule_breaking_proxy,0.002498384717368287
num__cbcl_attention_problems_proxy,0.0024387924870979127
num__sdq_05,0.0024284001155402803
num__sdq_25,0.002403544448924234
num__cbcl_110,0.0023967078209563264
num__scared_sr_30,0.0023896527552638015
num__cbcl_aggressive_behavior_proxy,0.0023724962323114665
num__sdq_13,0.002363109391406761
num__scared_sr_38,0.002326531529090268
num__scared_p_35,0.002316471588441474
num__sdq_impact,0.00228897419739451
num__cbcl_112,0.0022733548445175917
num__scared_sr_23,0.0022397914248872735
num__scared_sr_10,0.002238411693293114
num__scared_p_12,0.002227414859343507
num__scared_p_30,0.002210005253255003
num__scared_p_33,0.00217067170007978
num__scared_p_07,0.0021490619716349785
num__scared_sr_03,0.002132746720630146
num__scared_sr_06,0.002116567695503484
num__scared_sr_14,0.002101480494239644
num__scared_p_24,0.0020020007723124825
num__cbcl_094,0.0019972322250850143
num__sdq_18,0.0019800653250194363
num__cbcl_092,0.001965285010516887
num__scared_sr_21,0.0019182703101736037
num__sdq_08,0.0018802884161023853
num__scared_sr_31,0.0018034508209908856
num__sdq_06,0.0018026635042206517
num__cbcl_096,0.0017915639577617162
num__scared_p_18,0.0017848501346432956
num__sdq_02,0.0017692293450469628
num__sdq_23,0.0017590255137826323
num__scared_p_32,0.001756237614934246
num__scared_p_28,0.001745712691683458
num__sdq_16,0.0017261925504442064
num__scared_sr_24,0.0017238048142874211
num__sdq_15,0.0017071401716078527
num__scared_p_11,0.001702565901727809
num__cbcl_113,0.001692271234446764
num__scared_sr_34,0.0016238568478490994
num__scared_sr_25,0.0015969041979465891
num__scared_sr_12,0.0014787617361400238
num__scared_p_13,0.0014760963933873113
num__scared_sr_27,0.001462057150372652
num__scared_sr_35,0.001403040180227092
num__cbcl_075,0.001353482767898816
num__sdq_09,0.00134774171414411
num__sdq_21,0.001343198610976252
