feature,corr_target,risk
domain_comorbidity_count,0.762289553563339,low
internal_exact_comorbidity_count,0.7333273152672006,low
domain_any_positive,0.7141191209425226,low
internal_exact_any_positive,0.7141191209425226,low
cbcl_112,0.7071739312626534,low
cbcl_108,0.6622338328750397,low
cbcl_099,0.6239858702842196,low
n_diagnoses,0.611857205054652,low
comorbidity_count_5targets,0.6107962036760874,low
cbcl_118,-0.6083459776454537,low
cbcl_100,0.6058616192808268,low
cbcl_104,0.6042157817233023,low
cbcl_anxious_depressed_proxy,0.597348150648527,low
cbcl_094,0.5967922937244365,low
cbcl_114,-0.5872271658913486,low
cbcl_internalizing_proxy,0.5866060125987199,low
cbcl_109,0.5835660212246395,low
cbcl_106,0.5676163664497216,low
cbcl_113,0.5645424322885483,low
has_any_target_disorder,0.5620706394659671,low
cbcl_092,-0.5612108682003986,low
cbcl_098,0.5588132588415209,low
cbcl_116,-0.5586875549814616,low
cbcl_097,0.5553670488396242,low
cbcl_010,0.554584115719803,low
cbcl_102,0.554046079380567,low
cbcl_105,0.5535118078457412,low
cbcl_027,0.5496378375361417,low
cbcl_024,0.5479158735958297,low
cbcl_096,0.5443310046795141,low
cbcl_095,0.5421512471466192,low
cbcl_attention_problems_proxy,0.5420806852926336,low
cbcl_rule_breaking_proxy,0.5393235161618156,low
cbcl_014,0.534247225391691,low
cbcl_002,0.5323391548234477,low
cbcl_012,0.531121070276222,low
cbcl_115,0.5305260247532149,low
cbcl_011,0.5304336837650887,low
cbcl_009,0.530188598990433,low
cbcl_101,0.5286980492937885,low
cbcl_007,0.525280835384086,low
cbcl_022,0.5249252462743605,low
ari_sr_symptom_total,0.5245072858833384,low
cbcl_005,0.5244248378531787,low
cbcl_020,0.5232836282136062,low
cbcl_001,0.5226368857548964,low
cbcl_061,0.5218365528238625,low
cbcl_externalizing_proxy,0.5216599110203932,low
cbcl_103,0.5210914387099379,low
cbcl_029,0.519368873698673,low
cbcl_030,0.5156165400148045,low
cbcl_093,0.5155908874700792,low
cbcl_107,0.5153945894600126,low
cbcl_006,0.5124125646563135,low
cbcl_023,0.5106172187025368,low
cbcl_117,0.5100790813166787,low
cbcl_021,0.5099854513692749,low
cbcl_015,0.5064650637717317,low
cbcl_003,0.5063504742184154,low
cbcl_084,0.5056734925972426,low
cbcl_069,0.5037298525303731,low
cbcl_111,0.5035260282021523,low
ari_p_symptom_total,0.5011209148441986,low
cbcl_050,0.5005675403122352,low
cbcl_076,0.5004950818108276,low
cbcl_066,0.5000382534886624,low
cbcl_004,0.4997122556254573,low
cbcl_013,0.49709841073247607,low
cbcl_082,0.49676446453365514,low
cbcl_078,0.49593951733479746,low
cbcl_037,0.49530327722038187,low
cbcl_062,0.49462712500780437,low
cbcl_026,0.49416542164618277,low
cbcl_046,0.4934184600877896,low
cbcl_044,0.4933712177981351,low
cbcl_057,0.4915421931446292,low
cbcl_074,0.49112341152826616,low
cbcl_055,0.4909887601544887,low
cbcl_043,0.49089987937771135,low
cbcl_083,0.49021620712202274,low
cbcl_039,0.4895204068438122,low
cbcl_008,0.48834563917674945,low
cbcl_065,0.48831965022146245,low
cbcl_090,0.4861560116238956,low
cbcl_073,0.48588128266183933,low
cbcl_049,0.48480449497911793,low
cbcl_067,0.4837440690093528,low
cbcl_056,0.48327642450795383,low
cbcl_041,0.4828666103418596,low
cbcl_064,0.4808758375214961,low
cbcl_051,0.4797320404352631,low
cbcl_031,0.4787581665821475,low
cbcl_028,0.4786790696466043,low
cbcl_063,0.47863892962762106,low
cbcl_110,-0.47843151965153674,low
cbcl_045,0.4779699853967677,low
cbcl_017,-0.477062978378606,low
cbcl_042,0.47656103589739757,low
cbcl_089,0.47627939410914827,low
cbcl_025,0.47620862932460717,low
cbcl_091,0.4752085366445496,low
cbcl_072,0.4749976684556534,low
cbcl_087,0.47118575705504245,low
cbcl_034,0.47065826342758255,low
ari_sr_02,0.46873319412816167,low
cbcl_019,0.4685619874065105,low
cbcl_060,0.4670725973706352,low
cbcl_058,0.4669334373841386,low
cbcl_086,-0.46483124915666524,low
cbcl_071,0.46397473056596633,low
cbcl_040,0.462488097371629,low
cbcl_070,0.4599787986312949,low
cbcl_033,0.45945666322122497,low
cbcl_048,-0.4584449925186403,low
cbcl_079,-0.45787594040930857,low
cbcl_059,-0.45740088437940307,low
cbcl_085,0.4567844927884098,low
cbcl_035,0.4565510198600883,low
cbcl_aggressive_behavior_proxy,0.45576518453981896,low
cbcl_068,-0.4556721381682738,low
cbcl_018,0.45511012200757067,low
cbcl_052,0.45481957473950096,low
cbcl_038,0.45364134983552223,low
cbcl_053,0.4533725034160147,low
cbcl_077,0.4527777626638854,low
cbcl_080,-0.4513040267069113,low
cbcl_054,0.45054915841552423,low
cbcl_081,0.44926802762137896,low
cbcl_036,0.4486032026694972,low
cbcl_016,0.4472845977624815,low
cbcl_088,0.44559024290161575,low
cbcl_032,0.44453360505739853,low
ari_p_06,0.4427315952108817,low
ari_sr_01,0.4406081384534715,low
ari_sr_03,0.4325198780287022,low
ari_p_04,0.42885154881929527,low
ari_p_07,0.42702026174283875,low
ari_p_impairment_item,0.42702026174283875,low
ari_p_02,0.42533905503028674,low
cbcl_047,-0.41856099672825436,low
ari_p_01,0.4150261513631709,low
ari_p_03,0.40861346954595834,low
ari_p_05,0.4067416938577688,low
cbcl_075,-0.40353021705997627,low
age_years,-0.009160365078910156,low
q_items_answered,-0.0038115866202131947,low
q_completion_ratio,-0.0038115866202131444,low
q_required_missing,0.0029383246032252614,low
site,0.0,low
sex_assigned_at_birth,0.0,low
